ResourceID,DALUID,Building Number and Street,Building Name,Locality,Town,Postcode,Address Status,Area Name,Area Type,Area Currency,Reference Number,Reference Number Type,Location Description,Name,Name_Type
00a25d73-890d-1a99-2c9f-e48a2a0f9c6d,DALO03306,130 Maybank Road,,South Woodford,London,E18 1EL,Primary,Redbridge,Borough,Current,0205/17,External Organization Reference Number,,"130, Maybank Road, South Woodford, London, E18 1EL",Primary
00a8f8bd-09d8-6fdb-3219-556027ff94f5,DALO05107,231  Western Road ,,,London,SE19 2QD,Primary,Merton,Borough,Current,,,,"231 Western Road, Runnymede road and Lewis Road (see LAG 024/531)",Primary
00bce30a-118c-490f-652a-407fa22b9662,DALO02388,8  Clements Road,,Ilford,London,IG1 1BA,Primary,Redbridge,Borough,Current,3591/17,External Organization Reference Number,,"8, Clements Road, Ilford, IG1 1BA",Primary
00d43b76-71b6-530c-9cde-e38579589a95,DALO04154,194  Brixton Road,,,London,SW9 6AP,Primary,Lambeth,Borough,Current,16/05014/LB,External Organization Reference Number,,194 Brixton Road London SW9 6AP,Primary
00da01ae-5da0-4c51-0db1-55cb8c055b3c,DALO00088,104 - 106  HIGH STREET,,Hounslow,London,TW3 1NA,Primary,Hounslow,Borough,Current,P/2017/5391,External Organization Reference Number,,104 - 106 HIGH STREET HOUNSLOW LONDON TW3 1NA,Primary
00e82d53-8789-8adb-51ff-f82e900f3a9e,DALO03514,196 Great Cambridge Road ,,,London,EN1 1UQ,Primary,Enfield,Borough,Current,14/03574/FUL,External Organization Reference Number,Martinbridge Industrial Estate Lincoln Road Enfield ,196 Great Cambridge Road EN1 1UQ,Alternative
00ea6aee-63d2-406c-1672-0e26faa61cde,DALO01037,50  Tudor Lodge Field End Rd,,Eastcote,London,HA5 2QN,Primary,Harrow,Borough,Current,,,,"Tudor Lodge, 50 Field End Rd, Eastcote, Pinner HA5 2QN",Primary
00edc81a-354a-846e-22bf-feaace484697,DALO01628,46  Vine Gardens,,Ilford,London,IG1 2QJ,Primary,Redbridge,Borough,Current,5639/17,External Organization Reference Number,,"46, Vine Gardens, Ilford, IG1 2QJ",Primary
00f42fd4-609f-44ce-628a-4b0822d24f54,DALO03342,60  Barnet Gate Lane,,Barnet,London,EN5 2AD,Primary,Barnet,Borough,Current,16/6471/FUL,External Organization Reference Number,,60 Barnet Gate Lane Barnet EN5 2AD,Primary
00f65ec2-4fc5-3cea-83c3-e1a91916383a,DALO03187,665  Barking Road,,,London,E13 9EX,Primary,Newham,Borough,Current,14/01863/FUL,External Organization Reference Number,,"665 Barking Road, Plaistow, London, E13 9EX",Primary
00f9fbf4-2328-5c32-3626-072414463596,DALO04376,116  Newbury Avenue,,Enfield,London,EN3 6EE,Primary,Enfield,Borough,Current,16/02991/HOU,External Organization Reference Number,,116 Newbury Avenue Enfield EN3 6EE,Primary
00fb7a5d-77ab-2c39-5a7a-c743c0e3005b,DALO01618,35  London Lane,,,London,E8 3PR,Primary,Hackney,Borough,Current,2017/3209,External Organization Reference Number,,35 London Lane London E8 3PR,Primary
00fef87d-55e2-54e0-51d5-fa5c7d06748a,DALO03416,71 - 77 Wigmore Street,,,London,W1U 1QA,Primary,City of Westminster,Borough,Current,13/05332/FULL,External Organization Reference Number,,71 - 77 Wigmore Street,Primary
010637b9-1de6-5f1d-4336-022c9946429d,DALO02138,6 Glover Drive,,,London,N18 3HF,Primary,Enfield,Borough,Current,P13-02228PLA,External Organization Reference Number,,6 Glover Drive London N18 3HF,Primary
0116bd40-1c22-159d-4f6a-e64fae399ce4,DALO01358,56  The Bittoms,,Kingston upon Thames,London,KT1 2AP,Primary,Kingston upon Thames,Borough,Current,1812048,External Organization Reference Number,,56 THE BITTOMS KINGSTON UPON THAMES KT1 2AP,Primary
01192327-7dfb-5fb1-43d0-77461960099b,DALO02548,74  Lea Bridge Road,,Hackney,London,E5 9QD,Primary,Hackney,Borough,Current,2016/4012,External Organization Reference Number,,74 Lea Bridge Road London E5 9QD,Primary
0121f306-9a63-16bc-36be-f7ae3cb18483,DALO03421,25  Narford Road,,,London,E5 8RJ,Primary,Hackney,Borough,Current,2016/4703,External Organization Reference Number,,25 Narford Road London E5 8RJ,Primary
013fb890-1751-91d9-226c-d5434c97669b,DALO04444,2-4  Venn Street ,,,London,SW4 0AT,Primary,Lambeth,Borough,Current,14/00367/FUL,External Organization Reference Number,2-4 Venn Street,"2-4 Venn Street, SW4 0AT",Primary
014af5cb-200b-041b-a7be-cdb0fec02a3c,DALO03105,36  Gresham Road,,East Ham,London,E6 6DS,Primary,Newham,Borough,Current,16/04045/HH,External Organization Reference Number,,"36 Gresham Road, East Ham, London, E6 6DS",Primary
0163226e-70bf-0254-0b0f-4cd6a2e86010,DALO05892,126  Church Road,,Croydon,London,CR0 1SE,Primary,Croydon,Borough,Current,15/03749/LP,External Organization Reference Number,,"126 Church Road, Croydon, CR0 1SE",Primary
0168e0f8-196a-4dd9-355d-e9ba1c743f0c,DALO01609,1  Canon Row,,,London,SW1A 2JN,Primary,City of Westminster,Borough,Current,16/07441/LBC,External Organization Reference Number,,1 Canon Row London SW1A 2JN,Primary
016b7e74-21f9-1029-a768-5e4e194b85ed,DALO01036,38  Sowrey Avenue,,Rainham,London,RM13 7NA,Primary,Havering,Borough,Current,P0396.18,External Organization Reference Number,,38 Sowrey Avenue RAINHAM RM13 7NA,Primary
0174cdf2-8470-8bdd-2876-4173b08095d3,DALO05382,1 - 3  Totteridge Lane,,,London,N20 0EY,Primary,Barnet,Borough,Current,16/0094/FUL,External Organization Reference Number,,1 - 3 Totteridge Lane London N20 0EY,Primary
0178f062-2113-0a84-4842-c487693959ef,DALO05791,,Kingsley Academy,Hounslow,London,TW3 1NE,Primary,Hounslow,Borough,Current,,,,Kingsley Academy 102 PRINCE REGENT ROAD HOUNSLOW LONDON TW3 1NE,Primary
