ResourceID,ResourceID2,AdminArea,AdminAreaType,Currency,Address Status,Building Name,Building Number SubStreet,SubStreet,Building Number,Street,Locality,Town,Postcode,EventUID,RecordType,Name Type,Name,DateFrom,DateTo,Description Type,Description,Notes
001e3d64-1761-4579-bd84-ab19ff1362e7,001e3d64-1761-4579-bd84-ab19ff1362e7,Harrow,Borough,Current,Primary,Former White Lion Public House,,,,Burnt Oak Broadway,,London,NW9,ELO2809,Event - Intervention,Primary,Trial Trench at White Lion Public House and Edgware Town FC,2000-06-01,2000-06-30,Full,"An evaluation was carried out at land by the former White Lion Public House and Edgware Town Football Club in June 2000 by Hertfordshire Archaeological Trust. The site comprised of one trench located to the south of the developmental area, which revealed no archaeological features or finds.   * Natural was observed at a height of 50.20m AOD*",A GIS point was created using the approximate location of the trench at a scale of 1:1250 using OS MasterMap as a base.
002338d4-f488-47f2-b996-58d1638a0f4c,002338d4-f488-47f2-b996-58d1638a0f4c,Islington,Borough,Current,Primary,,,,7-8,Newcastle Row,,London,EC1,ELO4129,Event - Intervention,Primary,Open Area Excavation at Newcastle Row,1981-01-01,1981-12-31,Full,"Archaeological excavation in 1981 by the Inner London Archaeological Unit, at Newcastle Row. This is the suggested site of the north range of the cloister of the Augustinian nunnery dedicated to St Mary de Fonte, founded c.1145. The work identified two phases of Medieval occupation. The first comprised part of a building of possible 12th-13th Century date with an associated yard surface of rammed gravel; a much repaired mortar floor may also relate to this phase. The second phase was represented by a chalk cellar or undercroft, possibly of the 15th Century, inserted within the walls of the earlier building and including part of a window or chute and a recess. The remains have been provisionally interpreted as part of the building referred to in the 18th Century as the 'Nuns' Hall', and may have formed part of the infirmary.",
0028a821-c105-4c7e-8677-e8e4c65d36ae,0028a821-c105-4c7e-8677-e8e4c65d36ae,Southwark,Borough,Current,Primary,Arcadia Buildings,,,,Silvester Street,,London,SE1,ELO2625,Event - Intervention,Primary,Excavation at Arcadia Buildings,1978-01-01,1978-12-31,Full,"An archaeological excavation by Southwark and Lambeth Archaeolgoy Excavations Committee in 1978 at Arcadia Buildings at the corner of Silvester Street and Great Dover Street, Southwark.   Excavation in 1978 revealed Roman Watling Street (Roman Road 1) traversing the site from northwest to southeast with at least five phases of road-metalling overlying a cambered base. A wooden corduroy track beneath the road make-up was either an earlier road, perhaps of military character, or a foundation for the road base. Occupation layers were uncovered on either side of the road, including evidence of a timber building on the northeast side and a wood-lined latrine, probably of 2nd Century date. Dark earth overlay the Roman deposits and was cut by numerous Post Medieval features. Post-holes for a rectangular building of apparently Early Medieval date were located on the southwest side of the road. Two parallel gullies with pairs of post-holes along their edges have been provisionally identified as Medieval cloth-stretching tenter frames. Evidence was found for many Post Medieval industries including brushmaking, cloth fulling and clay pipe manufacture (in the form of part of a 17th Century clay pipe kiln complex).",
00645b85-0aaf-4442-89d0-2bc9a792e5a3,00645b85-0aaf-4442-89d0-2bc9a792e5a3,Barking and Dagenham,Borough,Current,Primary,St Joseph's Roman Catholic School,,,,The Broadway,,Barking,IG11 7AR,ELO9030,Event - Intervention,Primary,Geotechnical Survey at St Joseph's Roman Catholic School,1994-11-10,1994-11-10,Full,"Monitoring of geotechnical test pits took place at St Josephs Roman Catholic School, The Broadway on the 10th November 1994 by Newham Museum Service. The works disturbed no archaeological deposits.",GIS polygon was created using the location of the site at a scale of 1:1250 using OS MasterMap as a base.
008aadbf-3838-4e7d-bb01-a54b72ebf1ae,008aadbf-3838-4e7d-bb01-a54b72ebf1ae,City of London,Borough,Current,Primary,,,,19-29,Gresham Street,,London,EC2,ELO4134,Event - Intervention,Primary,Evaluation at Northern House,1998-08-08,1998-08-22,Full,"An archaeological evaluation by the Museum of London Archaeology Service from the 8th to the 22nd of August, 1998, at 19-29 Gresham Street, 1 Noble Street, London, EC2.  The evaluation commenced with a series of boreholes, to confirm whether or not archaeological deposits could survive on the site beneath the existing basement slab (surface level 12.95m OD). Once it was confirmed that archaeological material did survive beneath the slab three testpits were excavated to determine the character and significance of these deposits. Two of the testpits were positioned in order to confirm the location and extent of survival of the southern wall of the Roman fort.  The level of the 'natural' brickearth across the site was recorded at a maximum height of 12.30m OD. No in-situ archaeological remains associated with the Cripplegate fort survived in the testpits, although deposits of Roman date were present within the area of the fort and in land which would have been to the south of the fort. A Roman pit or ditch was recorded and residual Roman pottery was recovered from Medieval and modern pits.  Medieval pits and truncated chalk and flint wall foundations were also recorded. Early Medieval pottery was recovered from a modern intrusion.  The archaeological deposits were severely truncated by modern and Victorian foundations and modern services. A ground beam observed in the section of testpit 3 may indicate that the foundations of the existing building are more substantial than originally thought. Horizontally stratified archaeological deposits will survive to a maximum depth of 0.35m in isolated blocks between Victorian and modern foundations.  *Natural brickearth was observed at c 12.30m OD.*",
009fa40f-b824-4a5b-a4d0-72aeacd304e5,009fa40f-b824-4a5b-a4d0-72aeacd304e5,Sutton,Borough,Current,,,,,,,,,,ELO2805,Event - Intervention,Primary,Open Area Excavation at Beddington Infants School,1988-01-01,1988-12-31,Full,EXCAVATION BY Department of Greater London Archaeology 1989 REVEALED A DITCH CONTAINING LATE BRONZE AGE POTTERYAND FLINTWORK.,
019d8703-72e0-4b2e-b3cf-0a2bd524556c,019d8703-72e0-4b2e-b3cf-0a2bd524556c,City of London,Borough,Current,Primary,,,,180-183,Fleet Street,,London,EC4,ELO16425,Event - Intervention,Primary,Excavation at 180-183 Fleet Street,1982-01-01,1982-12-31,Full,"An archaeological excavation by the Department of Urban Archaeology at 180-183 Fleet Street and 140-143 Fetter Lane, London EC4 in 1982.  Excavation recorded the bottom of a late 14th Century chalk-lined feature and the bottom of an 18th Century brick-lined pit. The basement on this site had destroyed all other archaeological remains.",
01fae5ac-0ecf-4f9c-83fc-1a39aee66f9a,01fae5ac-0ecf-4f9c-83fc-1a39aee66f9a,Sutton,Borough,Current,,,,,,,,,,ELO1013,Event - Interpretation,Primary,Evaluation at St. Mary's Infant School,1999-03-25,1999-03-25,Full,"An Archaeological Evaluation was carried out by Sutton Archaeological Services at St. Mary's Infant School, West Street, Carshalton, Surrey, on the 25th March 1999. The infant school is to build a portable class room to the west of the present building. A ten meter trench was excavated in the footprint of the proposed building and only the topsoil and infill deposits were found above the natural gravel. No archaeological features or finds (other than 19th to 20th Century) were made. The gravel was 36.852 to 37.092m A.O.D.",
0226fabe-5fce-464c-a91b-218634b039b2,0226fabe-5fce-464c-a91b-218634b039b2,Barnet,Borough,Current,Primary,Brockley Hill (Sulloniacae?),,,,Brockley Hill,,Stanmore,HA7 4LN,ELO5403,Event - Intervention,Primary,Excavation at Brockley Hill,1965-01-01,1965-12-31,Full, In 1965 a trench was cut for a sewer in the grounds of the Royal National Orthopaedic  Hospital at Brockley Hill by Sullioniacae Excavation Committee (?).  A large quantity of Roman pottery was uncovered.,
025312f6-88d3-4d31-8bc7-eeb07ca84a30,025312f6-88d3-4d31-8bc7-eeb07ca84a30,Croydon,Borough,Current,Primary,,,,102-108,Downs Court Road,,Purley,,ELO11326,Event - Intervention,Primary,Excavation at Downs Court Road,1993-02-01,1993-02-28,Full,"An archaeological evaluation was carried out by B. Philp for the South East London Archaeological Unit, Feb 1993; site code DCR93.  Four trenches were excavated, but no archaeological finds or features were discovered, although the area under investigation was known to contain scattered Saxon burials, a probable Roman road and a linear earthwork (a Scheduled Ancient Monument).",
02ce9f04-88d4-41b1-9558-44bb2b9aab62,02ce9f04-88d4-41b1-9558-44bb2b9aab62,Newham,Borough,Current,,,,,,,,,,ELO12367,Event - Intervention,Primary,Auger Survey at Olympic Park,2011-01-01,2011-05-30,Full,"Wessex Archaeology undertook a geological assessment and analysis on samples and data from the Olympic Park site arising from previous work by Museum of London Archaeology, Pre-Construct Archaeology and AOC Archaeology.   The work was done in two phases, the creation of a deposit modelling of the sub surface sediments, and a programme of palaeoenvironmental assessments and analysis from samples.  The deposit model allowed the pre-Holocene surface topography to be mapped and the courses of the major palaeochannels identified, as well as areas of likely wetland and drier areas suitable for habitation. Alongside the palaeoenvironmental analysis and programme of radiocarbon dating has created a picture of the changing landscape and environment to be created from the Late Glacial to Medieval periods.",The GIS polygon for this site is the approximate area of the sample locations. Mapped at 1:1250 using OS MasterMap as a base.
02f027f3-040c-4118-8506-d9dd1194e11a,02f027f3-040c-4118-8506-d9dd1194e11a,Sutton,Borough,Current,,,,,,,,,,ELO3931,Event - Intervention,Primary,Open Area Excavation at Wandle Meadows,1988-01-01,1988-12-31,Full,"Department of Greater London Archaeology/SW EXCAV LRH 88 REVEALED 2 LINEAR CUTS C.O.15M DEEP, ROUGHLY PARALLEL,SEPARATED BY C.10M & ORIENTATED N-S. CONTAINED BURNT FLINT. NO POSITIVE DATING. A CIRCULAR PIT ALSO REVEALED C.O.5M IN DIAMETER, C.O.2M DEEP, CUT INTONATURAL & CONTAINING A SMALL SHERD OF UNDECORATED POTTERY, DATED BY FABRIC TO LATE BRONZE AGE.(1-3)",
031533f5-a432-45bd-a6e9-cc772ad96fde,031533f5-a432-45bd-a6e9-cc772ad96fde,Islington,Borough,Current,Primary,,,,150-164,Goswell Road,,London,EC1,ELO593,Event - Intervention,Primary,Watching Brief at Goswell Road,2001-03-27,2001-08-03,Full,"An archaeological watching brief was carried out by Pre-Construct Archaeology Ltd at 150-164 Goswell Road & 2-14 Steward Street, Islington. Prior to the redevelopment of the site for housing the initial monitoring of a series of pits dug to underpin a boundary wall was carried out between the 27th March and 2nd May 2001; this confirmed the presence of human remains in a cemetery extending into the site (articulated and disarticulated bodies, as well as coffin furniture). Further monitoring was carried out between the 20th June and 3rd August 2001. The investigations revealed late Medieval/early Post Medieval midden material, consisting of refuse and redeposited brickearth. The ground was subsequently reclaimed and levelled, and a burial ground associated with St. Bartholomew's Hospital was established c.1740. This was mainly to the east of the site but extended an undetermined distance into the site. A number of phases of burial were identified, with variation in burial practice across them. Approximately 11% of the bodies and charnel remains recovered showed signs of autopsy, the majority of which pre-date the Anatomy Act of 1832. The burial ground became overcrowded in the early 19th Century and was eventually closed c.1853. The skeletal remains recovered were taken to the East London Cemetery for reburial.",
0377119a-6144-45cc-a757-503c5839ad04,0377119a-6144-45cc-a757-503c5839ad04,Lambeth,Borough,Current,Primary,Village Estates,,,,Stockwell Park Road,,London,SE10,ELO8288,Event - Intervention,Primary,Trial Trench at Village Estates,2008-10-20,2008-10-31,Full,"An archaeological evaluation was conducted in 2008 by Museum of London Archaeology at two sites in the Village Estates, one situated to the north on Robsart Street and one to the south near Stockwell Park Walk. Site code SKV08. Trenches one to four were excavated, with one more trench planned for Phase II of the works.  No archaeological features of deposits pre-dating the 19th Century were found during the evaluation. It was established that over most of the site between 1m and 1.3m of made ground overlay natural gravel which was recorded at between 6.11m and 9.35m OD. The contractor therefore did not recommend any further archaeological work.","OASIS waiting for contractor to complete 29/05/2009. GIS polygons mapped on OS Mastermap at 1:1000. 29/05/2009."
03856a73-d683-43b9-b785-4f0b1e2479e0,03856a73-d683-43b9-b785-4f0b1e2479e0,City of London,Borough,Current,Primary,Barber-Surgeons' Hall,,,34-35,Monkwell Street,,London,EC2,ELO16224,Event - Intervention,Primary,Watching Brief at Barber-Surgeons' Hall,1958-01-01,1958-12-31,Full,"An archaeological watching brief by the Roman and Medieval London Excavations Committee in 1958 at Barber-Surgeons' Hall, 34-35 Monkwell Street, 12 Nicholl Square, , City of London, EC2.",
03fec946-d646-4f0f-b924-b6d0e5fd6c46,03fec946-d646-4f0f-b924-b6d0e5fd6c46,Barnet,Borough,Current,,,,,,,,,,ELO5399,Event - Intervention,Primary,Excavation at Brockley Hill,1947-08-01,1947-09-30,Full,The NW corner of Field 413 was re excavated in 1947 in an unsuccessful attempt to find the kiln which was not found in 1937.  The kiln was not found but lots of pottery was found.  A trench was put through a slight earthwork which proved to be a lynchet.,
042f1a6b-2309-435d-98c0-784b641c4bd4,042f1a6b-2309-435d-98c0-784b641c4bd4,Tower Hamlets,Borough,Current,Primary,,,,14-20,Alie Street,,London,E1,ELO1086,Event - Intervention,Primary,Watching Brief at Alie Street,2001-10-09,2001-10-15,Full,"An archaeoloigcal watching brief by Museum of London Archaeology Service in October 2001 at 14-20 Alie Street/14-16 North Tenter Street.  The area is situated immediately east of the Roman city within the eastern part of the cemetery. The site is located between Alie Street and North Tenter Street and is bounded to the east by 22 Alie Street and 12 Alie Street and to the west by 10 Alie Street. Initally five engineering pits were excavated, all 2.40m x 2.40m, and recorded by machine first until archaeological deposits were reached where after hand excavation was undertaken. One extra pit, test pit 5A, was dug to discover the extent of a brick wall and being found it has been interpreted as the wall fronting the pavement on the 1875 OS Map. Two Post Medieval pits were found and a well or soakway recorded. A small assemblage of Post Medieval pottery and two leather shoes were recovered.  *Natural was observed at between 8.36m OD and 11.56m OD*",
0430070f-0dec-47f4-a287-1418bc09417c,0430070f-0dec-47f4-a287-1418bc09417c,Greenwich,Borough,Current,Primary,,,,1,Nelson Road,,London,SE10,ELO13328,Event - Interpretation,Primary,Desk Based Assessment at Nelson Road,2013-07-01,2013-07-31,Full,"A heritage statement was written for 1 Nelson Road and  21 King William Walk, Greenwich by July 2013 by the Heritage Collective.  It was determined that if building consent was granted, the proposed changes would be beneficial to Greenwich Town Centre and the historic environment as a whole.",A GIS polygon was drawn over the approximate area of the site. Mapped at 1:1250 using OS MasterMap as a base.
046855ab-370e-4a62-9a20-6e24578fecd9,046855ab-370e-4a62-9a20-6e24578fecd9,City of London,Borough,Current,Primary,Bracken House,,,8-18,Cannon Street,,London,EC4M 9BT,ELO16817,Event - Intervention,Primary,Watching Brief at Financial Times Site,1955-01-01,1955-12-31,Full,"An archaeological watching brief by the Guildhall Museum at the Financial Times Site, London EC4 in 1955.  The builders' excavations were in strips around the four sides of the Financial Times site. Two walls are noted: one of stone running east to west for some distance, lying north of St Nicholas Cole Abbey church; and a continuation of this wall, in brick, running for a short distance east into the site. The stone wall was composed of limestone, well bonded. Only the core remained, the facing stones being absent. The brick wall was joined onto the east end of the stone wall. The stone wall was equated with that found in Friday Street (RCHM, 1928, 120). A small knee brooch of early 2nd Century type was found by 'W.F. Rector and myself' (?I No'l Hume, but in 1996 he had no recollection of this) in close association with the Roman wall (ER 365). On a separate visit, pottery found in excavation of the same wall at the south-east corner of the site produced pottery of unspecified date (ER 376).",
0470d7db-2d51-4890-80e2-103ef0d79e5d,0470d7db-2d51-4890-80e2-103ef0d79e5d,City of London,Borough,Current,Primary,,,,20-26,Cutler Street,,London,E1,ELO16655,Event - Intervention,Primary,Excavation at Cutlers Court,1990-01-01,1990-12-31,Full,"An excavation by the Department of Urban Archaeology at Cutlers Court, 20-26 Cutler Street, 123-125 Houndsditch, 5-8 Clothier Street, City of London, E1 and EC3 from January to March1990.  Natural gravels capped by brickearth were cut by early Roman quarry pits, into which at least one Roman mortar burial was inserted. Evidence survived of widespread Medieval pits, for disposal of rubbish and cess as well as for gravel extraction. Many pits contained quantities of human bone, including a trepanned skull, presumably from disturbance of pre-existing burials. In one case an attempt seems to have been made to reinter bones on an east to west alignment. The sequence was completed by two Post Medieval brick-lined wells and by pits containing domestic refuse, slag, burnt brick and crucible or mould fragments.",
04884044-78de-45a1-b307-d2a8c31a4cee,04884044-78de-45a1-b307-d2a8c31a4cee,Croydon,Borough,Current,Primary,,,,16-18,Starrock Road,,Coulsdon,CR5 3QA,ELO12667,Event - Intervention,Primary,Trial Trench at Starrock Road,2008-10-10,2009-08-07,Full,"An evaluation was undertaken at 16-18 Starrock Road and the rear gardens of 27, 29 and 31 Hollymeoak Road, Coulsdon by Sutton Archaeological Services between the 10th-17th October 2008 and the 7th August 2009. The site comprised four trenches.   The trenches revealed no archaeological finds or features.",A GIS polygon was drawn over the approximate area of the trenches. Mapped at 1:1250 using OS MasterMap as a base.
04aaad80-eceb-4da3-ab0b-4a1c428fa035,04aaad80-eceb-4da3-ab0b-4a1c428fa035,City of London,Borough,Current,Primary,,,,30-35,Botolph Lane,,London,EC3,ELO2857,Event - Intervention,Primary,Open Area Excavation at Botolph Lane,1995-06-19,1995-07-04,Full,"Trial pits monitored by J Bowsher for Museum of London Archaeology Service, June-July'95; site code BPL95. A dump of redeposited brickearth characteristic of Roman levelling courses was found in one testpit; there was no dating evidence for this dump although residual Roman pottery was found on the site.  Similar deposits were also observed in the subsequent evaluation (undertaken by P. Rowsome for Museum of London Archaeology Service, Dec'97; same site code) sealing a Roman masonry foundation (SMR ref: 044912). Periods recorded under same site code: Roman (044082), Medieval (044083-4), Post Medieval (044085-6)",
04c95d06-b81d-4d92-8083-66f66032fda2,04c95d06-b81d-4d92-8083-66f66032fda2,Croydon,Borough,Current,Primary,The Queen's Gardens,,,,Park Lane,,Croydon,CR0 1YJ,ELO13429,Event - Interpretation,Primary,Desk Based Assessment at The Queen's Gardens,2004-11-01,2004-11-30,Full,"A desk based assessment was undertaken on The Queen's Gardens, Croydon in November 2004 by the Museum of London Archaeology Service.   The site has a moderate potential for Prehistoric in-situ features and finds. Roman, Saxon, Medieval and Post Medieval features have all e found on nearby sites and as such there is a moderate to high potential for features of this date to be present on site.",S polygon was drawn over the approximate area of the site. Mapped at 1:1250 using OS MasterMap as a base.
05475d63-2100-485e-9573-9fc0939d4c95,05475d63-2100-485e-9573-9fc0939d4c95,Hillingdon,Borough,Current,Primary,,,,20,High Street,,Uxbridge,UB8,ELO4800,Event - Intervention,Primary,Open Area Excavation at rear of,1985-01-01,1985-12-31,Full,"Following the demolition of the 19th Century rear wing of a Tudor timber-framed inn, excavation in 1985 at 20 High Street, Uxbridge revealed traces of Medieval and 17th Century rear extensions and gravelled yard surfaces.  Among the structures recovered were a well-preserved tile-built keyhole oven and a chalk-lined well, both probably of late Medieval date. A rectangular brick-lined cesspit, probably associated with the inn, produced a large assemblage of Post Medieval pottery, mainly of near-complete vessels tentatively dated to c 1770-1790.  Recording by the Department for Greater London Archaeology and the Royal Commission on Historical Monuments of the Tudor frontage prior to refurbishment suggests the core of the building, of two bays with an adjacent covered cross-passage, may date to c 1500.  Fragmentary red and blue paintings of foliage were observed on the wall of a first-floor chamber. Other notable features included pits and scoops datable to the Prehistoric period and the 13th-15th Century.",
05bc1aa9-e38b-408c-a6a1-dd6acd465132,05bc1aa9-e38b-408c-a6a1-dd6acd465132,Southwark,Borough,Current,Primary,Elephant & Castle Leisure Centre,,,,Brook Street,,London,SE11 4TW,ELO12760,Event - Intervention,Primary,Trial Trench at Elephant & Castle Leisure Centre,2012-08-13,2012-08-17,Full,An evaluation was undertaken on land at Elephant & Castle Leisure Centre between the 13th-17th August 2012 by Pre-Construct Archaeology. The site comprised two trial trenches.   The trenches revealed natural alluvial deposits and no archaeological finds or features were located.  *Natural alluvium at 1.88m OD,GIS polygons were drawn over the approximate location of the trenches. Mapped at 1:1250 using OS MasterMap as a base.
05f09401-d0f9-432b-b08c-10559bfdca51,05f09401-d0f9-432b-b08c-10559bfdca51,City of Westminster,Borough,Current,Primary,,,,98-102,Wigmore Street,,London,W1,ELO7891,Event - Intervention,Primary,Watching Brief at Dukes Mews,2008-04-30,2008-05-09,Full,"An archaeological evaluation was undertaken by Wessex Archaeology during April and May 2008 on behalf of the Frogmore Property Company Limited in advance of the proposed redevelopment of the site.  The work was carried out as two test pits, of dimensions approximately 4 by 4m in plan and excavated to 1.20m below the current ground level.  The work revealed waterlogged dumped layers of 19th Century date containing abundant animal bones, pottery and oyster shell.  Natural soil was not reached in the work carried out.  A watching brief was maintained as part of the same scheme of work; this reached greater depths than, but recorded similar materials to, the small trenches excavated.",
05f966c2-3f86-45d1-a630-47f78f94ef78,05f966c2-3f86-45d1-a630-47f78f94ef78,City of London,Borough,Current,Primary,,,,2-20,Creechurch Lane,,London,EC3,ELO16709,Event - Intervention,Primary,Watching Brief at 2-20 Creechurch Lane,1985-01-01,1985-12-31,Full,"An archaeological watching brief by the Department of Urban Archaeology at 2-20 Creechurch Lane, Arbitration Hall, 24-31 Mitre Street, London EC3 in 1985.  Four monitored testpits revealed 0.8m of Roman dumps, make-ups and brickearth surfaces which were cut into three groups of Medieval rubbish pits and a disturbed burial all of which were sealed by extensive make-up for the standing building.",
