ResourceID,ResourceID2,AdminArea,AdminAreaType,Currency,Address Status,Building Name,Building Number SubStreet,SubStreet,Building Number,Street,Locality,Town,Postcode,EventUID,RecordType,Name Type,Name,DateFrom,DateTo,Description Type,Description,Notes
0226fabe-5fce-464c-a91b-218634b039b2,0226fabe-5fce-464c-a91b-218634b039b2,Harrow,Borough,Current,,,,,,,,,,,,,,,,,,
0470d7db-2d51-4890-80e2-103ef0d79e5d,0470d7db-2d51-4890-80e2-103ef0d79e5d,,,,Alternate,,,,5-8,Clothier Street,,,,,,,,,,,,
04c95d06-b81d-4d92-8083-66f66032fda2,04c95d06-b81d-4d92-8083-66f66032fda2,,,,Alternate,,,,,Fell Road,,,,,,,,,,,,
0690a118-52a6-4f63-a39a-fd717bb174a3,0690a118-52a6-4f63-a39a-fd717bb174a3,,,,Alternate,,,,27-34,Wood Street,,,,,,,,,,,,
07206218-2ef0-4535-95c6-38731ca21c36,07206218-2ef0-4535-95c6-38731ca21c36,,,,Alternate,,,,15,Westmorlands Buildings,,,,,,,,,,,,
08209574-db8a-4edc-bce8-e60d36f2e99b,08209574-db8a-4edc-bce8-e60d36f2e99b,,,,Alternate,,,,58,Park Street,,,,,,,,,,,,
094956aa-022c-4a23-a738-5a77ee98917d,094956aa-022c-4a23-a738-5a77ee98917d,,,,Alternate,,,,"10, 11-17",Blossom Street,,,,,,,,,,,,
094be105-623f-4dcd-92c4-c847f2a6ed1e,094be105-623f-4dcd-92c4-c847f2a6ed1e,,,,Alternate,,,,"26, 29, 30, 32",Gracechurch Street,,,,,,,,,,,,
0aef673f-49d7-46ad-b394-2da68984365f,0aef673f-49d7-46ad-b394-2da68984365f,,,,Alternate,,,,23-77,Gray Street,,,,,,,,,,,,
0be5d3ab-c5b1-4a8e-ba43-20b342a212b0,0be5d3ab-c5b1-4a8e-ba43-20b342a212b0,,,,Alternate,,,,,Stone House Court,,,,,,,,,,,,
0c129979-7370-4134-99f5-c802e7395c9d,0c129979-7370-4134-99f5-c802e7395c9d,,,,Alternate,,,,76,Mark Lane,,,,,,,,,,,,
0c38ac74-3f7f-4da0-ad9d-267d29c473f2,0c38ac74-3f7f-4da0-ad9d-267d29c473f2,,,,Alternate,,,,68-75,Aldermanbury,,,,,,,,,,,,
0d4c4915-37aa-4e47-91e4-7a6f2293371a,0d4c4915-37aa-4e47-91e4-7a6f2293371a,,,,Alternate,,,,19-28,Watling Street,,,,,,,,,,,,
0df38e2e-7875-4c13-be72-cd8ea0effb2f,0df38e2e-7875-4c13-be72-cd8ea0effb2f,,,,Alternate,,,,10-18,Newport Place,,,,,,,,,,,,
0e5c109c-3887-40f6-a5ae-32ee3bf347aa,0e5c109c-3887-40f6-a5ae-32ee3bf347aa,,,,Alternate,,,,15,Cooper's Row,,,,,,,,,,,,
0fbdfa8d-069c-45b6-a177-3dca93241d9f,0fbdfa8d-069c-45b6-a177-3dca93241d9f,Harrow,Borough,Current,,,,,,,,,,,,,,,,,,
132dc6d9-4898-4325-98d0-d374b7421fff,132dc6d9-4898-4325-98d0-d374b7421fff,,,,Alternate,,,,,Winchester Square,,,,,,,,,,,,
18aeef47-0371-4b3a-aa09-5a9547b94855,18aeef47-0371-4b3a-aa09-5a9547b94855,,,,Alternate,,,,,Tabernacle Street,,,,,,,,,,,,
18dd9636-fc34-4ee4-9cdb-633cfd7c0dc0,18dd9636-fc34-4ee4-9cdb-633cfd7c0dc0,,,,Alternate,,,,1-6,Lloyd's Chambers,,,,,,,,,,,,
