ResourceID,External Cross Reference Source,External Cross Reference Number
0000fbad-dc5d-43ee-8317-00e3a0d0820d,Site Code,SAA97
000dae40-00e2-4a6c-98cf-383c717a7bd8,Site Code,YKR16
000dae40-00e2-4a6c-98cf-383c717a7bd8,OASIS ID,preconst1-252069
00112a3e-6ac4-4ac6-805f-128242f2c131,Site Code,SUY04
00149c00-9080-4da3-906d-76e97eb0c97d,Site Code,VIK03
00191d9b-a2e4-4c20-92c7-ecaec5846916,Site Code,XSF10
001e3d64-1761-4579-bd84-ab19ff1362e7,Site Code,BKB00
002338d4-f488-47f2-b996-58d1638a0f4c,Site Code,NEW81
0028a821-c105-4c7e-8677-e8e4c65d36ae,Site Code,AB78
0039ceb3-6e10-4ebf-8766-8b5ee719bea5,Site Code,LNH98
004008db-72b0-4a09-a98d-c0cd508dae6c,Site Code,CBL98
004113d1-a267-4c3d-97cd-060394d79cea,Site Code,LNE13
004113d1-a267-4c3d-97cd-060394d79cea,OASIS ID,preconst1-147542
00417c49-c6f8-4178-a8ab-6ca00ff4f85d,Site Code,MKS01
0052f915-600a-4c01-b324-633e39935eac,Site Code,SGT94
006be897-accb-4e84-953c-9dc111eabfdf,Site Code,TEN89
0075d2dd-cc5b-454c-8e6d-cc01db70375a,Site Code,TZJ09
0075d2dd-cc5b-454c-8e6d-cc01db70375a,OASIS ID,compassa1-81633
0075d2dd-cc5b-454c-8e6d-cc01db70375a,OASIS ID,compassa1-81633
00779f4d-39e8-429d-bb7a-8d789a2be11e,Site Code,LTD03
00792484-02e0-4015-9a64-0b51c458303a,Site Code,NOG05
00792484-02e0-4015-9a64-0b51c458303a,OASIS ID,molas1-9637
007c4447-772e-4477-ad1c-e2a3a9cb5c19,Site Code,BFV04
007e5364-14a5-438d-b246-33ed2a3bf01a,Site Code,FLL01
008aadbf-3838-4e7d-bb01-a54b72ebf1ae,Site Code,NHG98
009a0946-2b06-4277-8e0d-7f3ad1e533f1,Site Code,HFV03
009f0a0e-51c7-4566-8185-e6dc9be2e53a,Site Code,HPT01
009fa40f-b824-4a5b-a4d0-72aeacd304e5,Site Code,BIN88
00a09b81-3939-4601-8f42-0953adf27647,Site Code,ORD88
00a0acfe-53c2-4846-9e01-9f7a2cdb89b9,Site Code,NCS92
00b2637b-cda0-49f6-985f-20d8a5d8bad2,Site Code,POS92
00bc656c-e49a-4874-a119-2778660102b3,Site Code,ORM14
00c36934-b871-49c5-9367-28315dd7e1b7,Site Code,TAC92
00c838d6-bfeb-4e62-821f-085d83df6609,Site Code,FTH01
00c838d6-bfeb-4e62-821f-085d83df6609,OASIS ID,thamesdi1-161074
00cf21f0-6ee3-43dc-8a5f-fd8e3e4cd19d,Site Code,MCI08
00cf21f0-6ee3-43dc-8a5f-fd8e3e4cd19d,OASIS ID,molas1-57381
00df1b9e-689e-4ae6-a146-5c664524d62e,Site Code,NKD10
00dfcf85-cc7b-4905-9d83-35a02eaeac58,Site Code,CRS14
00e1d233-b590-4886-be82-3b7c233c1d0c,Site Code,TBI01
00e1d233-b590-4886-be82-3b7c233c1d0c,OASIS ID,preconst1-47260
00e39c9a-3149-467a-9cb1-bd65b353634d,Site Code,SPM96
00e8857d-c809-4e36-acae-4830ea04f952,Site Code,CLU97
00ed840f-5a78-497f-b120-32fa8a9014c2,Site Code,TWF07
00ed840f-5a78-497f-b120-32fa8a9014c2,OASIS ID,molas1-46052
00ef3c6b-77eb-45de-a797-dd15d87c3309,Site Code,DRW04
00f9227f-f957-4075-ae48-72d14daa332f,Site Code,PEP15
00f9227f-f957-4075-ae48-72d14daa332f,OASIS ID,molas1-255881
00f9227f-f957-4075-ae48-72d14daa332f,LPA Planning Reference,14/02777/FUL
00f9a88b-ba59-4b78-a8f3-b210a3b206f9,Site Code,KXT10
00f9a88b-ba59-4b78-a8f3-b210a3b206f9,OASIS ID,preconst1-79918
010ccd6f-51d3-48f0-8846-10d3bdf54ef2,Site Code,BIH99
011f586c-1c8a-484e-9630-afb89f2eadf1,Site Code,EUN08
011f9017-7acb-4402-98d7-8b7591985eb0,Site Code,SAF93
0137e10c-7d5f-4fa4-8954-10414f2ad8de,Site Code,YED00
0147747f-0154-4956-b71e-e554c5a644cf,Site Code,RPP10
0147747f-0154-4956-b71e-e554c5a644cf,OASIS ID,archaeol7-82624
01491e23-dab8-4434-9c6d-52c07e20ffac,Site Code,LEC08
01592d70-0f41-4fc3-9837-cc187eecf6a3,Site Code,RSP08
01592d70-0f41-4fc3-9837-cc187eecf6a3,OASIS ID,suttonar1-60825
016f44ab-7162-40a9-9e5f-084664477d8d,Site Code,MKG02
01743162-ef6d-444b-a673-47c326f1fe95,Site Code,YKW01
017955a1-5258-42d7-8665-90e01b0edf91,Site Code,LNJ06
017955a1-5258-42d7-8665-90e01b0edf91,OASIS ID,aocarcha1-38607
017bf7b8-20cb-4797-991b-decd3945f4e9,Site Code,JES99
0186ca53-1aff-42c0-a6ec-3399b1690a13,Site Code,WXG06
0198084a-6290-4ccd-8fbe-04bac2e69506,Site Code,PET81
0199e3c1-050e-43a5-9a29-ebc6f984591f,Site Code,BLO95
019d8703-72e0-4b2e-b3cf-0a2bd524556c,Site Code,FLE82
01a99e70-6e38-42d9-b05f-4cbc30b50a47,Site Code,GRN92
01a9e517-9ec7-4986-9a0c-ce3b445aed0a,Site Code,WON05
01aa58e5-84e6-4f3d-8312-06783274c367,Site Code,HFI07
01aa58e5-84e6-4f3d-8312-06783274c367,OASIS ID,wessexar1-35631
01af7a2f-fff3-4364-820e-d49b65b7c5bb,Site Code,HCS03
01bd3671-07c9-4dc3-86a9-cf42bea70b91,Site Code,GM292
01c3f63f-c9e2-4fda-97f8-784863e01241,Site Code,GM252
01ca315b-d651-45e6-9da8-c2d526ab0b78,Site Code,BBB05
01ca9def-2f05-4320-ae28-012a75a8eb8d,Site Code,VFR94
01d30f78-26f2-4625-8c37-76c0fb0c4f3e,Site Code,FMR93
01df9239-9647-49f6-9326-0f4774a48e7a,Site Code,VAI09
01df9239-9647-49f6-9326-0f4774a48e7a,OASIS ID,preconst1-66649
01e4eb0e-84d5-46cd-9807-a47204c59af8,Site Code,PIL75
01fae5ac-0ecf-4f9c-83fc-1a39aee66f9a,Site Code,WCN99
02010082-8ee0-492a-8bfd-d787023e779e,Site Code,BDK00
0205d30c-71ed-49e5-a7a4-9baf798885f2,Site Code,QNR04
021540fa-79a4-41df-91d0-f32988ce5ff2,Site Code,CAL16
021fa667-960a-4290-997e-d9658775f65c,Site Code,HPM01
02270339-f81b-424d-a9ab-3e54d08aa75c,Site Code,SNB00
02361f22-0b42-4256-818a-fbb07ddd5d69,Site Code,MND98
0250b5dd-4990-4c94-82e2-5a8faa44d40f,Site Code,BMB12
0250b5dd-4990-4c94-82e2-5a8faa44d40f,OASIS ID,lparchae1-139994
025312f6-88d3-4d31-8bc7-eeb07ca84a30,Site Code,DCR93
025312f6-88d3-4d31-8bc7-eeb07ca84a30,AIP Record Number,C.01.3416
025312f6-88d3-4d31-8bc7-eeb07ca84a30,Archsearch,1059540
02556c4f-cfb4-4a3d-a654-16414080c635,Site Code,LHT03
025ec3db-dd56-47f5-8690-6fa74d325040,Site Code,MWQ98
025ec3db-dd56-47f5-8690-6fa74d325040,OASIS ID,johnsamul-30366
02607c65-2e8c-486f-986f-55ea11b19c86,Site Code,WEY98
026d6478-6db6-4e9b-9f37-cea67f2c3100,Site Code,SY89
027344cf-cff8-42ca-bc25-54f12c089a95,Site Code,MFH88
02777aac-0d45-4419-8b27-c9c2fc7f6e1c,Site Code,JFS06
02777aac-0d45-4419-8b27-c9c2fc7f6e1c,OASIS ID,preconst1-18904
0278eedc-6812-47e6-aa81-2c8958df7854,Site Code,BEQ09
0278eedc-6812-47e6-aa81-2c8958df7854,OASIS ID,preconst1-91887
027964fa-7ced-4430-b0bc-487a6946153b,Site Code,QAN09
027964fa-7ced-4430-b0bc-487a6946153b,OASIS ID,compassa1-56929
0293600a-7a3d-4d4f-bd06-2905400526af,Site Code,RAR94
02a007be-755c-4b96-a6dd-cd4a6654f219,Site Code,ATY12
02b4f467-cf66-4da6-8d78-57fca5f833a7,Site Code,GLO96
02b8eb1a-d1d4-4e14-8206-36b71495296b,Site Code,179SBR80
02be6542-92ff-414c-aca7-0db0dea9b5bb,Site Code,YKW01
02cdf9dc-a215-407b-b531-b250ba6084fd,Site Code,TRE12
02cdf9dc-a215-407b-b531-b250ba6084fd,OASIS ID,preconst1-139839
02cdf9dc-a215-407b-b531-b250ba6084fd,LPA Planning Reference,PA/10/02340
02f027f3-040c-4118-8506-d9dd1194e11a,Site Code,LRH88
02fe4eeb-3540-4594-ae26-f9a80f860d84,Site Code,MUA08
02fe4eeb-3540-4594-ae26-f9a80f860d84,OASIS ID,preconst1-42301
0301d8ad-e358-4e73-8e4e-479b6c44320d,Site Code,MFH89
0308e2f9-9b57-45d1-b728-b82260eec829,Site Code,TCH05
030e7061-e4dd-4a18-a085-22373a400c5e,Site Code,COLS19
0314a03f-a263-4daf-bf5b-60bf5a000c63,Site Code,GM203
031533f5-a432-45bd-a6e9-cc772ad96fde,Site Code,GSL01
031983d0-17b3-4fb0-a145-9c6ace9ddfeb,Site Code,GUD99
0319b27b-b8bd-459c-99a1-42fc8f7cae7d,Site Code,EWE10
0319b27b-b8bd-459c-99a1-42fc8f7cae7d,OASIS ID,preconst1-90194
0319d3b6-2b44-45a1-b0c0-f53e864f72d0,Site Code,PLA00
031fdbf4-26bd-4ce0-89c0-7416335bda91,Site Code,BLK11
0325b888-3100-4714-b894-554b94902252,Site Code,WCI07
0325b888-3100-4714-b894-554b94902252,OASIS ID,suttonar1-70236
032e1947-d01c-4dc0-832a-b3cb72ad008b,Site Code,AMS64
