ResourceID,Location Description,Location Description Type
0000fbad-dc5d-43ee-8317-00e3a0d0820d,"Queen Victoria Street, EC4",Primary
00149c00-9080-4da3-906d-76e97eb0c97d,"Vickers Way, Hounslow",Primary
00191d9b-a2e4-4c20-92c7-ecaec5846916,"Lindsey Street, Farringdon Station, City of London, EC1",Primary
003be30b-92b2-481c-a6d5-633e822c5045,"Nine Elms Lane, Vauxhall",Primary
004113d1-a267-4c3d-97cd-060394d79cea,"Weston Street, Southwark, SE1 4PN",Primary
00417c49-c6f8-4178-a8ab-6ca00ff4f85d,"The Nursery Site, Mark Street, Stratford, Newham, E15",Primary
0052f915-600a-4c01-b324-633e39935eac,"Storey's Gate, Horseguards Road, Birdcage Walk, Westminster, SW1",Primary
0075d2dd-cc5b-454c-8e6d-cc01db70375a,"Seething Lane, City of London, EC3",Primary
0082a481-e990-4e52-8040-5e957e9519e9,"Felsham Road, Putney, SW15",Primary
0082a481-e990-4e52-8040-5e957e9519e9,"Walkers Place, Putney, SW15",Primary
008412a7-3be5-4a30-8262-822f4777387a,Heyford Avenue,Primary
009fa40f-b824-4a5b-a4d0-72aeacd304e5,"Croydon Road, Wallington, SM6",Primary
00a417b3-243e-4e78-a1d4-17057cc8e538,"Grove Market Place, Eltham, Greenwich, SE9 5TQ",Primary
00bc656c-e49a-4874-a119-2778660102b3,"Ormside Street, Southwark, SE15",Primary
00c838d6-bfeb-4e62-821f-085d83df6609,"Tower Wharf, Tower of London, Lower Thames Street",Primary
00ca51bf-16a7-42b9-956d-71ce312b5702,"Atlip Road, Alperton",Primary
00d16bad-beef-4e97-9ca6-999b33b2dccc,"Land at Horn Lane, Greenwich Peninsula",Primary
00e8857d-c809-4e36-acae-4830ea04f952,"Ludgate Broadway, EC4",Primary
00e8857d-c809-4e36-acae-4830ea04f952,"Carter Lane, EC4",Primary
00ed840f-5a78-497f-b120-32fa8a9014c2,"Land to west of Dock Road, Newham, E16",Primary
00f4de5f-0d72-4b10-96ef-492eccf1aa63,Vauxhall Bridge,Primary
00f4de5f-0d72-4b10-96ef-492eccf1aa63,Albert Embankment,Primary
00febb19-dcc1-4d49-83c6-54045802daa1,Albert Embankment,Primary
01007617-e050-4191-a4a1-79d32e453cee,"Grove House Estate, Abbotswood Road, Streatham",Primary
011f9017-7acb-4402-98d7-8b7591985eb0,"Safeway Site, Great Cambridge Road, Enfield, EN1",Primary
01491e23-dab8-4434-9c6d-52c07e20ffac,"Portsmouth Street, WC2",Primary
01491e23-dab8-4434-9c6d-52c07e20ffac,"Sheffield Street, WC2",Primary
0149cbe0-14e0-442d-a284-de53310a9170,Belvedere Road,Primary
014ef3f1-0a6b-484c-b010-19a23bfaddec,"Russells Footpath, Polworth Road, Streatham",Primary
01592d70-0f41-4fc3-9837-cc187eecf6a3,"Russell Hill, Purley, CR2",Primary
016ec113-05ab-4249-95a8-4a8d20418fb4,"Heathrow Airport, Inner Ring East, Hillingdon",Primary
01743162-ef6d-444b-a673-47c326f1fe95,"Adjacent to Midland Shed, Wharf Road, Camden",Primary
01743162-ef6d-444b-a673-47c326f1fe95,"Adjacent to Midland Shed, York Way, Camden",Primary
017eb203-28d1-4bee-a0e3-2970a0afe9f1,"Old Kent Road, Southwark, SE1",Primary
