ResourceID,Geometry
0000fbad-dc5d-43ee-8317-00e3a0d0820d,POINT (-0.1013021508134834 51.51252360104254)
00112a3e-6ac4-4ac6-805f-128242f2c131,POINT (-0.09782423536961408 51.50126596874621)
00191d9b-a2e4-4c20-92c7-ecaec5846916,POINT (-0.09999789299683082 51.51996650197013)
002338d4-f488-47f2-b996-58d1638a0f4c,POINT (-0.10643565509513415 51.523919477869484)
0028a821-c105-4c7e-8677-e8e4c65d36ae,POINT (-0.09165957242037348 51.50047864735336)
00391705-c3ee-4112-9993-15a2101cffd8,POINT (0.1936329519564187 51.51554327249832)
0039ceb3-6e10-4ebf-8766-8b5ee719bea5,POINT (-0.08303801097129981 51.51364729057554)
003be30b-92b2-481c-a6d5-633e822c5045,POINT (-0.12807216012499914 51.485642935337694)
004008db-72b0-4a09-a98d-c0cd508dae6c,POINT (-0.05909091435285039 51.51078014996884)
00417c49-c6f8-4178-a8ab-6ca00ff4f85d,POINT (0.004515467226186051 51.53983620328911)
0052f915-600a-4c01-b324-633e39935eac,POINT (-0.13015607956601186 51.50159329111791)
00620a93-eca1-43a6-a7ad-864f44b10ecb,POINT (0.18021077613357414 51.44600700659312)
006be897-accb-4e84-953c-9dc111eabfdf,POINT (-0.14559492845143532 51.51389669347243)
00709186-ba80-4529-82a3-9667f750486a,POINT (-0.09959053324192535 51.5148187391424)
00737d20-7fb1-467b-9b8c-ad5bed3d30bf,POINT (-0.15045293195463663 51.51558402724829)
00774748-d4c9-411c-a837-00cc0d743be6,POINT (-0.12249197393382823 51.34607587769187)
00779f4d-39e8-429d-bb7a-8d789a2be11e,POINT (-0.3165655049312532 51.33418716684133)
007c4447-772e-4477-ad1c-e2a3a9cb5c19,POINT (-0.08902703717765793 51.52336228567218)
007d3a46-aa18-4249-b4ed-37343106521b,POINT (-0.16978782697767145 51.47944899561101)
007e5364-14a5-438d-b246-33ed2a3bf01a,POINT (-0.12459585256709868 51.51243068995308)
008150d6-b720-478b-889f-15ff68aaf973,POINT (-0.12803745012681844 51.5093382092205)
008412a7-3be5-4a30-8262-822f4777387a,POINT (-0.11910734224862526 51.482981544034104)
008aadbf-3838-4e7d-bb01-a54b72ebf1ae,POINT (-0.09545963321056108 51.51645764319035)
009a0946-2b06-4277-8e0d-7f3ad1e533f1,POINT (-0.11614259839570723 51.58733025547952)
009fa40f-b824-4a5b-a4d0-72aeacd304e5,POINT (-0.1452648590549418 51.368875527297824)
00a6498e-04eb-48f5-a5d9-96997bb1626d,POINT (-0.18204395015994254 51.398965529035124)
00a8cbd4-516e-4e59-be82-abcb326c0f2e,POINT (0.11458012660554168 51.39734306532368)
00bfad77-d647-48e8-a532-7b9acd002f50,"MULTIPOINT ((-0.09179359206340591 51.509338707251466),(-0.09245088400296514 51.507288796808496))"
00c36934-b871-49c5-9367-28315dd7e1b7,POINT (-0.08768732523565785 51.52307564155515)
00d20539-9f39-40f5-975b-6df8bd0eeffe,POINT (-0.29892094014981924 51.405226171779844)
00df1b9e-689e-4ae6-a146-5c664524d62e,POINT (-0.09290908154593623 51.49377628234158)
00dfcf85-cc7b-4905-9d83-35a02eaeac58,POINT (-0.1801076929247894 51.65302101256136)
00e1d233-b590-4886-be82-3b7c233c1d0c,POINT (-0.0790653473219255 51.500449015790316)
00e8857d-c809-4e36-acae-4830ea04f952,POINT (-0.102648167112477 51.51342667077392)
00ef3c6b-77eb-45de-a797-dd15d87c3309,POINT (-0.04122229335229836 51.51745240704962)
00f4de5f-0d72-4b10-96ef-492eccf1aa63,POINT (-0.12463606375682955 51.48689198054538)
00f9227f-f957-4075-ae48-72d14daa332f,POINT (-0.13880269613013627 51.47183914115115)
00febb19-dcc1-4d49-83c6-54045802daa1,POINT (-0.12181237531793626 51.492512203154526)
01007617-e050-4191-a4a1-79d32e453cee,POINT (-0.13819998065002942 51.4367489279355)
010ccd6f-51d3-48f0-8846-10d3bdf54ef2,POINT (-0.09194882527844805 51.50390060859335)
010d5c0e-0c76-40ed-b3e3-2c5547017b12,"MULTIPOINT ((-0.27492472873353313 51.42111355777235),(-0.2746386776033185 51.421044113988856),(-0.2749288237031773 51.421004897538964),(-0.27472562402066597 51.42095189419157))"
011f9017-7acb-4402-98d7-8b7591985eb0,POINT (-0.05896393923571359 51.652636300194764)
01491e23-dab8-4434-9c6d-52c07e20ffac,POINT (-0.11760525634434402 51.51473776885881)
0149cbe0-14e0-442d-a284-de53310a9170,POINT (-0.11741790131176831 51.50476180378952)
014ef3f1-0a6b-484c-b010-19a23bfaddec,POINT (-0.12284944814214398 51.425128157715434)
016f44ab-7162-40a9-9e5f-084664477d8d,POINT (-0.26543217932544105 51.46946362115185)
017bf7b8-20cb-4797-991b-decd3945f4e9,POINT (-0.12343995164608824 51.51250213078346)
