ResourceID,Event Type
0000fbad-dc5d-43ee-8317-00e3a0d0820d,Watching Brief
000dae40-00e2-4a6c-98cf-383c717a7bd8,Excavation
00112a3e-6ac4-4ac6-805f-128242f2c131,Watching Brief
00149c00-9080-4da3-906d-76e97eb0c97d,Trial Trench
00191d9b-a2e4-4c20-92c7-ecaec5846916,Watching Brief
001e3d64-1761-4579-bd84-ab19ff1362e7,Trial Trench
002338d4-f488-47f2-b996-58d1638a0f4c,Open Area Excavation
0028a821-c105-4c7e-8677-e8e4c65d36ae,Excavation
00391705-c3ee-4112-9993-15a2101cffd8,Trial Trench
0039ceb3-6e10-4ebf-8766-8b5ee719bea5,Watching Brief
0039ceb3-6e10-4ebf-8766-8b5ee719bea5,Geotechnical Test Pit
003be30b-92b2-481c-a6d5-633e822c5045,Excavation
004008db-72b0-4a09-a98d-c0cd508dae6c,Trial Trench
004113d1-a267-4c3d-97cd-060394d79cea,Excavation
00417c49-c6f8-4178-a8ab-6ca00ff4f85d,Trial Trench
0052f915-600a-4c01-b324-633e39935eac,Trial Trench
00620a93-eca1-43a6-a7ad-864f44b10ecb,Casual Observation
00645b85-0aaf-4442-89d0-2bc9a792e5a3,Geotechnical Survey
006be897-accb-4e84-953c-9dc111eabfdf,Trial Trench
0075d2dd-cc5b-454c-8e6d-cc01db70375a,Watching Brief
00779f4d-39e8-429d-bb7a-8d789a2be11e,Trial Trench
00792484-02e0-4015-9a64-0b51c458303a,Evaluation
007c4447-772e-4477-ad1c-e2a3a9cb5c19,Watching Brief
007e5364-14a5-438d-b246-33ed2a3bf01a,Excavation
0082a481-e990-4e52-8040-5e957e9519e9,Desk Based Assessment
008412a7-3be5-4a30-8262-822f4777387a,Desk Based Assessment
008aadbf-3838-4e7d-bb01-a54b72ebf1ae,Evaluation
009a0946-2b06-4277-8e0d-7f3ad1e533f1,Trial Trench
009f0a0e-51c7-4566-8185-e6dc9be2e53a,Building Survey
009fa40f-b824-4a5b-a4d0-72aeacd304e5,Open Area Excavation
00a09b81-3939-4601-8f42-0953adf27647,Watching Brief
00a0acfe-53c2-4846-9e01-9f7a2cdb89b9,Trial Trench
00a417b3-243e-4e78-a1d4-17057cc8e538,Desk Based Assessment
00b2637b-cda0-49f6-985f-20d8a5d8bad2,Evaluation
00b86da8-4df4-45e3-87a3-a8c51ec4772c,Management Survey
00b86da8-4df4-45e3-87a3-a8c51ec4772c,Historic Area Assessment
00bc656c-e49a-4874-a119-2778660102b3,Watching Brief
00c36934-b871-49c5-9367-28315dd7e1b7,Watching Brief
00c838d6-bfeb-4e62-821f-085d83df6609,Building Survey
00c838d6-bfeb-4e62-821f-085d83df6609,Field Observation (Visual Assessment)
00c838d6-bfeb-4e62-821f-085d83df6609,Measured Survey
00c838d6-bfeb-4e62-821f-085d83df6609,Photographic Survey
00ca51bf-16a7-42b9-956d-71ce312b5702,Desk Based Assessment
00cced2d-5483-41b1-901e-e49c13c78e80,Desk Based Assessment
00cf21f0-6ee3-43dc-8a5f-fd8e3e4cd19d,Excavation
00d16bad-beef-4e97-9ca6-999b33b2dccc,Desk Based Assessment
00df1b9e-689e-4ae6-a146-5c664524d62e,Evaluation
00dfcf85-cc7b-4905-9d83-35a02eaeac58,Geophysical Survey
00e1d233-b590-4886-be82-3b7c233c1d0c,Trial Trench
00e39c9a-3149-467a-9cb1-bd65b353634d,Trial Trench
00e8857d-c809-4e36-acae-4830ea04f952,Watching Brief
00e9327c-ee37-4048-ab72-9d30daf67397,Desk Based Assessment
00ed840f-5a78-497f-b120-32fa8a9014c2,Geotechnical Survey
00ed840f-5a78-497f-b120-32fa8a9014c2,Auger Survey
00ed840f-5a78-497f-b120-32fa8a9014c2,Watching Brief
00ef3c6b-77eb-45de-a797-dd15d87c3309,Trial Trench
00f2b68d-0888-4437-9a30-96f862baf0d5,Desk Based Assessment
00f4de5f-0d72-4b10-96ef-492eccf1aa63,Desk Based Assessment
00f9227f-f957-4075-ae48-72d14daa332f,Watching Brief
00f9a88b-ba59-4b78-a8f3-b210a3b206f9,Watching Brief
00febb19-dcc1-4d49-83c6-54045802daa1,Desk Based Assessment
01007617-e050-4191-a4a1-79d32e453cee,Casual Observation
010ccd6f-51d3-48f0-8846-10d3bdf54ef2,Watching Brief
0112d60c-aebf-4091-bc1d-ca5066393177,Desk Based Assessment
011f586c-1c8a-484e-9630-afb89f2eadf1,Desk Based Assessment
011f9017-7acb-4402-98d7-8b7591985eb0,Trial Trench
0137779c-d713-4e92-9e44-32416e489ac0,Desk Based Assessment
0137e10c-7d5f-4fa4-8954-10414f2ad8de,Trial Trench
0147747f-0154-4956-b71e-e554c5a644cf,Trial Trench
01491e23-dab8-4434-9c6d-52c07e20ffac,Building Survey
0149cbe0-14e0-442d-a284-de53310a9170,Desk Based Assessment
014ef3f1-0a6b-484c-b010-19a23bfaddec,Desk Based Assessment
01592d70-0f41-4fc3-9837-cc187eecf6a3,Trial Trench
016a62dd-f2c6-406c-8dc8-73fb0d017ece,Desk Based Assessment
