ResourceID,DALUID,Building Number and Street,Building Name,Locality,Town,Postcode,Address Status,Area Name,Area Type,Area Currency,Reference Number,Reference Number Type,Location Description,Name,Name_Type
0008cba4-3d79-573e-96f4-df23e2398493,DALO05220,21  Verbena Close,,Canning Town,London,E16 4NU,Primary,Newham,Borough,Current,16/00366/HH,External Organization Reference Number,,21 Verbena Close,Primary
0009dee2-2a18-5e8f-31b6-c6f9c62472f0,DALO01470,68  Alpine Way,Emt House,Beckton,London,E6 6LL,Primary,Newham,Borough,Current,17/03474/OUT,External Organization Reference Number,,"Emt House, 68 Alpine Way, Beckton, London, E6 6LL",Primary
000a3d22-834a-63df-5be1-b8ea3f483fa0,DALO06222,17  Gresley Road,,,London,N19 3LA,Primary,Islington,Borough,Current,P2013/1117/FUL,External Organization Reference Number,"Land at Turk's Head Yard, Islington, London EC1",Islington Unassigned,Primary
001282a2-1dfa-3670-2b52-61a64a8d62d8,DALO00261,115  Redchurch Street ,,,London,E2,Primary,Tower Hamlets,Borough,Current,PA/12/01098,External Organization Reference Number,,"115 Redchurch Street, E2",Primary
003e8155-11a1-7c93-4416-ebbffa0a454f,DALO00796,,St Gabriel's College,,London,SE5 9RF,Primary,Lambeth,Borough,Current,16/00510/FUL & 16/00511/LB,External Organization Reference Number,	St Gabriel's College Cormont Road London ,	St Gabriel's College Cormont Road London SE5 9RF,Primary
007c30e4-a7b0-749d-3547-b22f90f9953f,DALO02219,67  Drury Lane,,,London,WC2B 5SP,Primary,City of Westminster,Borough,Current,15/00955/FULL,External Organization Reference Number,Theatre Royal Catherine Street London WC2B 5JF,Theatre Royal Catherine Street London WC2B 5JF,Primary
00831b64-41f6-9e65-1688-b8f883fb3bea,DALO06187,56  Abbey Road,,Croydon,London,CR0 1RT,Primary,Croydon,Borough,Current,15/03529/P,External Organization Reference Number,,56 Abbey Road,Primary
00912337-0463-56c2-485f-87feb1ff7a12,DALO02311,62-64  Horseferry Road,,,London,SW1P 2AF,Primary,City of Westminster,Borough,Current,17/06614/FULL,External Organization Reference Number,,62-64 Horseferry Road London SW1P 2AF,Primary
00945e43-0917-52db-57b1-fadeabac6157,DALO01663,497-499 Ley Street,Ley Street House,Ilford,London,IG2 7QX,Primary,Redbridge,Borough,Current,,,"Development Site Adjacent 497 To 499, Ley Street, Ilford","Development Site Adjacent 497 To 499, Ley Street, Ilford",Primary
00993a08-0052-0fdd-4dab-0a2e674c2a82,DALO05398,807  High Road ,,,London,N17 8ER,Primary,Haringey,Borough,Current,HGY/2016/0165,External Organization Reference Number,,807 High Road,Primary
