ResourceID,Geometry
0008cba4-3d79-573e-96f4-df23e2398493,"POLYGON ((0.010012650680253664 51.52391699358931,0.010011628645165548 51.52387744234906,0.009698468259706923 51.52387920201746,0.009654255483037107 51.523880424229745,0.009654101153716855 51.523909654347285,0.009739828819771635 51.52390863414876,0.009740244288289334 51.52391806911432,0.010012650680253664 51.52391699358931))"
0009dee2-2a18-5e8f-31b6-c6f9c62472f0,"POLYGON ((0.06703282559559008 51.51679580794431,0.06700257577826166 51.516548885944324,0.06698883013765483 51.5165497701333,0.06698632406476551 51.516534974078695,0.0667345628822637 51.5165478746224,0.0668073634687678 51.51695713245845,0.06703077193168056 51.51679744371244,0.0670307461168418 51.516797293773436,0.06703282559559008 51.51679580794431))"
001282a2-1dfa-3670-2b52-61a64a8d62d8,"POLYGON ((-0.07213679754584372 51.52483847873808,-0.07218648628514927 51.5249874093738,-0.07211861351300257 51.52499472169286,-0.07206303759993062 51.524848102886565,-0.07213679754584372 51.52483847873808))"
003e8155-11a1-7c93-4416-ebbffa0a454f,"POLYGON ((-0.10584092740300387 51.47418057929457,-0.10546253055439023 51.47398626861051,-0.10535200673065734 51.473930725395846,-0.10531132947104577 51.4739111168647,-0.10538935698222583 51.473738210360345,-0.10565555490297944 51.473583866691484,-0.10570508045725577 51.47355083307499,-0.1057850034001735 51.473575917622156,-0.10577061554321043 51.47358985555905,-0.10573349388072137 51.47362771613663,-0.1056578761352805 51.47371493135129,-0.10619003494924938 51.47391556809977,-0.10619554122540593 51.47391024018804,-0.10663603324669213 51.473456142475776,-0.10600957868613692 51.47326188424799,-0.10600964524564548 51.47326177053966,-0.10600351545360133 51.47325989192991,-0.10605479337697711 51.47318547249291,-0.10607512363199383 51.473151114388735,-0.10661784868494656 51.473207824690704,-0.10691653660459265 51.47323751927465,-0.10691418519270651 51.4732399127552,-0.10691806447434904 51.47324028996401,-0.10684141111063256 51.47331559294916,-0.10671114181076388 51.47345335402638,-0.10636818693695689 51.47383825163982,-0.10632576635154944 51.47386897377129,-0.10585371262028515 51.47417256649613,-0.10585345638212951 51.474172442701985,-0.10584092740300387 51.47418057929457))"
007c30e4-a7b0-749d-3547-b22f90f9953f,"POLYGON ((-0.11954716745252741 51.51340435947614,-0.11966928356832647 51.51324983319665,-0.12018860626185321 51.51341757161385,-0.12001651556762041 51.513614677913885,-0.11952445577430036 51.51343309967976,-0.11952777574518265 51.51342889830914,-0.11952584768048029 51.51342817403543,-0.11954716745252741 51.51340435947614))"
00831b64-41f6-9e65-1688-b8f883fb3bea,"POLYGON ((-0.10771822076924867 51.37060357728401,-0.10769576051825329 51.370555552543074,-0.10766427054188416 51.37051817423061,-0.10761189184110226 51.37048180595855,-0.10768304041275975 51.37046362067957,-0.10798548654663537 51.37045285669424,-0.10803160479272972 51.37047689218282,-0.10807191049456938 51.37056252483593,-0.10771822076924867 51.37060357728401))"
00912337-0463-56c2-485f-87feb1ff7a12,"POLYGON ((-0.12790685801617271 51.49509034304746,-0.12790380942984214 51.49508101465098,-0.12781892212914395 51.49508751192612,-0.12780160043548122 51.49503584145044,-0.1277930119137183 51.494994304270115,-0.1277679001522439 51.49499318917548,-0.12775983647684988 51.49493881165651,-0.12797705159118658 51.49494013738562,-0.12801348689281433 51.49508347954793,-0.12790685801617271 51.49509034304746))"
00945e43-0917-52db-57b1-fadeabac6157,"POLYGON ((0.08366315191655616 51.568785244055846,0.08366648344762392 51.56877353897356,0.08370748317861734 51.56877783777807,0.08375933476466829 51.56877434774229,0.0837499758209857 51.56867838260069,0.08365483923040386 51.56866900446524,0.08348118435037213 51.56864602663459,0.08349975937173765 51.56858589858039,0.08318142360428502 51.568553488161875,0.0831653238878978 51.56860423115771,0.08299717420927959 51.568581980820895,0.08299626697066731 51.568586302903306,0.0829496960785816 51.568579017499026,0.08296529405564394 51.56850260184337,0.08294037221847537 51.568501634754554,0.08296354534742108 51.568380810964634,0.08297422331814262 51.56832885850478,0.08300260733881508 51.568233074760236,0.08314725520199666 51.5682511060838,0.08315378820011537 51.56819945870671,0.0828561993496966 51.56816548293616,0.08284575198806189 51.568189244091286,0.08284176131262187 51.56818882034968,0.08284124151069362 51.5681995030195,0.0828306965393223 51.568223489434764,0.08288082143727751 51.568226339533,0.08292633469077548 51.568234904988664,0.08293391522838053 51.56826712907689,0.08290512500559422 51.568372331257585,0.0828891424000139 51.568477184361704,0.08288125869791581 51.56850171404241,0.0828230845232034 51.568502514579784,0.08281938775886619 51.56865489125507,0.08286208124976785 51.568689205207384,0.08297559967071481 51.5687011074489,0.08297527075739118 51.568704191708456,0.08366315191655616 51.568785244055846))"
00993a08-0052-0fdd-4dab-0a2e674c2a82,"POLYGON ((-0.0683345204875135 51.606080127151216,-0.0683360730195297 51.60597583975381,-0.06844058664385813 51.60598026010703,-0.06866960121977364 51.60596020279165,-0.06866533165357257 51.60594169734613,-0.0688123643426862 51.605931081048844,-0.06884989404287996 51.6061016564549,-0.06869758230001456 51.606117581787466,-0.06869070789031448 51.606092739291526,-0.06864754634918743 51.60608888170202,-0.06866872991310687 51.60612025399047,-0.06862359967366202 51.60612535559575,-0.06861240326515518 51.60608290683922,-0.0683345204875135 51.606080127151216))"
00a25d73-890d-1a99-2c9f-e48a2a0f9c6d,"POLYGON ((0.03329851099183812 51.59642872862455,0.03320577626805623 51.59646990242234,0.033054011989714985 51.59651524596266,0.03307543785645691 51.59657467553523,0.03332013812981126 51.59650883766744,0.03356149774430417 51.59636886869737,0.0334847857644027 51.5963162420194,0.03329851099183812 51.59642872862455))"
00a8f8bd-09d8-6fdb-3219-556027ff94f5,"POLYGON ((-0.18110457207170907 51.41489822921771,-0.1810016752101176 51.414614678048515,-0.17940333307777562 51.41490750850847,-0.17910926892049733 51.414264081222164,-0.17914590234834218 51.41420397681821,-0.1791942257134722 51.414136915803105,-0.17918636156424048 51.41404756745171,-0.17961840958869832 51.413947206550645,-0.1803081908524649 51.41353676917731,-0.18105922857119683 51.41345206228017,-0.18109462698217654 51.41356682125022,-0.1824707860415847 51.41340614752785,-0.18273938941542697 51.41411698176135,-0.1837104365584723 51.413953580735466,-0.18368668100667213 51.414120958173356,-0.18326246321313056 51.41416791903716,-0.18314796299924774 51.414608704821795,-0.18110457207170907 51.41489822921771))"
00bce30a-118c-490f-652a-407fa22b9662,"POLYGON ((0.07173915651854168 51.55807964924922,0.07138176146638425 51.5580098226966,0.0713958506661824 51.55798387645038,0.07135427140021472 51.557976045195936,0.07134301687218167 51.55799718231579,0.07131220174694697 51.55799106413049,0.07132193089246537 51.55796995394691,0.07129111732782023 51.5579638357282,0.07123837052837459 51.55807992679426,0.07136298068240608 51.558100568199436,0.07137794754274511 51.558060331376126,0.071721180762183 51.55812089188956,0.07173915651854168 51.55807964924922))"
00d43b76-71b6-530c-9cde-e38579589a95,"POLYGON ((-0.11290652216678149 51.4732777284232,-0.11290010138593636 51.47315627897409,-0.11338583540109352 51.473156958774936,-0.11342390161074857 51.47320396667837,-0.11290652216678149 51.4732777284232))"
00da01ae-5da0-4c51-0db1-55cb8c055b3c,"POLYGON ((-0.3583342607985597 51.46978521195035,-0.3585638682689601 51.46975630653962,-0.3588116198642457 51.4701773372894,-0.3586905278552653 51.4702077625321,-0.35863776577498985 51.47008568053024,-0.3584649345641874 51.469965487263536,-0.3583342607985597 51.46978521195035))"
00e82d53-8789-8adb-51ff-f82e900f3a9e,"POLYGON ((-0.05900992806701638 51.64605218291171,-0.05920915782388452 51.64487132790532,-0.05931403682442557 51.64489968070724,-0.05979842927001188 51.64493251090783,-0.060058446307916534 51.64497332001938,-0.06020097090502416 51.64518925128347,-0.060153213297545624 51.64609078332023,-0.05900992806701638 51.64605218291171))"
