ResourceID,Organisation Type,Currency
004622b0-1173-48c7-bec6-66ac305a0261,Energy Provider,Current
008eb6cd-f035-4924-8560-caf196132af5,Local amateur group,Current
00934532-3683-4282-b609-24b392ec7530,Developer,Current
009b376c-7bab-4643-bf66-8c5b5a9f46aa,Consultant,Current
00dd4cac-0399-4386-b2ba-8e58ecc36a01,Consultant,Current
0101f7e4-25d9-46ff-9269-3c5d9bcd34d5,Builder,Current
015a94d3-01d7-48c3-8aa1-6a83f7f4a1f5,Developer,Current
017a7e49-aee1-4fcb-b9b6-9442ff9d208d,Contractor,Current
017c9583-7e38-47ca-b775-bfc88ca1acc1,Architects,Current
0190cb2c-269d-43c0-b90f-6afa87d5cb08,Builder,Current
019a0345-ce73-49dd-9982-50ede416062e,Consultant,Current
01a44159-a393-4d76-89cc-040e8c7abc77,Consultant,Current
01c881fe-47f7-4118-bc5a-c65c882183cf,Consultant,Current
01e19f24-0c68-4f67-b754-5169b7f8de8d,Developer,Current
01f7530b-ea6a-497f-b4d0-071c52e345f2,Architects,Former
02122a11-00a0-477f-8293-26deb5be9c61,Consultant,Current
023eee92-87a8-464b-922f-cc37464267df,Developer,Current
023f823c-0726-45a0-a8e7-3d2c66d54327,Contractor,Current
024bda6b-520a-4979-a73d-bc3aeb9f7618,Architects,Former
025ce0c2-3b6e-4262-8a67-f58accc6b7ce,Architects,Current
025f277b-fe8d-4b02-be84-62e6edb901b7,Agent,Current
029011d8-0f05-450c-8834-67d044147526,Consultant,Former
02924054-a41e-419a-b310-7083fa7efb90,Solicitors,Current
02b97cfa-67ac-4fe8-8802-ef87900d8695,Agent,Current
02bc5647-4f89-461b-b6c8-c3fec3c4d86f,Developer,Current
02e68e6e-4cad-4f23-b023-4b44d1cdb276,Consultant,Current
0332ec50-16f2-4394-b586-a098d8f608b2,Archive,Current
036c2b09-4ad7-41d1-9b42-c9932e5031f5,Consultant,Current
039d783a-b2fb-4402-bbb9-806b58f6babd,Local amateur group,Current
03a6e3c0-c55a-4cfd-a598-4549f745a78c,Developer,Former
03aa932b-87be-4479-a2fb-5991be437b14,Developer,Current
03bec780-8cc2-4c0d-8a0f-37ae7f1f654e,Architects,Current
03bfa7b0-14ef-4698-9fbf-93f82a4a38d5,Developer,Current
03ce669c-ff7c-4d00-bc83-ea59598beb77,Developer,Current
03fef89e-e03a-4817-a4b9-d3dc1ce9c5b1,Contractor,Current
0417d915-56f1-4896-a618-ba3b91e86fa3,Developer,Current
0468e9b3-b7e0-4917-bfce-551fe3fd9981,Consultant,Current
