ResourceID,Geometry
001ef3d5-f4eb-4d21-8a26-b6d1b7b3b2f7,"LINESTRING (-0.32452787824744417 51.44677762013623,-0.3246683394168879 51.446745982785195,-0.3246703982535273 51.44674552663594,-0.32469680143195806 51.446731516412115,-0.3249541078786843 51.4466614578531,-0.3249577367345437 51.44666061049548,-0.32498063760656004 51.44666363556133,-0.32518696045214296 51.446609933097434,-0.32518673042976953 51.44660945501491)"
005ea35e-f950-4180-9617-6e4a9bac016e,"LINESTRING (-0.09427034875504743 51.47047718985173,-0.09407549361220482 51.47059984365513)"
0068c181-2637-4b52-a3a9-fddc369e9b69,"LINESTRING (-0.06829641359653707 51.50512406850741,-0.06800894721469976 51.50573336191452,-0.06733278609183012 51.50637544037083,-0.06754692457143176 51.506509615364656,-0.06823194020017001 51.507389690899174,-0.06842374792210608 51.50780438271577,-0.06854457883688218 51.507917420822416,-0.0689117697812658 51.50814556628412,-0.06904965838775991 51.50835033621652,-0.06911183724993139 51.508612650078845)"
00ccf512-482e-443c-bce4-aaf1da1dce6f,"LINESTRING (-0.4510890271424053 51.521308336695064,-0.45099748382628296 51.520884363546344,-0.4505644026647606 51.52093148654166)"
011a2117-3a6f-4730-baad-252474fd0336,"LINESTRING (-0.07648355416982752 51.54091964290625,-0.07598527216630775 51.5407603021323,-0.07563678625989496 51.540401885223645,-0.07436082204247002 51.53952437144797,-0.07385618570678201 51.53903741745746,-0.07280974886565805 51.538465963048274,-0.07197053024757977 51.53777195959492,-0.07191907004383517 51.53707833884288,-0.07190647090143959 51.53546585793989,-0.0717796044540808 51.53464503656214,-0.07163415385781277 51.53378612172612,-0.07154979050164807 51.53291561756367,-0.07138958900610219 51.530973217554326)"
01395659-a5d5-4c70-b4dd-f552ef602c08,"LINESTRING (-0.01811129158049358 51.480023928179264,-0.018036132095446272 51.48003045027222,-0.017595455660150396 51.480120400066646)"
02ec83ff-72c4-4672-b96f-3be96df8af05,"MULTILINESTRING ((-0.09846226605880376 51.36995314764895,-0.09845226966722435 51.369926591132206),(-0.09828545422503518 51.369828026892904,-0.09838537639448008 51.36982687155598))"
03687175-5b24-4b39-b6e2-b5985632a758,"LINESTRING (0.0006007741716290553 51.501488401285826,-5.294049267752216e-5 51.50085062041992,-0.0005145735395142881 51.50108080991778,-0.00019568749829132611 51.50132773552583,-0.0009198465279645441 51.5017186344209,-0.0011718765097929339 51.50101991476149,-0.0017475945397319639 51.500843462619926)"
045ca785-c9da-4476-8b68-bb98c9e7bbad,"LINESTRING (0.05583798702531866 51.4457674356479,0.05570026854719379 51.44574512167763,0.055703298397267134 51.445732478495735,0.05570510469454783 51.44570861569107,0.05570189823900858 51.445685290481734,0.05569623965435531 51.4456714508124,0.05569202769147415 51.44565803450542,0.05566083255578128 51.44563610055398,0.05564760819544444 51.44563003756721,0.05561986277682951 51.4456210818451,0.05560090669217211 51.4456155690592,0.055572603750292916 51.445610220256626,0.05557645352265222 51.445599810910956,0.05554133546311578 51.44559348004194,0.05550920181074537 51.44558768673665,0.0554741679392565 51.44558137145717,0.055445895621285234 51.445576607523016,0.05540924325430614 51.44557043123057,0.05538716281247817 51.4455667106443)"
04fc58d2-ed99-4b8d-a4a5-5347f603f3fa,"LINESTRING (-0.14501593073934652 51.59512697178728,-0.14610954953573246 51.594798049398605,-0.14686059503719104 51.59464007429418,-0.14747193509531847 51.594564806187,-0.14772904951919621 51.59443169092005,-0.1479504726086263 51.59440252367644,-0.1489400442306379 51.5945683674071,-0.15016921686282209 51.594515888958526,-0.15032802008864324 51.5944791984369)"
05428543-80d4-42f1-b774-d5ae26667108,"LINESTRING (-0.0693713059236098 51.60135020315219,-0.06796915821398553 51.60141358537809,-0.0679655384621671 51.601247209192145,-0.06797073359464101 51.60125062113486)"
080190cf-947f-4a56-8c46-3decbb59d68e,"MULTILINESTRING ((0.05623164388193952 51.47951553787824,0.056151202278281326 51.479414283493945,0.05597782180853183 51.47949629817641,0.055871040006278225 51.479371814073886,0.055684666216280265 51.47944615874149,0.05555296561518722 51.479330008904654,0.05535430822839149 51.47941246597004,0.05519662295207341 51.47928097643008),(0.05457524334891075 51.47924448673954,0.05475004433911731 51.479194038308,0.05491965650577279 51.47930952434335,0.05508181933311204 51.47925929699863))"
