ResourceID,Geometry
000dd18f-33d1-472b-9a4a-59833c9ceaea,"MULTIPOINT ((-0.36511299096156646 51.51943212659707),(-0.3653399123912344 51.51938028427654))"
00ed4dd9-7b21-4683-878f-759bf12248c9,"MULTIPOINT ((0.20535996918344082 51.61357177450877),(0.1990157331182323 51.610813158825216),(0.2031225479030689 51.606149572303615))"
012c2eab-0aee-4c8a-9b78-fd01c4b1f579,"MULTIPOINT ((-0.07569398737546025 51.487852633208206),(-0.026119262783972585 51.47506756394962))"
01807dbb-50ea-4e80-ae0d-004a14294a11,"MULTIPOINT ((0.013524143507542502 51.36817256241039),(0.0172110822992891 51.36698580202681))"
0202ed88-89c0-4748-9ab2-110e280e4cba,"MULTIPOINT ((-0.10700371423358708 51.37172609333158),(-0.10208491980293455 51.33081902459204))"
0213d3d3-724f-49f9-9215-2d8482f9cc42,"MULTIPOINT ((0.04019090855479347 51.57141445742425),(0.03931840811025157 51.570620301514),(0.04580671914086279 51.568306366725984),(0.0471141865202673 51.56780464401936),(0.04626529862711506 51.56780584736064),(0.040805415842872915 51.56773477732375))"
021a7568-b1c6-46bc-8c45-977a6a974f4d,"MULTIPOINT ((-0.07888331623883407 51.514766281845155),(-0.07898792574605505 51.51467807079155),(-0.07880182062215305 51.51464803968317),(-0.07858804326769715 51.514590580914906),(-0.07853346262685862 51.51451774609886))"
026ec8a2-e6f1-408d-9483-545928bdafc4,"MULTIPOINT ((-0.3966003388652722 51.61137832156721),(-0.3955405749906635 51.60866609359595))"
02d08cf7-9179-4d5b-b16e-98e1aabb7058,"MULTIPOINT ((0.058033730989708744 51.407495976044544),(0.058138040712322925 51.406936593944565))"
02dd5a75-8c0e-42d0-a536-33014f587351,"MULTIPOINT ((-0.1288638361122673 51.38529624604247),(-0.12619327902186445 51.38030763874056),(-0.12632174027002996 51.37716225630178),(-0.12346814623064274 51.37666699457815))"
02ee43df-6170-4cd0-aa51-4db0eab53bae,"MULTIPOINT ((-0.1286712046672073 51.5114454978951),(-0.1290012223751141 51.51142709275642),(-0.12894511839389386 51.51140791202651))"
03599e5b-184c-4cd8-8ddc-6a73cfdbc8be,"MULTIPOINT ((-0.03983304243404609 51.363336775466756),(-0.03941008641837294 51.36314984697152))"
04a17f9d-2c82-4ba5-a5c1-1bd4ba697ef4,"MULTIPOINT ((-0.4678526705835158 51.481132579027935),(-0.4700209817369852 51.48089111673739),(-0.46772076276071867 51.48077115273409),(-0.4696011557608276 51.48052593511374),(-0.47062083690497314 51.4801795422754))"
04d7c672-25d0-4d7b-b12a-900d70cd8c14,"MULTIPOINT ((-0.01656653499002439 51.53587803839116),(-0.07653268025440244 51.53633701794981))"
04f95db8-371c-430e-ac6c-b7c527fa9e85,"MULTIPOINT ((-0.03035218473920259 51.533861909574846),(-0.028627042460056415 51.5337430297537),(-0.029347469903596563 51.53375512369378),(-0.02921114918539961 51.53357298334734))"
05c89541-5394-4825-a166-bedf7cbbf9d2,"MULTIPOINT ((-0.3745631950501448 51.54902693605386),(-0.45151994460682265 51.533882127533055))"
05d009c2-71c7-452b-90b3-94cdd9db04ff,"MULTIPOINT ((-0.0790917991496047 51.51494955286217),(-0.07950908162116073 51.51462366651865),(-0.08019357484727967 51.51445502479522),(-0.08099253719398702 51.51430624643457),(-0.08007982822693456 51.514075469549695))"
