ResourceID,Full Address,Address Type,Building Name,Building Number (Sub-Street),Sub-Street,Building Number (Street),Street,Locality,Town,County,Country,Postcode
00934532-3683-4282-b609-24b392ec7530,"Jackson House, 86  Sandyhill Lane, Ipswich, Suffolk, IP3 0NA",Primary,Jackson House,,,86 ,Sandyhill Lane,,Ipswich,Suffolk,,IP3 0NA
009b376c-7bab-4643-bf66-8c5b5a9f46aa,"18  Holborn, London, EC1N 2LE",Primary,,,,18 ,Holborn,,London,,,EC1N 2LE
00dd4cac-0399-4386-b2ba-8e58ecc36a01,"2b Glensdale Road, Brockley, London, SE4 1UE",Primary,,,,2b,Glensdale Road,Brockley,London,,,SE4 1UE
0101f7e4-25d9-46ff-9269-3c5d9bcd34d5,"Grosvenor House, 69  London Road, Redhill, Surrey,  RH1 1LQ",Primary,Grosvenor House,,,69 ,London Road,,Redhill,Surrey,, RH1 1LQ
017c9583-7e38-47ca-b775-bfc88ca1acc1,"3  Manchester Square, London, W1U 3PB",Primary,,,,3 ,Manchester Square,,London,,,W1U 3PB
0190cb2c-269d-43c0-b90f-6afa87d5cb08,"Costain House, Vanwall Business Park, Maidenhead, Berkshire, SL6 4UB",Primary,Costain House,,,,Vanwall Business Park,,Maidenhead,Berkshire,,SL6 4UB
019a0345-ce73-49dd-9982-50ede416062e,"Arisa Gallery, 130  Shad Thames, London, SE1 2PU",Primary,Arisa Gallery,,,130 ,Shad Thames,,London,,,SE1 2PU
01a44159-a393-4d76-89cc-040e8c7abc77,"14  Lower Grosvenor Place, London, SW1W 0EX",Primary,,,,14 ,Lower Grosvenor Place,,London,,,SW1W 0EX
01c881fe-47f7-4118-bc5a-c65c882183cf,"47  Clapham High Street, London, SW4 7TL",Primary,,,,47 ,Clapham High Street,,London,,,SW4 7TL
01e19f24-0c68-4f67-b754-5169b7f8de8d,"Heron House, 4  Bentinck Street, London, W1U 2EF",Primary,Heron House,,,4 ,Bentinck Street,,London,,,W1U 2EF
023eee92-87a8-464b-922f-cc37464267df,"Station House, Connaught Road, Brookwood, Woking, Surrey, GU24 0ER",Primary,Station House,,,,Connaught Road,Brookwood,Woking,Surrey,,GU24 0ER
023f823c-0726-45a0-a8e7-3d2c66d54327,"The Shaftesbury Centre, Percy Street, Swindon, Wiltshire, SN2 2AZ",Primary,The Shaftesbury Centre,,,,Percy Street,,Swindon,Wiltshire,,SN2 2AZ
025ce0c2-3b6e-4262-8a67-f58accc6b7ce,"1-5 Clerkenwell Road, London, EC1M 5PA",Primary,,,,1-5,Clerkenwell Road,,London,,,EC1M 5PA
029011d8-0f05-450c-8834-67d044147526,"18 Frogmore Road, Hemel Hempstead, Hertfordshire, HP3 9RW",Primary,,,,18,Frogmore Road,,Hemel Hempstead,Hertfordshire,,HP3 9RW
02b97cfa-67ac-4fe8-8802-ef87900d8695,"83  Blackfriars Road, London, SE1 8HA",Primary,,,,83 ,Blackfriars Road,,London,,,SE1 8HA
02bc5647-4f89-461b-b6c8-c3fec3c4d86f,"85  Southwark Street, London,  SE1 0HX",Primary,,,,85 ,Southwark Street,,London,,, SE1 0HX
02e68e6e-4cad-4f23-b023-4b44d1cdb276,"Transport Avenue, Brentford, TW8 9HA",Primary,,,,,Transport Avenue,,Brentford,,,TW8 9HA
0332ec50-16f2-4394-b586-a098d8f608b2,"Kemble Drive, Swindon, SN2 2GZ",Primary,,,,,Kemble Drive,,Swindon,,,SN2 2GZ
