ResourceID,area_name,area_name_type,address_number_street,city,description,map
0919c6f3-4cac-4d44-a5ab-7b8857c77c42,3 American Parkway,Latest,3 American Parkway,London,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,"MULTIPOLYGON (((-0.09379476 51.52804099,-0.09410025 51.5276993,-0.0942743 51.52776408,-0.09417161 51.52788588,-0.09417826 51.52791998,-0.09410268 51.52793449,-0.0939114 51.52798561,-0.09395748 51.52808006,-0.09384493 51.52809981,-0.09381141 51.52809117,-0.09379476 51.52804099)))"
43e601f0-a042-44ed-9741-892a89b26ea8,76257 Hintze Way,Primary,76257 Hintze Way,London,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,"MULTIPOLYGON (((-0.09433455 51.5286653,-0.0944003 51.52867896,-0.09444893 51.52881257,-0.09412567 51.52873034,-0.09409098 51.52870487,-0.09390863 51.52821415,-0.09393366 51.52818443,-0.09412882 51.528151,-0.0943012 51.52863194,-0.09433455 51.5286653)))"
2afd282b-b4ea-4260-b8be-069da558c0e4,26471 Dapin Lane,Alternative,26471 Dapin Lane,London,"Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.

Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.","MULTIPOLYGON (((-0.09550848 51.53348216,-0.09609369 51.53327242,-0.0965415 51.53313131,-0.09697632 51.5330077,-0.09701611 51.53305628,-0.09558574 51.53353791,-0.0955824 51.53353857,-0.09557965 51.5335388,-0.09557879 51.53353878,-0.09557792 51.53353886,-0.09557446 51.53353871,-0.09557188 51.5335384,-0.09556946 51.53353782,-0.09556691 51.53353661,-0.09556579 51.53353587,-0.09556496 51.53353505,-0.09556468 51.53353469,-0.09550848 51.53348216)))"
b799baa7-d359-4489-921d-0f692c02184b,59103 Garrison Way,Alternative,59103 Garrison Way,London,"Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.

Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.

Phasellus in felis. Donec semper sapien a libero. Nam dui.","MULTIPOLYGON (((-0.09115941 51.52922922,-0.09190936 51.52910248,-0.09194536 51.5291206,-0.0920742 51.52952197,-0.09204594 51.52954264,-0.09127752 51.52964543,-0.09114342 51.52924964,-0.09115941 51.52922922),(-0.09152319 51.529256,-0.09159975 51.52951434,-0.09175389 51.52949338,-0.09167479 51.52922996,-0.09152319 51.529256)))"
21a1e978-bfd2-4a3e-b4d7-a635f77d4761,85081 Darwin Trail,Primary,85081 Darwin Trail,London,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,"MULTIPOLYGON (((-0.09115873 51.52912489,-0.09094142 51.52852632,-0.09111062 51.52851711,-0.09111483 51.52853373,-0.09102405 51.52853962,-0.09104432 51.52858914,-0.09116019 51.52857286,-0.09130212 51.5289677,-0.09142417 51.52894864,-0.09137039 51.52878662,-0.09164419 51.52875178,-0.09158032 51.52855533,-0.09173911 51.52855387,-0.09176097 51.52856546,-0.09190265 51.52900436,-0.09115873 51.52912489),(-0.09170634 51.52886169,-0.09168844 51.52882093,-0.09149793 51.52885335,-0.09151583 51.5288942,-0.09170634 51.52886169)))"
88456de2-69c1-452b-8084-d118202f0d0b,545 Tennessee Plaza,Alternative,545 Tennessee Plaza,London,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.","MULTIPOLYGON (((-0.09111754 51.53355619,-0.0915079 51.53344474,-0.09156579 51.53352572,-0.09117473 51.53363671,-0.09111754 51.53355619)))"
8a04570c-5c51-41bb-b581-89f897bccd68,7018 Dottie Street,Primary,7018 Dottie Street,London,Phasellus in felis. Donec semper sapien a libero. Nam dui.,"MULTIPOLYGON (((-0.09057055 51.5286174,-0.09029836 51.52865182,-0.09026817 51.52856365,-0.09027251 51.52856327,-0.09039002 51.52854585,-0.09038779 51.52853367,-0.09055386 51.52828234,-0.09067781 51.5281108,-0.09070545 51.52810495,-0.09168258 51.52835421,-0.09168316 51.5284437,-0.09122294 51.5284515,-0.09099019 51.52846659,-0.09065163 51.52837817,-0.09058922 51.52847086,-0.09051413 51.5284807,-0.09054294 51.5285674,-0.09081698 51.52853356,-0.09098548 51.528979,-0.09069944 51.52902389,-0.09076398 51.52918708,-0.09052146 51.52922207,-0.09048117 51.52920649,-0.09042645 51.52903941,-0.09072137 51.52900285,-0.09057055 51.5286174),(-0.09072641 51.52825187,-0.09067056 51.52823945,-0.09062806 51.52831439,-0.09068392 51.52832672,-0.09072641 51.52825187)))"
b64d3c86-8cc0-4280-ad01-57aa27cb9d6d,55 Carpenter Way,Former,55 Carpenter Way,London,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.

Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.

Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.","MULTIPOLYGON (((-0.0908912 51.53372787,-0.09079015 51.53359268,-0.09091392 51.53355702,-0.09101408 51.53369246,-0.0908912 51.53372787)))"
74f30319-0322-4eda-9a12-f14685be6a77,10938 Pleasure Lane,Former,10938 Pleasure Lane,London,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.

Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.","MULTIPOLYGON (((-0.08786422 51.53306905,-0.08814432 51.53344878,-0.08878674 51.53326465,-0.08883781 51.53333275,-0.08807142 51.53355416,-0.08774457 51.53310289,-0.08786422 51.53306905)))"
3fd8cb93-c8b0-4235-bd61-2b76bb606fed,750 Katie Plaza,Primary,750 Katie Plaza,London,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.

Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.","MULTIPOLYGON (((-0.08857627 51.53365959,-0.08822383 51.53376041,-0.08818224 51.53375524,-0.08811625 51.5336646,-0.08849751 51.53355696,-0.08857627 51.53365959)))"
a10119a9-2113-436b-b706-ca98c4b28c9f,3750 Green Parkway,Alternative,3750 Green Parkway,London,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,"MULTIPOLYGON (((-0.08718213 51.53333283,-0.08737031 51.53327745,-0.08737094 51.5332762,-0.0871588 51.53298489,-0.08726531 51.53295479,-0.08752811 51.53332058,-0.08723584 51.53340349,-0.08718213 51.53333283)))"
4515a145-0866-4e29-b596-4ecf36a45c4a,50 Amoth Street,Former,50 Amoth Street,London,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.","MULTIPOLYGON (((-0.08691956 51.53319555,-0.08662093 51.53328897,-0.08670039 51.53338495,-0.08650526 51.53344805,-0.0863479 51.53324647,-0.08683667 51.53309213,-0.08691956 51.53319555)))"
9b6113b9-1301-4333-976d-071357c701ba,510 Knutson Parkway,Alternative,510 Knutson Parkway,London,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.","MULTIPOLYGON (((-0.08637043 51.53367174,-0.08634462 51.53346206,-0.08643548 51.53345473,-0.08657264 51.53362918,-0.08639303 51.5336829,-0.08637043 51.53367174)))"
5bd2ff6d-684d-47a4-b57c-08d050d78d75,36128 Porter Park,Primary,36128 Porter Park,London,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.","MULTIPOLYGON (((-0.08483932 51.53349658,-0.08483447 51.53357788,-0.08461411 51.53357203,-0.08461896 51.53349073,-0.08483932 51.53349658)))"
a0669aea-5872-423c-97c8-0a0bf2aa1c63,8 Oakridge Pass,Former,8 Oakridge Pass,London,"Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.

Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.

Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.","MULTIPOLYGON (((-0.08326617 51.53307989,-0.08317553 51.53245396,-0.08432154 51.53239112,-0.08433319 51.53246721,-0.08331897 51.53252654,-0.08338748 51.53299986,-0.08453994 51.5329346,-0.08455215 51.53300422,-0.08326617 51.53307989)))"
afb11c14-7517-4ffe-8f9c-5b37b7cbb113,2 Logan Alley,Former,2 Logan Alley,London,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.

Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.","MULTIPOLYGON (((-0.08277203 51.53377692,-0.082644 51.53339606,-0.0827832 51.53337738,-0.0829125 51.53375916,-0.08277203 51.53377692)))"
ab46b07e-8787-422e-bd94-853bfde07c30,1 3rd Pass,Alternative,1 3rd Pass,London,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.","MULTIPOLYGON (((-0.09309344 51.52889872,-0.09281434 51.52892944,-0.09275833 51.52872763,-0.09275721 51.52867177,-0.09275788 51.52866944,-0.09275899 51.52866712,-0.09276081 51.52866499,-0.09276319 51.52866306,-0.09276542 51.52866165,-0.09276865 51.52866027,-0.09277316 51.52865908,-0.09277592 51.52865859,-0.09277983 51.52865838,-0.09278586 51.52865884,-0.09306614 51.52873435,-0.09306882 51.52873583,-0.09307204 51.52873822,-0.09307438 51.52874077,-0.09307614 51.52874359,-0.09307727 51.52874766,-0.09306897 51.52881155,-0.09309344 51.52889872)))"
2444144f-5cd0-4666-89ed-6cb5ef91e673,36 Clyde Gallagher Crossing,Alternative,36 Clyde Gallagher Crossing,London,"Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.

Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.

Phasellus in felis. Donec semper sapien a libero. Nam dui.","MULTIPOLYGON (((-0.09426999 51.529942,-0.09379114 51.52998809,-0.09377172 51.52990432,-0.09424639 51.52986168,-0.09425147 51.52986086,-0.09426999 51.529942)))"
947ab1d0-b488-495c-87b0-723e439c197d,58 Fulton Pass,Alternative,58 Fulton Pass,London,"Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.

Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.

Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.","MULTIPOLYGON (((-0.09480662 51.53201019,-0.09476837 51.53195607,-0.09464114 51.53199213,-0.09429382 51.53151204,-0.09429498 51.5315117,-0.09416529 51.53118217,-0.09429706 51.53116156,-0.09434684 51.53128503,-0.09450041 51.53125353,-0.09427923 51.5307049,-0.09444873 51.53067142,-0.09488953 51.53161982,-0.09547759 51.53241901,-0.09505451 51.53253776,-0.09469252 51.53204269,-0.09480662 51.53201019)))"
