ResourceID,Geometry,External Cross Reference Source,External Cross Reference Number,Event Type,AdminArea,AdminAreaType,Currency,Address Status,Building Name,Building Number SubStreet,SubStreet,Building Number,Street,Locality,Town,Postcode,EventUID,RecordType,Name Type,Name,DateFrom,DateTo,Description Type,Description,Notes
000dae40-00e2-4a6c-98cf-383c717a7bd8,,Site Code,YKR16,Excavation,Wandsworth,Borough,Current,Primary,,,,98,York Road,Battersea,London,SW11,ELO18133,Event - Intervention,Primary,Excavation at York Road,2016-03-07,2016-05-10,Full,"CgMs Consulting commissioned Pre-Construct Archaeology to undertake an archaeological evaluation at 98 York Road between 7th and 10th March and 5th to 10th May 2016.  Natural deposits were encountered within sondages in Trenches 1 and 2. In Trench 1, a layer, 2 metres thick was found sealing natural deposits. It is thought to be possible Post Medieval homogenous dumped deposits.   Extensive very late Post Medieval and modern impacts were found in all five evaluation trenches. These were mainly associated with Price's Candle Factory and its successors.  An archaeological evaluation consisting of 5 trenches. Natural deposits were only encountered within sondages in Trenches 1 and 2 in the southern part of the site. Natural sand and gravel found in Trench 1 was consistent in character with Kempton Park gravels and was overlain by alluvial clay. Potential alluvium was also found in Trench 2. These alluvial deposits were likely to be associated with the Falcon Brook which existed now in a sewer immediately to the south of the site. All five trenches were found to contain structures associated with the Price's Candle Factory and its successors, dating from the 19th-20th Century, including soakaways, floor surfaces, extensive wall foundations, large basements and layers containing industrial waste. The only deposit that pre-dated the Price's Factory Complex encountered during the evaluation other than the natural alluvium and sand and gravel was a layer composed of possible postmedieval homogenous dumped deposits. This material was found to be sealing the natural deposits within a sondage in the eastern part of Trench 1.",A GIS polygon was created over the approximate location of the site using OS Master Map as a map base at 1:1250.
000dae40-00e2-4a6c-98cf-383c717a7bd8,,OASIS ID,preconst1-252069,,,,,,,,,,,,,,,,,,,,,,
00149c00-9080-4da3-906d-76e97eb0c97d,,Site Code,VIK03,Trial Trench,Hounslow,Borough,Current,,,,,,,,,,ELO1427,Event - Intervention,Primary,Trial Trench at Vickers Way,2003-10-13,2003-10-22,Full,"An archaeological evaluation was carried out on land at the Hounslow Public Order Training Centre in advance of the proposed redevelopment of the site for residential dwellings. Considerable disturbance caused by the construction and subsequent demolition of the police training centre was caused across the site. A total of twenty-two evaluation trenches, each 25m x 1.6m in length were machine excavated across the site.",
01ca9def-2f05-4320-ae28-012a75a8eb8d,,Site Code,VFR94,Trial Trench,Hounslow,Borough,Current,Primary,,,,75-101,Vicarage Farm Road,,Hounslow,,ELO4815,Event - Intervention,Primary,Trial Trench at Vicarage Farm Road,1994-09-01,1994-09-05,Full,"In September 1994 Wessex Archaeology was commissioned to undertake an archaeological evaluation at the Vicarage Farm Road. The evaluation sought to assess the archaeological potential of the site.  Four trenches were excavated:  Trench 1 20m x 3m, investigated to a max. depth of 1m. Trench 2 18m x 3m, investigated to a max. depth of O.50m. Trench 3 11m x 3m, investigated to a max. depth of O.50m. Trench 4 20m x 3m, investigated to a max. depth of O.50m.  Excavation of the trenches revealed a similar shallow sequence of garden soils overlying apparently homogenous brickearth. No significant archaeological deposits or artefacts were encountered and the palaeoenvironmental potential of the deposits revealed was deemed to be  limited.",A GIS Polgon was created over the approximate location of the site using OS MasterMap as a map base at 1:1250
021540fa-79a4-41df-91d0-f32988ce5ff2,,Site Code,CAL16,Watching Brief,Islington,Borough,Current,Primary,Royal Mail Group,,,,Calthorpe Street,,London,WC1X,ELO17356,Event - Intervention,Primary,Watching Brief at Calthorpe Street,2016-09-26,2016-10-18,Full,"An archaeological watching brief was carried out by Museum of London Archaeology at the Royal Mail Group Limited site at Calthorpe Street, London WC1X in Nov 2016.   The watching brief consisted of the monitoring of fifty-six localised limited geotechnical interventions; these were spread across the sites of Calthorpe Street and Phoenix Place. The methods employed consisted of a combination of hand dug pits, machine excavated trial pits and window samples. A number of bore-holes were also drilled but did not form part of the watching brief; however the results are an appended item within this report.  Natural deposits of silty clay, in places overlain by gravel, were observed in some of the interventions, falling from c.14.30m OD to below 7.00m OD; these were on either side of the assumed course of a river channel. The remainder of the sequence seen was principally Post Medieval in origin and, this related mostly to extensive deposition of dumps of soil and building rubble which latterly encroached on the course of the Fleet River. One brick footing was identified which may have been associated with the Coldbath Fields Prison on Calthorpe Street and another, on Phoenix Place may have been associated with a former foundry.  The existence of any English Civil War defensive works upon the site was not verified, remains of the earlier periods was not established and early riverine deposits were not revealed.",A GIS point was created over the approximate location of the site using OS Master Map as a map base at 1:1250.
03e08859-1afd-43db-b535-d45afe682a7e,,Site Code,GM146,Watching Brief,City of London,Borough,Current,Primary,General Post Office Yard,,,,Giltspur Street,,London,EC1,ELO16258,Event - Intervention,Primary,Watching Brief at Bastion 19,1908-01-01,1909-12-31,Full,"An archaeological watching brief by the Guildhall Museum at Bastion 19, the General Post Office Yard, EC1 in 1908-9.  During rebuilding work in 1908-9, P Norman and F Reader recorded parts of the city wall and three bastions, now numbered B17 to B19. Some photographs are in the GM collection. Bastion 19 was preserved in a chamber beneath the Yard.",
0437a86d-55ba-4561-826c-5750ce2f08a7,,,,Desk Based Assessment,Camden,Borough,Current,Primary,Southwood Courtyard Building - Great Ormond Street Hospital for Children,,,,Great Ormond Street,Camden,London,WC1N 3JH,ELO17227,Event - Interpretation,Primary,Desk Based Assessment at Courtyard Building,2017-06-01,2017-06-30,Full,"The site of the proposed building, located within an external courtyard of Great Ormond Street Hospital, Great Ormond Street, Bloomsbury, London has been reviewed for its below ground archaeological potential.  The site is located within an Archaeological Priority Area as designated by the London Borough of Camden.  The site is considered likely to have a potential for Post-Medieval defensive features at depth within the site. There is a low potential within the site for all other periods of activity. Agricultural activity during the Medieval and Post-Medieval periods is considered likely to have had a moderate widespread negative impact on below ground archaeological deposits.  The construction of hospital  buildings on the site during the late 19th Century is  considered likely to have had a localised severe negative impact on below ground archaeological  deposits due to the cutting of foundations and services.  The  subsequent demolition of the late 19th Century building, followed by the  construction of further buildings on and immediately adjacent to the site during the 20th Century   is  considered likely  to  have  had a further  cumulative severe widespread negative impact on  below ground archaeological deposits due to landscaping, and the cutting of foundations and services.",
04fadba1-405e-4593-9bd8-fab9e922ff82,,,,Desk Based Assessment,Richmond upon Thames,Borough,Current,Primary,Twickenham Stadium,,,200,Whitton Road,,Twickenham,TW2 7BA,ELO18666,Event - Interpretation,Primary,Desk Based Assessment at East Stand Development Twickenham Stadium,2016-05-01,2016-05-10,Full,"Paul Riggott of Museum of London Archaeology carried out a historic environment assessment in May 2016 in advance of proposed development at Twickenham Stadium in the London Borough of Richmond.  The assessment concludes that there is low to moderate potential for Prehistoric archaeology, as the site is located to the south-west of the area of a Middle Bronze Age field system, and it is possible that this field system extended into the site. Any cut features, such as field boundary ditches, would be of medium significance, whilst any isolated finds would be of low significance. The site has a low potential for remains of all other periods. Archaeological survival potential is likely to be low to moderate across the site. A watching brief was recommended.",A GIS polygon was created over the approximate location of the site using OS Master Map as a map base at 1:1250.
05df7d0a-8aae-4dec-90d5-f0c36354248d,,Site Code,DCN16,Evaluation,Newham,Borough,Current,Primary,Duncan House,,,,Stratford High Street,,London,E15,ELO18575,Event - Intervention,Primary,Evaluation at Duncan House,2017-02-20,2017-02-21,Full,"In February 2017 Museum of London Archaeology was commissioned to undertake an archaeological evaluation at Duncan House, Stratford High Street.   The Evaluation was completed in two phases (November 2016 and February 2017), and was followed by a watching brief in August 2017. The series of archaeological investigations have recorded some structural remains, possibly dating from the Early Medieval or Saxon period, and waste material suggesting woodworking in the vicinity.  In February 2017 two areas (Area 2 and 3) were excavated in the basement car park area, these measured 1.2m by 6m by 1.5m depth, and 1.2m by 3m by 1.5m depth. The top of the natural deposits were recorded at c 0.9-1m OD. This was overlain by a firm dark blue to greenish grey clay which was truncated by modern construction activity to c 1.3-1.4m OD. There was no evidence of human activity within the clay layer or gravel deposits.",
05df7d0a-8aae-4dec-90d5-f0c36354248d,,OASIS ID,molas1-279744,,,,,,,,,,,,,,,,,,,,,,
