ResourceID,Location Description,Location Description Type
001abaa0-9788-4e84-ac9e-69786ec4a94d,"St Paul's Rise, Enfield",Primary
001abaa0-9788-4e84-ac9e-69786ec4a94d,"Deans Drive, Enfield",Primary
0039a258-f63a-4a8b-a5ac-44f8eaa97f38,"High Street, Benhilton, Sutton",Primary
0039a258-f63a-4a8b-a5ac-44f8eaa97f38,"Crown Road, Benhilton, Sutton",Primary
003c7479-9808-4a74-9b93-da36266409d4,"Land at Dairy Cottage, Trent Park Campus, Enfield",Primary
00709186-ba80-4529-82a3-9667f750486a,"Paternoster Square, EC4",Primary
007c8b2d-73fd-41ed-8f0c-0850b9e8b6ee,"Wood Dene, Queens Road, Meeting House Lane, Carlton Grove, Southwark, SE15",Primary
008150d6-b720-478b-889f-15ff68aaf973,"St. Martin's Lane, Westminster",Primary
00a6498e-04eb-48f5-a5d9-96997bb1626d,"Ravensbury Grove, Mitcham, Morden, CR4 4DU",Primary
00a8cbd4-516e-4e59-be82-abcb326c0f2e,"Retail Park north of Station Road, Sevenoaks Way, St Pauls Cray, Orpington, Bromley",Primary
00af5d3e-d6ad-491e-b7f9-0710fc6416f9,"Former Police Station Site, Half Acre, Brentford, Hounslow, TW8",Primary
00bfad77-d647-48e8-a532-7b9acd002f50,Cannon Street Railway Bridge,Primary
010d5c0e-0c76-40ed-b3e3-2c5547017b12,"Spankers Hill, Renfrew Road, Coombe, Kingston",Primary
0170d88a-e96d-4c1b-8d4c-e1fd553f1cfd,"Kew Towpath Embankment, TW9",Primary
01d3fe5f-7a3e-433f-83ba-1593ddece6e8,"Tudor Street, EC4",Primary
01d3fe5f-7a3e-433f-83ba-1593ddece6e8,"Carmelite Street, EC4",Primary
01d3fe5f-7a3e-433f-83ba-1593ddece6e8,"Tallis Street, EC4",Primary
01d3fe5f-7a3e-433f-83ba-1593ddece6e8,"Temple Avenue, EC4",Primary
01ed4720-6ab0-4be5-919c-0c97f98cbf7e,"Woodfield Close, Coulsdon, Croydon, CR5",Primary
020b1b2f-c1e0-4266-b8de-ed5e4d3e7fd9,"Land at South Lane, Kingston upon Thames",Primary
021ea210-c3d0-4cb5-9a93-e64be51ec6aa,"Chapman Street, E1",Primary
