ResourceID,AdminArea,AdminAreaType
a8f28376-8b02-4228-a4b4-a193c020719c,Barking and Dagenham,Borough
40586f26-1650-493a-abbb-8e21e990c16a,Barking and Dagenham,Borough
019a70e2-36e8-47f7-b41a-06a53edc443c,Barking and Dagenham,Borough
19842040-d2fe-4b97-b58e-c2d8717e778b,Barking and Dagenham,Borough
67c82c18-e921-4b0f-81ad-ea1b0cfb7438,Barking and Dagenham,Borough
11370e36-76e6-4668-96ff-7b4c28f0c95b,Barking and Dagenham,Borough
36564985-4060-4ce7-ba9c-3f228b3e4cb2,Barking and Dagenham,Borough
52c7d285-f569-4138-8ff5-e4a500a18bf2,Barking and Dagenham,Borough
7792a173-e150-4065-b6d8-5595e65b79be,Barking and Dagenham,Borough
db3a1ef6-5542-4ce3-aecd-c2d07a72b218,Barking and Dagenham,Borough
f4ee081f-0808-42a0-a830-403d8bcda389,Barking and Dagenham,Borough
3a5dc976-c1ee-40d8-8c06-7bb6744dc414,Barking and Dagenham,Borough
6f629741-34f4-4423-8e26-6edefefc143f,Barking and Dagenham,Borough
d65c3c73-0691-4584-b359-3831ad9a44d3,Barking and Dagenham,Borough
190c3abe-bbed-409d-aff9-950496d917cc,Barking and Dagenham,Borough
739a78d7-79d0-4636-af42-c230cc009963,Barking and Dagenham,Borough
d934a5ca-91ca-4e3a-a270-a9bfd0e4ed0a,Barking and Dagenham,Borough
5d16af1f-6308-4262-8aec-88d018f6b40c,Barking and Dagenham,Borough
f65be8db-e7e7-4fe6-9582-1ebe25a9c49a,Barking and Dagenham,Borough
ddf0da92-8e4e-4033-84fc-2f6a7f5297a3,Barking and Dagenham,Borough
8dbc92c1-8ac6-468f-95e6-f807d28729ae,Barking and Dagenham,Borough
eac9bfdf-b23d-40b1-9205-15f29a9c151b,Barking and Dagenham,Borough
7c95eaed-db9b-497d-a74d-8d5297594e03,Barking and Dagenham,Borough
20c82f55-8b3e-41bf-ae9b-1d9408ada36f,Barking and Dagenham,Borough
33bb89ac-363e-460a-83d3-9dd844d74e75,Barking and Dagenham,Borough
2cd8e769-31a8-427c-9abc-848ca6cce576,Barking and Dagenham,Borough
a03dfb1c-4d2f-4dbf-875b-f9e2aa0f4005,Barking and Dagenham,Borough
2bc0013e-e9fc-45cd-9f3d-dafc341cd8dc,Barking and Dagenham,Borough
a9ff0902-c332-44e8-a6e0-8746245fbe77,Barking and Dagenham,Borough
bc7c9ef2-fdad-4525-a3a0-2827bef36837,Barking and Dagenham,Borough
77370914-3622-40a9-a839-8a9fe35ddcee,Barking and Dagenham,Borough
20ef5ce1-ca7c-4e72-a929-aa4338abbe45,Barking and Dagenham,Borough
dc611878-181a-4184-92df-a6742e9136bf,Barking and Dagenham,Borough
fccb7dbe-0a20-46a5-a413-5b70f04b224e,Barking and Dagenham,Borough
344b1e1f-f546-4ad6-82d8-20756aad402c,Barking and Dagenham,Borough
9f95deba-72ff-43d6-9ebf-3a50692654c0,Barking and Dagenham,Borough
37ce25aa-0fe5-4a5d-9435-822913b72a7e,Barking and Dagenham,Borough
76846448-f8df-4c41-80a0-91b033b05957,Barking and Dagenham,Borough
c8d05d36-ff83-44b8-8128-00de49abf9ed,Barking and Dagenham,Borough
a1ae460c-3032-4b0c-9f6c-1613c8f1d85e,Barking and Dagenham,Borough
37e74027-d6e3-4a02-9805-56cd07c95124,Barking and Dagenham,Borough
ff8012aa-b3aa-4474-8e5a-faa169be6205,Barking and Dagenham,Borough
d2f0d8d4-b773-483b-8889-80ea82856ae0,Barking and Dagenham,Borough
93b53db4-69a7-4d6d-bc45-43e8bbb22ceb,Barking and Dagenham,Borough
867a5a5f-dfac-4191-9afd-1fe3875d1bbf,Barking and Dagenham,Borough
88377fc4-0a1a-421b-8980-64776cb56cc2,Barking and Dagenham,Borough
a79640f9-49ee-4579-8fb8-da1d8ab9a8da,Barking and Dagenham,Borough
83920daf-7c4d-4cf0-93f1-d31e1a33fa59,Barking and Dagenham,Borough
30c79fd3-8e05-42f8-b3fa-128d3b34cb35,Barking and Dagenham,Borough
73b79c70-741b-41ac-bf6a-10175770f481,Barking and Dagenham,Borough
4ca6289d-903e-4992-b069-62462945f8b9,Barking and Dagenham,Borough
7973e8a7-52e1-4b31-957a-77dc37b8723e,Barking and Dagenham,Borough
efd7f262-9289-471a-9334-325bb2b22fb7,Barking and Dagenham,Borough
454d5dd7-69ce-4855-a279-ede1d173680e,Barking and Dagenham,Borough
dade1184-0e03-495c-844f-8b103f2e520d,Barking and Dagenham,Borough
8d30c0f5-2440-428c-8088-bd882b1a323c,Barking and Dagenham,Borough
32e96fc7-fdc0-447c-98c5-255b1c03c13c,Barking and Dagenham,Borough
9c204ed8-067a-4961-9dee-8c006967a373,Barking and Dagenham,Borough
30f82321-3c99-4d16-9c35-1027ca3f0546,Barking and Dagenham,Borough
7a04ec8b-1645-4a33-90d6-5f1b5946df44,Barking and Dagenham,Borough
8cd1a909-4473-4817-8f7b-b19a856799da,Barking and Dagenham,Borough
703f622d-4c55-4aba-9035-6b679fcd5e60,Barking and Dagenham,Borough
f8ce7ceb-0063-4c97-a292-f750fe8eca3b,Barking and Dagenham,Borough
44c0146e-57ed-49a6-a3b4-efa08574b959,Barking and Dagenham,Borough
d3944097-1ae7-4d61-af6d-36245beb8acf,Barking and Dagenham,Borough
a18a1f03-df7a-46e4-abc6-efb012f0e81b,Barking and Dagenham,Borough
2e5a5b8f-32be-41a2-be51-70b49396cbb8,Barking and Dagenham,Borough
9ec5b108-6d83-47d3-8308-ac489533895b,Barking and Dagenham,Borough
6ad21de6-349a-4f91-be0e-95638f5129ff,Barking and Dagenham,Borough
8c6ad1e4-0fb4-4b15-9d69-ad78bc5bb416,Barking and Dagenham,Borough
92facd78-cd3a-44c8-a531-6e49eb809c65,Barking and Dagenham,Borough
29fe422f-2959-4734-883a-ce10e72603bc,Barking and Dagenham,Borough
da487e0e-3d38-41e1-b3f2-91423d352e97,Barking and Dagenham,Borough
ead94960-0e2f-49c6-8b2b-82c7f8d4ac36,Barking and Dagenham,Borough
55c911d3-bc3a-4533-84ee-c80f8d17494d,Barking and Dagenham,Borough
a117f64b-0abd-458e-b5b1-8c2442c3d240,Barking and Dagenham,Borough
ac1faf95-9e43-4b8c-85d0-a8a87cc66a22,Barking and Dagenham,Borough
7a6cf81e-0867-4715-8568-33e4b34026b3,Barking and Dagenham,Borough
d3dee424-4b60-4a53-95d6-285cfc83606c,Barking and Dagenham,Borough
e89cfdbd-54ec-4abb-b707-8d4813db6ab0,Barking and Dagenham,Borough
4162ee61-5802-4dcd-9990-37269f0d7856,Barking and Dagenham,Borough
83047125-8cbc-4bb9-b7db-2fb276a394de,Barking and Dagenham,Borough
9f77e6d3-eb2b-406c-a0f4-2223da55b343,Barking and Dagenham,Borough
6befbfd6-3a63-4518-b471-af5a7e7dfa4b,Barking and Dagenham,Borough
3cf742de-5d0b-48aa-a5f8-af60f75a66e2,Barking and Dagenham,Borough
a45eeab6-759e-42bc-ae7b-d801c77e8c24,Barking and Dagenham,Borough
b1f08f70-65e6-40c4-a0e3-3191a7983676,Barking and Dagenham,Borough
6a88588e-b52d-40a5-a5e5-1622a42b808a,Barking and Dagenham,Borough
d1db2212-64e3-4544-ba99-27e28e6c956e,Barking and Dagenham,Borough
3c26a6d7-d588-4f10-b098-668b31e84013,Barking and Dagenham,Borough
dc741119-d345-4fe1-9fdd-065c28df309f,Barking and Dagenham,Borough
47c69dbe-ad18-4202-831d-ac7b0abff4a0,Barking and Dagenham,Borough
e81d3605-b81c-44a1-b694-264d961bc706,Barking and Dagenham,Borough
6dea9832-1c6a-443f-9fba-b687d16de216,Barking and Dagenham,Borough
f2655d54-5eaf-4bdf-8d0f-125b55e0b721,Barking and Dagenham,Borough
c79e03d0-e898-4486-b84b-2d1a8018de36,Barking and Dagenham,Borough
1d0961b7-ff08-4e13-ae0f-e9ae0f127851,Barking and Dagenham,Borough
e9304647-a6a0-43ce-ba41-829d242a2760,Barking and Dagenham,Borough
44bd34e3-62bc-4d2b-9fc1-3e08d1707d7c,Barking and Dagenham,Borough
b68a3eb9-c060-4ef9-bc1b-d22f7c056066,Barking and Dagenham,Borough
64a7e0cf-7c25-429d-b2d3-ad416b335787,Barking and Dagenham,Borough
8cffe3bf-808c-42ae-bd71-ed5a6a03cafd,Barking and Dagenham,Borough
35d9520b-ec15-4776-8ecd-de05068766c9,Barking and Dagenham,Borough
3ad07847-7e3c-4d8f-838b-33e2abf8fe07,Barking and Dagenham,Borough
8fb28e1a-90c1-4c3d-b033-a2f6673f2106,Barking and Dagenham,Borough
287545a1-fb07-4f49-8c51-5e221e55c416,Barking and Dagenham,Borough
90a76ce2-00cb-464d-a0c7-ea4b1e874a99,Barking and Dagenham,Borough
e74ec925-6b09-4a11-ad20-699e7c1347bb,Barking and Dagenham,Borough
a492314b-bc2f-4eee-97b0-c8241ad71004,Barking and Dagenham,Borough
77f2637e-3ed7-4bda-957b-7c212fea92ce,Barking and Dagenham,Borough
22bac173-4d7a-46bc-80f0-0eb99db12183,Barking and Dagenham,Borough
dbe2dcfe-9305-4ac9-a841-cf074d9f4899,Barking and Dagenham,Borough
9eef53ff-4484-4e01-971d-b92605a49d87,Barking and Dagenham,Borough
ac087890-1c51-4a32-807d-f388322cbcf0,Barking and Dagenham,Borough
64e65968-d05b-4b25-badf-8c4b4091d509,Barking and Dagenham,Borough
bf99526a-792a-44e8-93e6-d24143349cf7,Barking and Dagenham,Borough
096d40a0-7212-44ef-a8e3-8634370007c4,Barking and Dagenham,Borough
8e188d01-441d-4855-9ebe-523443f7be13,Barking and Dagenham,Borough
7411fd01-5cc7-4853-8545-16c5d678f1aa,Barking and Dagenham,Borough
c6130e2d-cb89-4857-b24d-3c41d970e162,Barking and Dagenham,Borough
f471ed47-9369-470a-93cd-97f61fdb26d2,Barking and Dagenham,Borough
79cc3e50-e9ef-4167-bd6e-b4ae6f5e5cb3,Barking and Dagenham,Borough
2bad98d2-32c2-4fb5-bbff-bd2f6e6b5985,Barking and Dagenham,Borough
4664144d-ba5c-4038-b527-c7423573507f,Barking and Dagenham,Borough
3d39d641-6649-4917-832b-c225292490b8,Barking and Dagenham,Borough
7e317477-8780-4cbe-a46b-2fbbbf5c2b09,Barking and Dagenham,Borough
36d885f6-3823-4d74-b2a0-8a88d2d43dcd,Barking and Dagenham,Borough
26525477-c87d-4429-91eb-7801084879e8,Barking and Dagenham,Borough
abf2e442-c2a6-4536-8e97-605ec6b2ae62,Barking and Dagenham,Borough
2bdc95e1-f740-478d-aebf-63499b470452,Barking and Dagenham,Borough
66e9d896-4ce2-4f56-ab7e-fc50f20bb916,Barking and Dagenham,Borough
9d2945ae-46d6-4da9-8728-a29ff7a12884,Barking and Dagenham,Borough
d66de72e-c34c-4f42-891d-398e96596361,Barking and Dagenham,Borough
0242675a-f867-4967-a876-f65dcd8563ba,Barking and Dagenham,Borough
89702a9e-a56c-4b2b-a420-2eb1539b1b26,Barking and Dagenham,Borough
c9ff82d2-c204-43dc-ac52-d5fc95280be6,Barking and Dagenham,Borough
1bb7db0b-cd56-4693-9b11-c43c7c972d82,Barking and Dagenham,Borough
2e533adf-9304-4836-ac92-d48c2b92cb80,Barking and Dagenham,Borough
36b9dc8d-bbb9-4266-ae1f-90ed78901cd0,Barking and Dagenham,Borough
838bd4db-5581-4720-a504-a9c3ad0430f5,Barking and Dagenham,Borough
38476048-7307-4dad-87a7-a30a0a0cfc46,Barking and Dagenham,Borough
0a4700c5-9283-466b-885f-90766635b81f,Barking and Dagenham,Borough
a9379ed7-b081-4827-adcf-da4dd69767c0,Barking and Dagenham,Borough
eb8b332a-91a7-4763-b8a7-c9e4cea7bcf1,Barking and Dagenham,Borough
7fbdb4c5-be6f-4805-ac6d-a0c8e0502347,Barking and Dagenham,Borough
ea36b060-709f-4989-9077-91c706387d05,Barking and Dagenham,Borough
61f82ca8-3040-4d4f-b6ca-0bbec660fc4c,Barking and Dagenham,Borough
b5e3cd07-0d37-42a2-a933-b6d134fce914,Barking and Dagenham,Borough
c6ff883b-19bc-4076-8e91-a1141065374c,Barking and Dagenham,Borough
84d44f82-c054-4540-841c-525724f7b835,Barking and Dagenham,Borough
778c5ae4-d037-44ee-8b74-f4ff5ab5114d,Barking and Dagenham,Borough
5ccaacc6-7a5e-466c-8afa-d42e17dcae97,Barking and Dagenham,Borough
8cbfeb87-76af-453e-9ab4-0e1fdc2c00ce,Barking and Dagenham,Borough
967bbe52-dfc8-4428-8d21-a54a2f9eb505,Barking and Dagenham,Borough
d6ea2590-04c0-401f-9cd2-4556d9c0a272,Barking and Dagenham,Borough
89c96660-73d5-4e86-85fe-7437bf1c19a4,Barking and Dagenham,Borough
583dacd5-a56b-4bfc-8bbb-597a3cdb8d22,Barking and Dagenham,Borough
a6bf29c2-ba00-4a70-9bc1-23c042168b3b,Barking and Dagenham,Borough
28a95204-5a94-4b3e-b38e-7a2858268cc3,Barking and Dagenham,Borough
70afc018-6825-42fc-a8b5-d37b2c302b1b,Barking and Dagenham,Borough
ac85865a-3d62-428e-8221-3f58650a006a,Barking and Dagenham,Borough
98e2ce11-5cc5-4031-a053-73a3e131486f,Barking and Dagenham,Borough
2e58146d-7db4-4232-906c-924fa22087c9,Barking and Dagenham,Borough
9390ca29-2e77-424c-82e2-997c3c0f78fe,Barking and Dagenham,Borough
ac774b30-727e-4aa8-be4e-7b38aef45b72,Barking and Dagenham,Borough
c9505788-2828-45cb-8613-5d7627f6d89d,Barking and Dagenham,Borough
409a029a-9caf-496a-aa0e-80a1332f781f,Barking and Dagenham,Borough
3f97ae9d-5585-48b6-911c-d35c9c382b83,Barking and Dagenham,Borough
56ece7b7-fc07-4612-a03e-e0fb6172bddb,Barking and Dagenham,Borough
630e4f82-ac2f-4390-9a38-79f6434f3214,Barking and Dagenham,Borough
f08e19d2-f413-4dd2-8369-745c2018efba,Barking and Dagenham,Borough
d9e11da2-b74f-4439-aed8-6ad36be9c9ac,Barking and Dagenham,Borough
e7222706-a850-421e-894e-32c56ed52eb4,Barking and Dagenham,Borough
bebd6b4c-b901-4259-9426-3ea1119c53af,Barking and Dagenham,Borough
0fb40b08-aa08-4cfa-a893-383e45cbc0e1,Barking and Dagenham,Borough
3a971f80-1eec-4efa-961d-331344ba8838,Barking and Dagenham,Borough
f273b8ab-ce4a-4bc0-b1ce-9ed71f3cad49,Barking and Dagenham,Borough
87c9bdbc-ba4a-4fdd-8a5d-919cfa441e7d,Barking and Dagenham,Borough
45ab77de-2edd-4594-aff6-824eaf2cbdfe,Barking and Dagenham,Borough
038e5cd3-53ba-4f09-a896-320ef1e10302,Barking and Dagenham,Borough
a3d01a8d-e591-40c2-a392-4d0514050a73,Barking and Dagenham,Borough
50ae3fc9-5131-4c31-aa55-b139b74ba007,Barking and Dagenham,Borough
61c250b4-4889-4d0e-8f77-c5ddda2587b6,Barking and Dagenham,Borough
0a0bd9cf-4750-4483-9896-01a9ae40d6b1,Barking and Dagenham,Borough
1d44519a-23d9-421e-9eaf-13191bb2d384,Barking and Dagenham,Borough
0d581380-5118-4f87-985b-455142e27a61,Barking and Dagenham,Borough
0fc554bb-ed92-43e0-962a-856a02c3dbbf,Barking and Dagenham,Borough
57e58d07-fbd7-4052-abf8-2324c8a8442b,Barking and Dagenham,Borough
5dc466fc-2a3e-4546-a376-03ad9b1b5aa9,Barking and Dagenham,Borough
962869e9-41b7-461b-ba45-f5de3ccbb716,Barking and Dagenham,Borough
368ac3d3-a746-422e-87ed-e329cefdbd47,Barking and Dagenham,Borough
4dc9a47a-8627-4813-acd2-10120b3893a9,Barking and Dagenham,Borough
ea60af97-260f-4387-8aee-08b42cd3ecbe,Barking and Dagenham,Borough
54e6b1d4-9663-47c8-bd1a-72b4f615726f,Barking and Dagenham,Borough
696d415b-85c3-4103-9db2-f8665f656ac0,Barking and Dagenham,Borough
be2db745-9725-463d-9f2c-e15050af409e,Barking and Dagenham,Borough
2864562b-e09d-48f8-ac29-ee3914827ff1,Barking and Dagenham,Borough
1514a9f6-5601-4496-a723-fe5bbea8a235,Barking and Dagenham,Borough
a0deb42b-14c6-4e7b-8d8f-20e6f4e2e7b6,Barking and Dagenham,Borough
f305df62-73f7-4af5-b6a5-7627618e6eeb,Barking and Dagenham,Borough
9d01ef4f-dc43-4201-87bc-3623f1edd938,Barking and Dagenham,Borough
2bdd87c6-5179-48fa-9b94-1c807acaec72,Barking and Dagenham,Borough
ab597641-8df6-41ad-8302-ffde4da8eb91,Barking and Dagenham,Borough
d983ce80-6a4c-400f-8665-73aa2810e574,Barking and Dagenham,Borough
9a04c047-9d35-4058-b934-b73bc65f84eb,Barking and Dagenham,Borough
2c1dcc69-a7b6-4a62-8d45-090033ca9c4d,Barking and Dagenham,Borough
2531d158-5139-46d1-a34b-ed246a368df4,Barking and Dagenham,Borough
0f7eb5ba-77ca-4abf-be22-9e3aebc4346a,Barking and Dagenham,Borough
c0b67f79-3b50-48ab-99fb-f06767ec22aa,Barking and Dagenham,Borough
da1d44ab-a313-4c75-a51e-db86c6f90921,Barking and Dagenham,Borough
710f02b2-e154-4b24-94ec-f1a934e540d8,Barking and Dagenham,Borough
7727ae19-5194-477f-8e60-6a6f00535772,Barking and Dagenham,Borough
5b310115-bd0a-4715-bf0f-85a30c0b4e0e,Barking and Dagenham,Borough
d060cfff-e107-4a15-a202-75e0f096fc02,Barking and Dagenham,Borough
