ResourceID,AdminArea,AdminAreaType
9de67419-ecc6-46b2-9a01-0da1d2b756bb,Barnet,Borough
404f1f64-dd05-47be-9985-7641b42739c2,Barnet,Borough
a09e6485-2cb3-4691-ae7c-468de1f89c58,Barnet,Borough
5bf7cf10-5120-42e7-ad36-2c85ade3657a,Barnet,Borough
7d29015c-a255-4c67-924c-451c0d92e8a2,Barnet,Borough
66fbbbc5-9158-446a-8d04-719aa69ad91b,Barnet,Borough
b7246ffd-6776-447d-a9c9-0a126882981d,Barnet,Borough
dcd62093-8fbe-40a1-a33f-0147c136bd4c,Barnet,Borough
ff802901-db8d-4bdb-abc5-1fb167a45d2d,Barnet,Borough
7907bea8-9d42-4f80-9c94-cd02f1d77267,Barnet,Borough
f25f8306-6d82-4a7b-bebd-af7ff15a4dd6,Barnet,Borough
3c2228e2-b0f6-4557-92a4-f59ab635bf57,Barnet,Borough
7e61525c-3114-4c87-83c5-afd96b062396,Barnet,Borough
2a833b92-9857-4269-a58a-0722b8a4048a,Barnet,Borough
a9f21978-f6a5-48ef-b8b3-d1a784acd6b5,Barnet,Borough
5fc7f4b6-a3e3-4b67-ab0e-2fdf885b4be8,Barnet,Borough
93c80eae-64e8-47fb-821d-432fe4a56e23,Barnet,Borough
15827193-82cb-40a9-86f5-e45c8dda0eb6,Barnet,Borough
e92e40c9-d419-4f93-a948-a59bca2d8795,Barnet,Borough
36198b21-f3e4-4718-9ca4-bbc3caa93893,Barnet,Borough
159a2b77-f3e2-46b8-87d7-599e12e5c2f4,Barnet,Borough
7fb01bf0-311f-4f64-849f-2102b2b02172,Barnet,Borough
5f74061f-3f42-49c8-9ffe-e5a8c691563d,Barnet,Borough
f5e5d541-882d-4f4b-b506-bdd33bac8428,Barnet,Borough
6151df9f-7c20-49b0-85f9-b80fd7852632,Barnet,Borough
d9969b71-8e80-4723-b168-69c3458e39d5,Barnet,Borough
7becc6c0-e16e-49a7-8fb0-15f1a1b3255e,Barnet,Borough
df966fb1-2f13-49dc-a4f2-d13655a6521f,Barnet,Borough
c5346724-44cf-4ba1-904a-bbad21944312,Barnet,Borough
91995973-001e-45b7-abf8-e4aeb055fb41,Barnet,Borough
a3fb8261-f617-4b67-942e-2e6e48047fe1,Barnet,Borough
703a10c7-31a9-405f-9251-7ecd5793fd70,Barnet,Borough
ae2f44f1-abbb-4476-a439-257770665bb3,Barnet,Borough
ccd0d3f4-7614-4541-a4c4-b8f84658f1e9,Barnet,Borough
16354edc-8375-49de-8a57-f8b3d9e67d5e,Barnet,Borough
1a524ac4-7e2f-44d0-8663-63b7d801b33e,Barnet,Borough
76ae76dc-91c1-4f37-90d6-a200f29719a3,Barnet,Borough
f498a878-550d-48ec-b891-0f94d1d0a249,Barnet,Borough
954eccf3-ca91-4bdd-a8d6-517fe97b9e2a,Barnet,Borough
11ca2443-09b9-468f-a936-f1bb79a0380c,Barnet,Borough
cc37f1df-4b8a-49d4-9789-37ee5c21f5ef,Barnet,Borough
b615a1e2-ba20-4f6d-856f-1917045c4e4d,Barnet,Borough
580353d5-f7d3-47c0-8f1d-ef54bc096589,Barnet,Borough
7a92785f-b822-40f9-b212-28ece914e064,Barnet,Borough
f513b0d1-4184-4ed6-9ba2-d43519f4ab56,Barnet,Borough
b0c90607-7c1d-4b16-9fde-e4c27356e2c3,Barnet,Borough
77629314-c1ae-4775-9b75-8103ea83523a,Barnet,Borough
bd5c2307-d6eb-4d4a-903f-e594c7b05c9d,Barnet,Borough
60d583ce-bf81-45a9-bffd-0ddb00f5c696,Barnet,Borough
dbce04e2-bad1-4453-9970-d36bb383d26a,Barnet,Borough
c002deb6-8108-4d8b-8f92-45a21c97db28,Barnet,Borough
336aec1b-23a5-4354-b6b5-b674c1974ec4,Barnet,Borough
2ef72db3-b2ee-4869-8089-dc6d23e88ea6,Barnet,Borough
6fc91122-8313-415d-8097-b13516c1be36,Barnet,Borough
35b5a088-4356-42c4-94ac-07dd10c75f9f,Barnet,Borough
75f6d5d5-e3f9-4085-95d3-3928e8299eb4,Barnet,Borough
5f0a37e0-6f7f-440f-ab06-3e9874677625,Barnet,Borough
22120f86-1243-4630-8e43-7b5a9980d345,Barnet,Borough
4d69be7c-137a-4436-9faa-b3840201e39f,Barnet,Borough
b3ee1e41-17ed-4903-9b47-90039d2f4758,Barnet,Borough
c38675c2-3fc0-4a42-b351-e7d9d8a1aff0,Barnet,Borough
1b0431dd-6540-4fa9-8695-7a2e0d9933c2,Barnet,Borough
2862295b-9142-43eb-ae3a-e77375f93fb0,Barnet,Borough
25fc4f7c-7be5-46ec-9e68-546e60aea824,Barnet,Borough
7de0ffa7-cdd7-4034-a7cb-1604d0108eca,Barnet,Borough
1dc95626-a4a2-49a5-b246-5edc36273f6f,Barnet,Borough
aa5dafee-532d-45de-97f0-2887894af47f,Barnet,Borough
8bbdbfd2-fc31-408f-917d-7a75aeefeff5,Barnet,Borough
8992502c-0f45-485c-8ac7-107461883351,Barnet,Borough
99b9686b-60b4-4dd1-988e-54f275f9b091,Barnet,Borough
4e6bb80e-635f-46e3-b17e-48fe5a110079,Barnet,Borough
c64e0e18-0c04-48d1-a9d2-832f9a476768,Barnet,Borough
7ce122c6-6ce3-43f2-acd8-bd084716f5ef,Barnet,Borough
76384d45-6256-4561-aa4a-f05fd802ffae,Barnet,Borough
da8b2b1c-4a60-4ee3-b100-7b5e8719d625,Barnet,Borough
ff07c351-e776-4c47-b01a-10624866b94d,Barnet,Borough
cfaee539-0fdb-4865-a215-c045d099a09b,Barnet,Borough
d43f9af6-84d8-4041-b0e9-d1785a108008,Barnet,Borough
93d835a8-bc4e-45bd-b12f-d429b7b27998,Barnet,Borough
85b66d0b-f2fa-4b75-88f1-5285b8af9287,Barnet,Borough
d7be143a-b620-4171-868e-3a05b06e3089,Barnet,Borough
a6065e80-8173-486e-9ba3-36d5c8f89584,Barnet,Borough
7f8ad582-0262-494d-9763-16edd2055560,Barnet,Borough
43ba4023-12b6-4fd5-b39f-116b1befe1cb,Barnet,Borough
13e14fef-ac4f-4e83-8f00-0e473fe02fb5,Barnet,Borough
01d2e8c8-1acf-4ea0-8f97-1cf76d5dc87f,Barnet,Borough
4a7efebb-2c00-4dc1-a611-beb84e1cf6ad,Barnet,Borough
7b132466-5319-4be5-9727-2b2d9c4e805b,Barnet,Borough
6176c93c-f5b1-4c4a-bc74-21a0feb45b23,Barnet,Borough
6dabf01d-2dbf-4406-9bd0-9d5cfaabd681,Barnet,Borough
aa6f4218-0f61-40e5-b089-bdee816116ba,Barnet,Borough
8551f79d-497f-4552-856d-f175dcb8f109,Barnet,Borough
5739326a-39ea-472a-934d-624712e1909d,Barnet,Borough
a66b37da-c04b-4285-9bc6-e0baa9ec8011,Barnet,Borough
d986ca15-1829-4642-9ba2-1886ba897dca,Barnet,Borough
08ba4bf1-7a8d-4efc-a277-a4e7ab64449d,Barnet,Borough
ee660ebc-53b2-468b-8bd8-7bbb0e7ad19c,Barnet,Borough
57225270-6b2d-4502-9471-27082bbd87b6,Barnet,Borough
b492a473-222a-4d9a-a67f-34d11e94c7a0,Barnet,Borough
7cc04e9d-3ada-4784-8f48-e478cf16b95c,Barnet,Borough
05074a82-dac5-44cc-b9d9-aee4e880b86a,Barnet,Borough
8df3981a-4498-4243-928d-ab9a283218a4,Barnet,Borough
b90ac996-f91b-4f52-87f0-c1d674045248,Barnet,Borough
071973fc-c6e5-402c-8779-b3fba7ef5555,Barnet,Borough
770b3895-17e6-4fcd-bed5-3cb6bf706135,Barnet,Borough
2648f3de-bcd7-44b0-b1a1-1df77460db8c,Barnet,Borough
8ad6ad2f-ae99-4f54-9f0e-3446b6394fd5,Barnet,Borough
6f2e89b0-968d-43ec-ba52-a7339e9e29f3,Barnet,Borough
114c19a5-a3e0-4e36-bb13-c7f3b7f68f49,Barnet,Borough
faefb8b5-3bd0-4bbe-b894-373e23b35346,Barnet,Borough
de860daa-28ec-4977-9e46-52ff01859392,Barnet,Borough
4fd5e2da-709a-432c-a578-a8143f53dce2,Barnet,Borough
2fcc40fd-0334-4c2b-a5cf-4d0ade2c0766,Barnet,Borough
12c63632-4e01-4831-8af5-05df11a42ef3,Barnet,Borough
