ResourceID,AdminArea,AdminAreaType
5565d0c1-9ff6-42d9-bbd0-b8b51a8fa845,City of London,Borough
8b5f6d72-68c9-491d-bf76-b7c86180f63d,City of London,Borough
d7eb311f-e22a-4ce0-9055-f1528c06443f,City of London,Borough
a033265c-9d9a-4f39-ab4d-e8c7109718eb,City of London,Borough
016d51ae-fc25-4e31-ba58-8bc083aad10c,City of London,Borough
1b963d0c-f56d-48bc-8d58-65fa54535b4e,City of London,Borough
0659941d-00fb-45d1-9082-db46181ca421,City of London,Borough
26d0d391-5142-4055-8400-7a3d81c2e0c5,City of London,Borough
41c435bd-4fb6-4664-bc41-a424f07ae157,City of London,Borough
042d6c74-8d00-4ae7-bb1c-381d3c75ac7a,City of London,Borough
926afab2-75ab-4a08-b921-3e0f306aa760,City of London,Borough
3356200e-f9e6-4e03-a73c-987fd45bbca9,City of London,Borough
2c22d8ef-9eff-4cd4-a570-6665efa69cbe,City of London,Borough
81d7ca60-30cb-4e28-afdc-48b3399954d6,City of London,Borough
efb32526-c170-4619-a7ad-76c7af43996c,City of London,Borough
2a6708af-0197-4a5e-8eb7-b51c9fc7821e,City of London,Borough
06eaed1f-f204-48c6-9bdf-a42b852a353a,City of London,Borough
a9d56032-61f4-454a-9c7b-0f0e6b99bc13,City of London,Borough
8afd992b-4505-4f1b-b6c5-ef1d449c2d05,City of London,Borough
610fd86b-604d-4914-af65-fdc9e3086b4a,City of London,Borough
1d21115d-a605-4262-8561-8f025c9acce5,City of London,Borough
53a708b6-66e5-4530-80ea-1ed384a41e07,City of London,Borough
81d92cef-9168-40be-9022-1d1c124697dc,City of London,Borough
4f031310-dfc6-427c-8459-3f387518fef5,City of London,Borough
b1e23dfe-adf0-4c56-84d5-046b1e8501db,City of London,Borough
b7ca96e4-5d38-4ce2-8fe1-8dd3a03a1417,City of London,Borough
230859ef-90df-4b1c-9904-6cde82298dc1,City of London,Borough
7a7c94d1-a1f2-4af0-8c65-b1f481dbe0b4,City of London,Borough
631670b6-22a5-42c1-b4e1-97b4b8cfdd1a,City of London,Borough
0bfd20e2-9201-4107-b877-2314208fb32c,City of London,Borough
0a53c1ab-db4d-43de-b98a-17827d7265d1,City of London,Borough
4c6f9697-67c2-4bd7-bd74-e0bf3c7214ef,City of London,Borough
04221d73-859d-4c8d-b2ab-46f8ee8564ca,City of London,Borough
ad4fee86-84f0-497d-8547-14f2f0789e4a,City of London,Borough
72d1e2cd-98e3-4424-aab6-fa6abd662afa,City of London,Borough
1c308373-223a-4267-96e3-388e0ded3054,City of London,Borough
928cd9b0-0302-436c-bf51-cdd53cdf5646,City of London,Borough
9f2b8d81-8baa-4c17-b13c-6565feb80b17,City of London,Borough
50b9bb56-9199-4719-bb09-67087e21b4c4,City of London,Borough
194b275c-7c41-462d-b1a2-c855b290bfd4,City of London,Borough
8b8dda32-5fb7-4792-8f4f-7716a7eed93d,City of London,Borough
ba656742-d08f-4d7d-8fc6-87f71d391250,City of London,Borough
147ce322-7b14-4939-810b-1986a6aa781c,City of London,Borough
7529122e-a89a-414f-93c3-a42d7d3bb4d1,City of London,Borough
c27214a1-7c86-4b7d-9756-4e7d6c1ec621,City of London,Borough
cc6a7e36-c356-4065-9544-0cf3ea42e8b5,City of London,Borough
21508702-0f10-4435-9ebb-e7652d53a638,City of London,Borough
222bb62e-4639-4a75-a7e5-2a55d7795cb5,City of London,Borough
a19bdbdf-50b3-4e72-825f-df8f3d66b98c,City of London,Borough
0873fc16-c55a-4d26-bbfa-66ac09b6fc12,City of London,Borough
3eb817bd-0ac5-43a5-9b63-20d3be130e6d,City of London,Borough
d0b6d30c-0711-4de1-a31d-2d391a1b5f66,City of London,Borough
a6701a06-2e05-4ef8-9949-5360d61a7c25,City of London,Borough
ffd8c33d-901c-4c4a-bbca-d5264b44f6e2,City of London,Borough
18c5fcd9-1870-4772-b7f3-bd33cf5ed0c4,City of London,Borough
6e2bcc3c-8031-4cfc-ba73-02ef5247f23f,City of London,Borough
aed11aa2-e69b-417a-a02b-c5584fe7dbab,City of London,Borough
849ed487-a548-4b9d-acb7-fa57a27e0ea5,City of London,Borough
