ResourceID,AdminArea,AdminAreaType
00075969-ae6f-4aa3-8de0-91b54fd40f36,Croydon,Borough
00193426-de21-42b7-8d4b-a1b10489336d,Croydon,Borough
00471464-8d4d-4bd1-bfea-f6750c4bd2a7,Croydon,Borough
00524135-e1f9-4c19-855a-8403663be2bb,Croydon,Borough
007dc40a-843f-48df-baef-d1cabbf8e77d,Croydon,Borough
00960684-8141-4555-af47-89ffb2f7007d,Croydon,Borough
00c72e76-9908-4ff4-9314-83f13039da4e,Croydon,Borough
00ff2273-e94d-4a25-aee1-3ee0542dd663,Croydon,Borough
01168b32-1ce5-4567-a6f9-a872e1117991,Croydon,Borough
01176821-2ba9-4ea5-8279-4cbd60e331e8,Croydon,Borough
0157b10b-b4b7-494a-85fd-c376b7021964,Croydon,Borough
0185a08f-dfa7-407e-94c3-f8450dbfeecf,Croydon,Borough
018c0fbb-1afd-44c9-945e-e0713d46d3a2,Croydon,Borough
01a9131e-0b27-4c29-81c4-78051b202440,Croydon,Borough
01acc2cf-e762-462a-b659-258c09557ae7,Croydon,Borough
01fc40ae-c330-4df4-bef5-9b8e51343068,Croydon,Borough
0202ed88-89c0-4748-9ab2-110e280e4cba,Croydon,Borough
0219f6c4-f715-4241-89f6-86adeed5de6e,Croydon,Borough
02240302-029c-4cb2-b873-3a28353f6b7e,Croydon,Borough
025f65ef-0c95-4e4e-b01e-83f425bff39b,Croydon,Borough
02714674-ed30-42bf-b035-81ab5855102d,Croydon,Borough
027ec9d7-78a4-4157-bd5e-6391cefa7265,Croydon,Borough
02ab9520-80a7-4643-bdca-4e6bff18b5ac,Croydon,Borough
02afffdd-b34b-4f92-9574-ebc554d16f3b,Croydon,Borough
02db6bd3-80b7-44da-80e2-93d614f60fe8,Croydon,Borough
02dd5a75-8c0e-42d0-a536-33014f587351,Croydon,Borough
02ec83ff-72c4-4672-b96f-3be96df8af05,Croydon,Borough
030f96c4-a523-4502-a8cd-e70bbc0eebb8,Croydon,Borough
0322aad2-3dbb-418d-9318-c1fb5d3b138d,Croydon,Borough
03231932-fbef-4682-9fd2-e3f6f06943c1,Croydon,Borough
0348d48e-7e2c-4583-b2f0-9b15307ddf7e,Croydon,Borough
03599e5b-184c-4cd8-8ddc-6a73cfdbc8be,Croydon,Borough
03970567-b39e-4c90-bede-55c0dcbf63d9,Croydon,Borough
03d511f7-6c7d-48e4-84da-db55e904ce8e,Croydon,Borough
0409bd75-2e42-49bb-b30e-a4277c088b42,Croydon,Borough
04285462-00d4-4f1a-b30e-3a56419be4fd,Croydon,Borough
042b3810-85aa-4a36-8c38-519a0b19ddf4,Croydon,Borough
0480d31f-69e1-462e-988f-e6aee3f78297,Croydon,Borough
04931cc6-fb37-4b3b-bf67-5901d9da73e0,Croydon,Borough
04ce90f5-293b-421e-bd12-fdd866d643a4,Croydon,Borough
