ResourceID,ResourceID2,AdminArea,AdminAreaType,Currency,Address Status,Building Name,Building Number SubStreet,SubStreet,Building Number,Street,Locality,Town,Postcode,EventUID,RecordType,Name Type,Name,DateFrom,DateTo,Description Type,Description,Notes
0690a118-52a6-4f63-a39a-fd717bb174a3,0690a118-52a6-4f63-a39a-fd717bb174a3,,,,Alternate,,,,1-6,Love Lane,,,,,,,,,,,,
07206218-2ef0-4535-95c6-38731ca21c36,07206218-2ef0-4535-95c6-38731ca21c36,,,,Alternate,,,,"11-13, 15, 16, 28, 29",Bartholomew Close,,,,,,,,,,,,
0be5d3ab-c5b1-4a8e-ba43-20b342a212b0,0be5d3ab-c5b1-4a8e-ba43-20b342a212b0,,,,Alternate,,,,,Cavendish Court,,,,,,,,,,,,
0c38ac74-3f7f-4da0-ad9d-267d29c473f2,0c38ac74-3f7f-4da0-ad9d-267d29c473f2,,,,Alternate,,,,27-34,Wood Street,,,,,,,,,,,,
1aebfdc5-d14a-47a0-b78b-7f61e0023063,1aebfdc5-d14a-47a0-b78b-7f61e0023063,,,,Alternate,,,,,Bury Court,,,,,,,,,,,,
2393db78-3588-4f03-9ed1-0cef8ba25058,2393db78-3588-4f03-9ed1-0cef8ba25058,,,,Alternate,,,,33-35,Eastcheap,,,,,,,,,,,,
28596e30-3816-44a7-bf9a-d19fb8a94dc1,28596e30-3816-44a7-bf9a-d19fb8a94dc1,,,,Alternate,,,,12,Shepherds Market,,,,,,,,,,,,
28d0c14e-1876-4982-acc4-2b1277aa8a65,28d0c14e-1876-4982-acc4-2b1277aa8a65,,,,Alternate,,,,,Commerical Street,,,,,,,,,,,,
2908fcf2-566c-424a-a9b7-b7d22999d710,2908fcf2-566c-424a-a9b7-b7d22999d710,,,,Alternate,,,,1-7,Green Dragon Court,,,,,,,,,,,,
292f382e-b1de-469c-89f7-4c3a026fa92a,292f382e-b1de-469c-89f7-4c3a026fa92a,,,,Alternate,,,,,Bury Street,,,,,,,,,,,,
2ef1f208-e195-43d2-92b7-470501735568,2ef1f208-e195-43d2-92b7-470501735568,,,,Alternate,,,,27,Lower Regent Street,,,,,,,,,,,,
308c4345-ae5d-438c-b2a4-e95f4b92b00a,308c4345-ae5d-438c-b2a4-e95f4b92b00a,,,,Alternate,,,,6,Jervis Court,,,,,,,,,,,,
37d21470-bc5c-4939-ad93-8119790be775,37d21470-bc5c-4939-ad93-8119790be775,,,,Alternate,,,,"1, 8-9",East Harding Street,,,,,,,,,,,,
43f9c0e9-3a45-47b9-9404-e36224b044be,43f9c0e9-3a45-47b9-9404-e36224b044be,,,,Alternate,,,,,King William Walk,,,,,,,,,,,,
4548458d-1060-45a4-b9a2-2a1b2a260830,4548458d-1060-45a4-b9a2-2a1b2a260830,,,,Alternate,,,,6,Jervis Court,,,,,,,,,,,,
46faedd7-c74e-4f96-a847-72032a1f5594,46faedd7-c74e-4f96-a847-72032a1f5594,,,,Alternate,,,,"80-86, 88-90",Bishopsgate,,,,,,,,,,,,
4e62a345-c654-413d-875a-0c1a7411513a,4e62a345-c654-413d-875a-0c1a7411513a,,,,Alternate,,,,,Harbledown Place,,,,,,,,,,,,
5011260f-6dc1-46d4-b77f-c92c18b2cede,5011260f-6dc1-46d4-b77f-c92c18b2cede,Harrow,Borough,Current,,,,,,,,,,,,,,,,,,
5f335487-fc99-45e3-a7d3-6c1fb9ac4c17,5f335487-fc99-45e3-a7d3-6c1fb9ac4c17,,,,Alternate,,,,16-17,Tokenhouse Yard,,,,,,,,,,,,
64633ec7-8b0a-4314-a739-3447c8b5271a,64633ec7-8b0a-4314-a739-3447c8b5271a,,,,Alternate,,,,3-4,Eagle Place,,,,,,,,,,,,
6fef0145-db3e-4e41-9646-21ac30675465,6fef0145-db3e-4e41-9646-21ac30675465,,,,Alternate,,,,4a-4b,Frederick's Place,,,,,,,,,,,,
713290c9-1ab7-4518-ac17-676551c1b328,713290c9-1ab7-4518-ac17-676551c1b328,,,,Alternate,,,,1-10,Milk Street,,,,,,,,,,,,
71534c26-0bac-4a0e-a85c-98d6590ee56b,71534c26-0bac-4a0e-a85c-98d6590ee56b,,,,Alternate,,,,,Greenwich Church Street,,,,,,,,,,,,
720a5596-0a73-4443-a45c-3da4d3a88523,720a5596-0a73-4443-a45c-3da4d3a88523,Havering,Borough,Current,,,,,,,,,,,,,,,,,,
7593a3db-d769-4627-a699-7127c0a6c017,7593a3db-d769-4627-a699-7127c0a6c017,Waltham Forest,Borough,Current,,,,,,,,,,,,,,,,,,
7745e94e-6ddd-401b-a444-94d77ac0df58,7745e94e-6ddd-401b-a444-94d77ac0df58,City of Westminster,Borough,Current,,,,,,,,,,,,,,,,,,
7768da8b-6ea9-4fa8-8306-a19563c4908d,7768da8b-6ea9-4fa8-8306-a19563c4908d,,,,Alternate,,,,17-22,Pitts Head Mews,,,,,,,,,,,,
8836731a-fda2-4633-87d1-2cf3c8ab0186,8836731a-fda2-4633-87d1-2cf3c8ab0186,,,,Alternate,,,,"1, 8-9",East Harding Street,,,,,,,,,,,,
8859527b-1b2b-4b29-bbbe-59ce9264b279,8859527b-1b2b-4b29-bbbe-59ce9264b279,,,,Alternate,,,,,Stonecutter Street,,,,,,,,,,,,
974a384a-3c5f-4721-93cf-c3bbe115a05f,974a384a-3c5f-4721-93cf-c3bbe115a05f,Lambeth,Borough,Current,Alternate,Nine Elms Station,,,,Wandsworth Road,,,,,,,,,,,,
97d73d7f-8092-4c00-91f2-24448d6e9841,97d73d7f-8092-4c00-91f2-24448d6e9841,Tower Hamlets,Borough,Current,,,,,,,,,,,,,,,,,,
9b0032e0-6ee1-4e9d-8da9-8ac0f01b44f4,9b0032e0-6ee1-4e9d-8da9-8ac0f01b44f4,,,,Alternate,,,,,Kentish Town Road,,,,,,,,,,,,
a0c99f9f-9d3f-44db-ba76-ffcc3313ed9f,a0c99f9f-9d3f-44db-ba76-ffcc3313ed9f,Surrey,County,Former,,,,,,,,,,,,,,,,,,
a36a950e-cea7-4c1e-978a-d4de7094b529,a36a950e-cea7-4c1e-978a-d4de7094b529,,,,Alternate,,,,1-5,Britton's Court,,,,,,,,,,,,
a59b9330-c621-4ddb-934c-aab9e2d121d9,a59b9330-c621-4ddb-934c-aab9e2d121d9,,,,Alternate,,,,"1, 8-9",East Harding Street,,,,,,,,,,,,
a95aa25c-9a02-44bf-a530-13589219fc9d,a95aa25c-9a02-44bf-a530-13589219fc9d,,,,Alternate,,,,,Cheapside,,,,,,,,,,,,
ac855eef-642f-4cbf-b13d-ccf00bab5eef,ac855eef-642f-4cbf-b13d-ccf00bab5eef,,,,Alternate,,,,4-5,Billiter Street,,,,,,,,,,,,
aeae06aa-a2ae-4415-9195-3e0a5d90f0f4,aeae06aa-a2ae-4415-9195-3e0a5d90f0f4,,,,Alternate,,,,,St Thomas Street,,,,,,,,,,,,
aef24cd8-0749-4857-85d9-d305822de8d5,aef24cd8-0749-4857-85d9-d305822de8d5,Middlesex,County,Former,,,,,,,,,,,,,,,,,,
b2dfbd9c-24b6-4912-86fa-e70e571476db,b2dfbd9c-24b6-4912-86fa-e70e571476db,,,,Alternate,,,,,Cavendish Court,,,,,,,,,,,,
b716ecda-8d68-4ada-8f6a-e123391f8c53,b716ecda-8d68-4ada-8f6a-e123391f8c53,,,,Alternate,,,,7-11A,King's Head Court,,,,,,,,,,,,
b71edff7-de02-4fd6-a2bd-901d9bdf5602,b71edff7-de02-4fd6-a2bd-901d9bdf5602,,,,Alternate,,,,11-13,Northumberland Alley,,,,,,,,,,,,
bc27cbe5-8f15-4a15-95de-8c638ae5e5d6,bc27cbe5-8f15-4a15-95de-8c638ae5e5d6,,,,Alternate,,,,,Cranford Lane,,,,,,,,,,,,
bc8a1563-436b-49a9-b157-0d108c23d514,bc8a1563-436b-49a9-b157-0d108c23d514,,,,Alternate,,,,1-2,Leadenhall Avenue,,,,,,,,,,,,
bf26e267-cf88-4ac6-9e6c-41f61ac8116f,bf26e267-cf88-4ac6-9e6c-41f61ac8116f,,,,Alternate,,,,"1, 8-9",East Harding Street,,,,,,,,,,,,
c0ecb5ae-ea48-404c-aa68-eda52ddfef4f,c0ecb5ae-ea48-404c-aa68-eda52ddfef4f,,,,Alternate,,,,23,Park Street,,,,,,,,,,,,
c22a3949-2763-4da4-96f7-0ec0c1d24bdb,c22a3949-2763-4da4-96f7-0ec0c1d24bdb,,,,Alternate,,,,,Merceron Street,,,,,,,,,,,,
d181e03e-5573-4cc5-9256-ba342ddba416,d181e03e-5573-4cc5-9256-ba342ddba416,Lewisham,Borough,Current,Alternate,Shadwell Station,,,,Cable Street,,,,,,,,,,,,
e22ae127-b5a8-415a-bb0a-0dad29be67b3,e22ae127-b5a8-415a-bb0a-0dad29be67b3,,,,Alternate,,,,17-22,Pitts Head Mews,,,,,,,,,,,,
e279be9a-3f86-43ed-8f41-894de502a687,e279be9a-3f86-43ed-8f41-894de502a687,,,,Alternate,,,,16-17,Tokenhouse Yard,,,,,,,,,,,,
e48427d5-6dc0-4ab0-9bca-af8654d621c0,e48427d5-6dc0-4ab0-9bca-af8654d621c0,,,,Alternate,,,,13-15,Exeter Street,,,,,,,,,,,,
e4ac1329-97f0-4219-8e3c-aba65bab58bb,e4ac1329-97f0-4219-8e3c-aba65bab58bb,,,,Alternate,,,,,Greenwich Church Street,,,,,,,,,,,,
e538fb03-d9f0-4735-9ada-d06ffef536d5,e538fb03-d9f0-4735-9ada-d06ffef536d5,,,,Alternate,,,,,St Thomas Street,,,,,,,,,,,,
ec80273c-6736-44e2-8053-027c7876b2e4,ec80273c-6736-44e2-8053-027c7876b2e4,,,,Alternate,,,,16-17,Tokenhouse Yard,,,,,,,,,,,,
f10007b0-7be7-47ac-b16e-a2d7bb02c278,f10007b0-7be7-47ac-b16e-a2d7bb02c278,Southwark,Borough,Current,,,,,,,,,,,,,,,,,,
f2d3c68a-896d-41d3-a38c-93d033aea68b,f2d3c68a-896d-41d3-a38c-93d033aea68b,,,,Alternate,,,,,Bury Street,,,,,,,,,,,,
fc1599a5-adbc-4f85-bcaf-4a2e3af3148b,fc1599a5-adbc-4f85-bcaf-4a2e3af3148b,,,,Alternate,,,,10,Rood Lane,,,,,,,,,,,,
