ResourceID,Geometry
0075d2dd-cc5b-454c-8e6d-cc01db70375a,"MULTILINESTRING ((-0.07922093060256855 51.510961955738466,-0.07921539682516741 51.51075367417652,-0.07921552188289538 51.51075070253818),(-0.07922466301751124 51.51064675627953,-0.07917765755027431 51.510631115239974,-0.07917627238432638 51.51055079001502))"
04e4bf1b-e858-485f-aece-3d3df473de10,"LINESTRING (-0.07745744694285915 51.5202334655008,-0.07753878732490935 51.520244615189235,-0.0774620896580931 51.520421988828055,-0.07751984942463047 51.520470047878675,-0.0777321710036552 51.520359677777506,-0.0781335770087645 51.520391781089785)"
070cad47-52a6-41e6-a6f6-7140d243b088,"LINESTRING (-0.0371438033056373 51.587435876159866,-0.037097330487528106 51.58729532512375,-0.03681907309576026 51.58732636099174)"
075b7124-19d1-4ffe-a391-972e8cbc461e,"LINESTRING (0.040355746359685744 51.57497439144095,0.04098894954342601 51.574106831128645,0.04061671166047852 51.57398006803882,0.04044110989230759 51.57346919781882,0.04045120480608224 51.57301220113857,0.04031962532433609 51.57211987792907,0.04115790216096068 51.57105839769473,0.042234491790174876 51.570544757869406,0.04327882762039711 51.569993596112134,0.04441811162434902 51.56951691106056,0.04500887765178239 51.56906881465416,0.04481788740875782 51.568215600727825,0.04504327072487601 51.56779290726682,0.04862059697677942 51.56516080278488)"
076c2e93-7edb-489b-9fc4-1d30632559d6,"LINESTRING (0.009416655837348006 51.60918376541618,0.00963316451504824 51.608894542224455,0.009573616808105296 51.60875756228451,0.010053057483024121 51.60871128653056)"
09040728-d15a-4e91-a6ea-a46ff57f5022,"LINESTRING (-0.44383383802810955 51.564703337406556,-0.4437163218597178 51.56486149851255,-0.4436942492101451 51.56485122278859,-0.4436701324031065 51.56490081533297,-0.443685801562435 51.56491100607849,-0.4436735377942711 51.56498870720613,-0.44364492530124994 51.56498233752547,-0.4436371589612672 51.56502216494678,-0.44366270601196445 51.56502450042037,-0.44363163955148704 51.56518380872942)"
0bafea81-9f45-48e0-ac7e-2cc941f2ab14,"LINESTRING (0.006455065993174764 51.49396780407086,0.007013614838925958 51.494859421358505,0.007161358744188621 51.49507698161603,0.007286192260490992 51.49509863794351,0.007340262932376676 51.49513637669666,0.007776551234520785 51.49541442830861,0.007925633890263727 51.49587882158419)"
0d48cba0-535d-4a81-8e1d-abd92de7bd8f,"LINESTRING (-0.03837977004305396 51.55770158150719,-0.03811475716352479 51.55787263067924,-0.038145823256635944 51.558259791133565,-0.03826446869029904 51.558496728070295,-0.03837588432504843 51.55868001508318,-0.038436248925597716 51.559162833531055,-0.03857643368681024 51.55945366973876,-0.038640164664476846 51.55963615460953,-0.038763286944176474 51.5597690745511,-0.03889463286976863 51.55982182999221,-0.0390374257269966 51.55983016436793,-0.03969945664973748 51.55985906119244)"
1209d9e6-8f47-4562-a427-51c7dca153a3,"MULTILINESTRING ((-0.09675166213498394 51.517255424693346,-0.09673611461502447 51.51729608977066,-0.0965757728118771 51.51737774855653,-0.09635241756092686 51.51742475085525,-0.09447283639451856 51.517414898033365,-0.09445596514835759 51.517639110993024,-0.09359329266584115 51.5176381811064,-0.09305390290770868 51.518530483315374,-0.0911596814932945 51.518097899448634,-0.09107778287521569 51.51812233007214,-0.09096987674572288 51.51815582432704,-0.09091894243631952 51.51808440168507,-0.09085216512535413 51.51806847617886,-0.09083414040282546 51.51803077248645,-0.08999401867132469 51.5178325552131),(-0.09270403153827741 51.51848831617937,-0.0919258904757492 51.51989718057105,-0.09239382354510488 51.520007684329265,-0.09249629097340434 51.52005266130087,-0.09260652812081528 51.520108987141285,-0.09264108482100214 51.52016818254901,-0.09267721242615959 51.52035258221232,-0.09251606738469559 51.520638537615525,-0.0924200219433846 51.52086368029274,-0.09252306381418887 51.520947011166164,-0.0925423091813406 51.52098662258679,-0.09344411639454983 51.520826336324774))"
12c935f4-7ada-4b45-80a8-24889d98f05e,"LINESTRING (-0.08053862263320627 51.51604783479817,-0.08028102077662884 51.5162340782304,-0.08115247035573415 51.516629279528416,-0.08133927486793764 51.516410707786584)"
