ResourceID,Location Description,Location Description Type
0082a481-e990-4e52-8040-5e957e9519e9,"Walkers Place, Putney, SW15",Alternative
00e8857d-c809-4e36-acae-4830ea04f952,"Carter Lane, EC4",Alternative
00f4de5f-0d72-4b10-96ef-492eccf1aa63,Albert Embankment,Alternative
01491e23-dab8-4434-9c6d-52c07e20ffac,"Sheffield Street, WC2",Alternative
01743162-ef6d-444b-a673-47c326f1fe95,"Adjacent to Midland Shed, York Way, Camden",Alternative
0198084a-6290-4ccd-8fbe-04bac2e69506,"Queen Victoria Street, City of London, EC4",Alternative
0198084a-6290-4ccd-8fbe-04bac2e69506,"Bennet's Hill, City of London, EC4",Alternative
0278eedc-6812-47e6-aa81-2c8958df7854,"Price's Street, Southwark, SE1",Alternative
0278eedc-6812-47e6-aa81-2c8958df7854,"Great Suffolk Street, Southwark, SE1",Alternative
02be6542-92ff-414c-aca7-0db0dea9b5bb,"Pancras Road, Camden",Alternative
02ce9f04-88d4-41b1-9558-44bb2b9aab62,"Olympic Park, East Cross Route, Stratford, Newham",Alternative
0319d3b6-2b44-45a1-b0c0-f53e864f72d0,Grove Street,Alternative
0319d3b6-2b44-45a1-b0c0-f53e864f72d0,Capstan Way,Alternative
0319d3b6-2b44-45a1-b0c0-f53e864f72d0,Enterprize Way,Alternative
03529d03-c8d1-4dd5-be05-056196e0a0e0,"Western Avenue (A40), Acton",Alternative
03529d03-c8d1-4dd5-be05-056196e0a0e0,"Horn Lane, Acton",Alternative
040ff1af-7bfa-44f3-b371-ad64e914d6c3,"Queens Head Street, Islington",Alternative
0422fe96-d37f-41a1-aa85-53af700020e9,"Greenwich Park, Maze Hill, Greenwich, SE10",Alternative
048096df-3f58-4335-a6bd-63cc0b7166d1,"Manor Road, Crayford, Bexley",Alternative
05150f59-bd4c-4e2b-b23e-8f9cbba5f295,"Dryden Street, Westminster",Alternative
05150f59-bd4c-4e2b-b23e-8f9cbba5f295,"Arne Street, Westminster",Alternative
05150f59-bd4c-4e2b-b23e-8f9cbba5f295,"Shelton Street, Westminster",Alternative
053a3752-58dc-4137-ae5c-9952a09e6cfd,"Wembley Hill, Wembley, Brent",Alternative
0558bb27-d0d9-40e1-a0a8-1bb899cf1999,"Upminster Road South, Rainham, Havering",Alternative
056313a2-8895-4aae-af5d-eadb05da32ca,"Scarborough Street, Tower Hamlets, E1",Alternative
056313a2-8895-4aae-af5d-eadb05da32ca,"St Mark Street, Tower Hamlets, E1",Alternative
056313a2-8895-4aae-af5d-eadb05da32ca,"South Tenter Street, Tower Hamlets, E1",Alternative
05777025-af03-4362-90d8-580ace052abf,"Houndsditch, City of London, EC3",Alternative
05fe7cb1-0da0-41fb-990f-a1dc4ad9e3fc,"Pocock Street, Southwark",Alternative
06e53c40-60c8-4ff6-8b1b-fd3f8c0fce3e,"Tudor Street, EC4",Alternative
06e53c40-60c8-4ff6-8b1b-fd3f8c0fce3e,"Tallis Street, EC4",Alternative
06e53c40-60c8-4ff6-8b1b-fd3f8c0fce3e,"Carmelite Street, EC4",Alternative
072acc44-0299-4ba3-84f4-b9ad768cda7a,"Grinstead Road, Deptford, Lewisham",Alternative
072acc44-0299-4ba3-84f4-b9ad768cda7a,"Grove Street South, Deptford, Lewisham",Alternative
072acc44-0299-4ba3-84f4-b9ad768cda7a,"Capstan Road, Deptford, Lewisham",Alternative
072acc44-0299-4ba3-84f4-b9ad768cda7a,"Edward Street, Deptford, Lewisham",Alternative
072acc44-0299-4ba3-84f4-b9ad768cda7a,"Sanford Street, Deptford, Lewisham",Alternative
072acc44-0299-4ba3-84f4-b9ad768cda7a,"Milton Court Road, Deptford, Lewisham",Alternative
07342d41-7d90-4f48-ab4f-db564a0ef930,"Great George Street, Whitehall, Westminster",Alternative
07342d41-7d90-4f48-ab4f-db564a0ef930,"Parliament Street, Whitehall, Westminster",Alternative
07342d41-7d90-4f48-ab4f-db564a0ef930,"King Charles Street, Whitehall, Westminster",Alternative
07342d41-7d90-4f48-ab4f-db564a0ef930,"Derby Gate, Whitehall, Westminster",Alternative
07342d41-7d90-4f48-ab4f-db564a0ef930,"Whitehall, Westminster",Alternative
07342d41-7d90-4f48-ab4f-db564a0ef930,"Horse Guards Avenue, Whitehall, Westminster",Alternative
07342d41-7d90-4f48-ab4f-db564a0ef930,"Whitehall Place, Whitehall, Westminster",Alternative
07342d41-7d90-4f48-ab4f-db564a0ef930,"Great Scotland Yard, Whitehall, Westminster",Alternative
07f2e18d-1283-4c5e-a186-02aac2b737f9,"Buttermere Close, Southwark, SE1",Alternative
07f2e18d-1283-4c5e-a186-02aac2b737f9,"Sechell Road, Southwark, SE1",Alternative
08836667-956a-49d4-8a75-29dcc7b2fc7b,"Bridgewater Road, Harold Hill, Havering",Alternative
08836667-956a-49d4-8a75-29dcc7b2fc7b,"Darlington Gardens, Harold Hill, Havering",Alternative
08836667-956a-49d4-8a75-29dcc7b2fc7b,"Northallerton Way, Harold Hill, Havering",Alternative
08836667-956a-49d4-8a75-29dcc7b2fc7b,"Hilldene Avenue, Harold Hill, Havering",Alternative
08aa7ade-2ada-4c48-a4f6-c5b199af2823,"Gresham Street, City of London, EC2",Alternative
08adc9c0-aba8-4766-a780-0d4608c133a6,"Longford Bridge Car Park, Heathrow Airport, Western Perimeter Road, Hillingdon, TW6",Alternative
08adc9c0-aba8-4766-a780-0d4608c133a6,"Longford Bridge Car Park, Heathrow Airport, Bath Road, Hillingdon, TW6",Alternative
09119ef7-b897-4961-9d12-86df8981a3b9,"London Wall, City of London, EC2",Alternative
098a2d25-483d-42ee-a6cd-5057b77c85f3,Hermitage Bridge (Primary Name),Alternative
09c38ee6-d8b3-41a0-8297-adc4dfd14cb2,Danbrook Road,Alternative
0a22345a-da16-4c16-bb9e-34ba3e8faeed,"Mill Lane, Wallington, Sutton",Alternative
0a27128b-c1c3-4ff3-901a-37efd37ebf35,"Catton Street, WC1",Alternative
0a471ab8-c575-477c-a603-c937b854fa2c,"Cable Street, Tower Hamlets, E1",Alternative
0a471ab8-c575-477c-a603-c937b854fa2c,"Brodlove Lane, Tower Hamlets, E1",Alternative
0a6454f8-7d9d-4634-a9fa-4cb9f49069bd,"Hart Street, City of London, EC3",Alternative
0ab50111-1ec7-48f4-9778-d694e52d029d,Royal Festival Hall,Alternative
0ab50111-1ec7-48f4-9778-d694e52d029d,Hungerford Bridge,Alternative
0b031103-e449-48e3-ac38-5fd14d29d883,"Hay's Wharf, Morgan's Lane, Southwark, SE1",Alternative
0b335cc9-eda0-4698-bd7c-e52dbf869e19,"Salamanca Street, Lambeth, SW1",Alternative
0b5c953f-e248-45ac-aa5f-45c13209c385,"Kingsland Estate, Aburnun Street, Hackney",Alternative
0b5c953f-e248-45ac-aa5f-45c13209c385,"Kingsland Estate, Whiston Road, Hackney",Alternative
0bd59f3a-e147-49ec-815c-8bce41309c27,Knatchbull Road,Alternative
0bd59f3a-e147-49ec-815c-8bce41309c27,Cormont Road,Alternative
0bd59f3a-e147-49ec-815c-8bce41309c27,Myatts Fields,Alternative
0c3363e1-8d6c-46c4-8742-bc1ce287210d,"Chambers Street, Southwark, SE16",Alternative
0ca6cd78-76e8-4b55-be6b-947290269b87,"Spring Park, Addington Road, West Wickham, Bromley",Alternative
0d1df916-08d8-4871-b2f9-d64672ee7565,"Wood Street, City of London, EC2",Alternative
0d1df916-08d8-4871-b2f9-d64672ee7565,"London Wall, City of London, EC2",Alternative
