ResourceID,Monument Type,Evidence,MainBuildingMaterial,CoveringMaterial,Component,Parent_UID,YearFrom,YearTo,DispDate,Period,Note
000dd18f-33d1-472b-9a4a-59833c9ceaea,Well,Excavated Feature,,,,0,1540,1900,Post Medieval,Post Medieval,
000dd18f-33d1-472b-9a4a-59833c9ceaea,Rubbish Pit,Excavated Feature,,,,0,1540,1900,Post Medieval,Post Medieval,
000ef96b-ff06-4771-b8fb-a803b0a051f8,Chest Tomb,,,,,0,1877,1917,,,
000f5cd3-ec84-47ba-a582-0a90b08d1b97,Terrace,,,,,0,1842,1849,,,
000f5cd3-ec84-47ba-a582-0a90b08d1b97,House,,,,,0,1850,,,,
000f5cd3-ec84-47ba-a582-0a90b08d1b97,Terraced House,,,,,0,1842,1849,,,
000f5cd3-ec84-47ba-a582-0a90b08d1b97,Railings,,,,,0,1842,1849,,,
000f8e0c-01c1-4036-b3be-108d370e4042,Church Hall,Extant Building,Brick,Tile,,0,1928,2050,Built 1928-29,20th Century,
000f8e0c-01c1-4036-b3be-108d370e4042,,,,,Mullioned Window,481381,1928,2050,,,
00137f37-b3dd-45ac-907f-bf68bf72d7c0,Findspot,,,,,0,43,409,Roman,Roman,
001657c4-32d4-4ab2-9ddc-6539aa93f84e,Findspot,,,,,0,43,409,Roman,Roman,
00193426-de21-42b7-8d4b-a1b10489336d,Well,,,,,0,1066,1539,Medieval,Medieval,
00193426-de21-42b7-8d4b-a1b10489336d,Well,,,,,0,1540,1900,Post Medieval,Post Medieval,
001a0ad5-14fd-4b49-a30a-899fc627015a,Water Channel,Natural Feature,,,,0,,409,,,
001a0ad5-14fd-4b49-a30a-899fc627015a,Peat,Sub Surface Deposit,,,,494261,43,409,Roman,Roman,
001a0ad5-14fd-4b49-a30a-899fc627015a,Drainage Ditch,Excavated Feature,,,,0,43,409,Roman,Roman,
001a2891-fbe5-45f4-9b4a-c48e45f70b94,Palaeochannel,Sub Surface Deposit,,,,0,-4000,-2201,,,
001a2891-fbe5-45f4-9b4a-c48e45f70b94,Pit,Sub Surface Deposit,,,,0,-4000,-2201,,,
001a32d9-f2f2-4e6c-bdc6-ebb13f007d44,Drain,,,,,0,1540,1900,Post Medieval,Post Medieval,
001b4a63-6d96-4343-ae8d-ad3a59c76821,Further Education College,,,,,0,,,,,
001b4a63-6d96-4343-ae8d-ad3a59c76821,Board School,,,,,0,1891,1891,,,
001b4a63-6d96-4343-ae8d-ad3a59c76821,Boundary Wall,,,,,0,,,,,
001b4a63-6d96-4343-ae8d-ad3a59c76821,Board School,,,,,0,1873,1874,,,
001ef3d5-f4eb-4d21-8a26-b6d1b7b3b2f7,Wall,Extant Structure,Brick,,,0,,2050,,,
001ef3d5-f4eb-4d21-8a26-b6d1b7b3b2f7,Commemorative Monument,Extant Structure,,,,0,1774,1774,,,
001ef3d5-f4eb-4d21-8a26-b6d1b7b3b2f7,,,,,Plaque,433792,1774,1774,,,
0022cc8f-524e-4d6e-a661-2da14bcbe7ab,Churchyard,,,,,0,1930,2050,,,
