ResourceID,UID,MonUID,Monument Type,Evidence,MainBuildingMaterial,CoveringMaterial,Component,Parent_UID,Currency,YearFrom,YearTo,DispDate,Period,IsMonType,Note
0000d1ea-32bd-4608-aa4b-b3f977083ad7,429394,MLO88497,House,,,,,0,,1800,1832,,Post Medieval,Yes,
0000d1ea-32bd-4608-aa4b-b3f977083ad7,429396,MLO88497,Building,,,,,0,,,1799,,,Yes,
0001c710-fc44-4a2c-9cbd-84fd5a2f393f,425336,MLO84582,House,,,,,0,,1870,1910,,,Yes,
00027886-8a1b-40e4-a0bb-6ad65e1c3d4f,433055,MLO90797,Steps,,,,,0,,1767,1799,,Post Medieval,Yes,
00027886-8a1b-40e4-a0bb-6ad65e1c3d4f,433056,MLO90797,Railings,,,,,0,,1767,1799,,Post Medieval,Yes,
00027886-8a1b-40e4-a0bb-6ad65e1c3d4f,433057,MLO90797,House,,,,,0,,1767,1799,,Post Medieval,Yes,
0003b1a4-7370-49dc-b0b6-81639bedfd60,429614,MLO88480,Terrace,Extant Building,,,,0,,1801,2050,,,Yes,
0003b99c-1325-42f7-84d7-5cb3cea03287,468767,MLO98056,Floor,Sub Surface Deposit,"Chalk,Earth",,,0,,1300,1499,,,Yes,
0003b99c-1325-42f7-84d7-5cb3cea03287,469037,MLO98056,Occupation Layer,Sub Surface Deposit,"Chalk,Earth",,,0,,1300,1499,,,Yes,
0003ecee-35cf-4097-8207-93cadd105b92,455897,MLO91268,House,,,,,0,,1700,1799,,,Yes,
0003ecee-35cf-4097-8207-93cadd105b92,455898,MLO91268,House,,,,,0,,1800,,,,Yes,
0004ef2d-8995-458c-994c-41631db04c42,424851,MLO83443,House,,,,,0,,1800,1866,,,Yes,
000516ec-da7e-4ab2-a89a-680557e6e73f,483403,MLO102704,Building,Sub Surface Deposit,,,,0,,1066,1700,,"Medieval,Post Medieval",Yes,
000516ec-da7e-4ab2-a89a-680557e6e73f,483404,MLO102704,Pit,Sub Surface Deposit,,,,0,,1066,1539,Medieval,Medieval,Yes,
000516ec-da7e-4ab2-a89a-680557e6e73f,483408,MLO102704,,,,,Cellar,483403,,1066,1700,,"Medieval,Post Medieval",No,
00066db7-1276-4b17-a3e1-5085dd36d23f,79067,MLO22598,Dump,,,,,0,,43,409,Roman,Roman,Yes,
0006c6b1-b3e8-4b43-a0f4-131ee562b4d5,478510,MLO100837,Industrial Building,Demolished Building,,,,0,,1801,1900,,,Yes,
0006c6b1-b3e8-4b43-a0f4-131ee562b4d5,478514,MLO100837,Stable,Demolished Building,,,,0,,1801,1900,,,Yes,
0006c6b1-b3e8-4b43-a0f4-131ee562b4d5,478515,MLO100837,,,,,Floor,478514,,1801,1900,,,No,
0006c6b1-b3e8-4b43-a0f4-131ee562b4d5,478516,MLO100837,,,,,Floor,478510,,1801,1900,,,No,
0006c6b1-b3e8-4b43-a0f4-131ee562b4d5,478517,MLO100837,,,,,Foundation,478510,,1801,1900,,,No,
0007e4b3-6353-4ff4-a234-7db598968369,444036,MLO86684,Terrace,,,,,0,,1830,1870,,,Yes,
0007e4b3-6353-4ff4-a234-7db598968369,444037,MLO86684,Terraced House,,,,,0,,1830,1870,,,Yes,
0007e4b3-6353-4ff4-a234-7db598968369,444038,MLO86684,Railings,,,,,0,,1830,1870,,,Yes,
0007e4b3-6353-4ff4-a234-7db598968369,444039,MLO86684,Steps,,,,,0,,1830,1870,,,Yes,
000a5c23-853c-4d0b-b0ef-463773ec29e2,491857,MLO104588,Pillbox,Extant Building,Concrete,,,0,Current,1939,1945,Second World War,20th Century,Yes,
000b0ed7-240c-4add-a96e-4b7689db36cc,450457,MLO87467,Terrace,,,,,0,,1800,1866,,,Yes,
000b0ed7-240c-4add-a96e-4b7689db36cc,450458,MLO87467,Terraced House,,,,,0,,1800,1866,,Post Medieval,Yes,
