ResourceID,EventUID,RecordType,Name Type,Name,DateFrom,DateTo,Description Type,Description,Notes
001abaa0-9788-4e84-ac9e-69786ec4a94d,ELO3519,Backlog Report,Primary,Open Area Excavation at Greentrees Hospital,1990-03-05,1990-03-30,Full,"An evaluation was undertaken between the 5th-30th march 1990 by the Department of Greater London Archaeology's North Team on the site of the recently demolished Greentrees Hospital. The site comprised 12 trenches.  The investigations revealed several Prehistoric flints which were not stratified. A ditch was identified dating to 1070-1100AD, and there was further evidence for an agricultural use of the site from the Medieval period onwards.",A GIS polygon ws drwan over the approximate extent of the site. Mapped at 1:2500 using OS MasterMap as a base.
0039a258-f63a-4a8b-a5ac-44f8eaa97f38,ELO13489,Backlog Report,Primary,Event/Activity at High Street/Crown Road,2013-06-01,2013-06-30,Full,"A desk based assessment was undertaken on the gasworks site at High Street and Crown Road, Sutton in June 2013 by Waterman. The site is thought to contain the remains of gas work structures and buildings on the edge of the Medieval High Street frontage. Further remains of a Post Medieval date may also be present.  Prehistoric, Roman and Medieval features have been identified nearby and as such there is some potential for these periods to be found on site.",A GIS polygon was drawn over the approximate extent of the site. Mapped at 1:1250 using OS MasterMap as a base.
003b4b7f-7b6e-49c2-9a1a-251f22bf992a,ELO12949,Backlog Report,Primary,Event/Activity at Farthing Down,1991-01-01,1991-12-31,Full,"A magnetometer survey was undertaken on selected areas of Farthing Down by the Ancient Monuments Laboratory at English Heritage in 1991. The survey identified some areas of potential archaeological interest, although they cannot be fully interpreted. Some indications of occupation type activity have been noted.",GIS polygons were drawn over the approximate area of the survey. Mapped at 1:1250 using OS MasterMap as a base.
003c7479-9808-4a74-9b93-da36266409d4,ELO18497,Backlog Report - Invisible,Primary,Event/Activity at Land at Dairy Cottage,2017-01-01,2017-12-31,Backlog,No description is currently available for this record.  Awaiting update.,
00709186-ba80-4529-82a3-9667f750486a,ELO9641,Backlog Report,Primary,Event/Activity at Paternoster Square,1992-07-01,1992-07-31,Backlog,No description is currently available for this record.  Awaiting update.,
00737d20-7fb1-467b-9b8c-ad5bed3d30bf,ELO18147,Backlog Report,Primary,Desk Based Assessment at 23 St Christopher's Place,2017-05-01,2017-05-31,Full,"Christys' Hats carried out a Heritage Statement at 23 St Christopher's Place, London, W1U 1NR in May 2017.",A GIS point was created over the approximate location of the site using OS Master Map as a map base at 1:1250.
00774748-d4c9-411c-a837-00cc0d743be6,ELO10791,Backlog Report,Primary,Event/Activity at Hillcrest Road,1998-09-15,1998-09-15,Backlog,No description is currently available for this record.  Awaiting update.,
007c8b2d-73fd-41ed-8f0c-0850b9e8b6ee,ELO15008,Backlog Report,Primary,Event/Activity at Wood Dene,2014-12-01,2014-12-05,Full,"Pre-Construct Archaeology carried out an archaeological evaluation on land at Wood Dene. Three trenches were excavated. The three trenches indicated that the site had been severely impacted by previous development. Trenches 3 and 4 showed complete truncation. A 19th Century was found in trench 2, which had been heavily truncated.",A polygon covering the approximate area of the site was drawn at a scale of 1:1000 using OS MasterMap data as a base.
007d3a46-aa18-4249-b4ed-37343106521b,ELO17580,Backlog Report - Invisible,Primary,Event/Activity at Radstock Street,2016-01-01,2016-12-31,Backlog,No description is currently available for this record.  Awaiting update.,
008150d6-b720-478b-889f-15ff68aaf973,ELO1160,Backlog Report,Primary,Event/Activity at National Portrait Gallery Extension,1998-06-17,2000-12-12,Full,"This report documents a technical study of the experimental archaeology of wattle ad daub construction from the National Portrait Gallery, St. Martin's Lane, Westminster, London. The materials gathered and tested here have been compared to similar materials from other archaeological sites in the Mid-Saxon 'Lundenwic' period in the City of London. The National Portrait Gallery is located on St. Martin's Lane just south of Orange Street. The objective here was to observe the material used and then compare it to other sites including the Lyceum Theatre and the Royal Opera House where evidence of in situ Saxon wattle and daub walls have been found. Within the development area behind the National Portrait Gallery (still within the grounds) there are several pits that have been characterised for their use and it seems that they were excavated for the brickearth. More than 22kg of fired daub was recovered here mostly from two large rubbish pits. The resource is important because of the amount recovered fro a small site and its ability to be used for the study of source soils and building technologies. The report also contains examples from other sites in London (Lundenwic), information on wattle and daub construction experimentation and a structural analysis on the wattle and daub hut.",
