ResourceID,External Cross Reference Source,External Cross Reference Number
001abaa0-9788-4e84-ac9e-69786ec4a94d,Site Code,GTH90
003b4b7f-7b6e-49c2-9a1a-251f22bf992a,Site Code,FDN92
00774748-d4c9-411c-a837-00cc0d743be6,Site Code,HCL98
007c8b2d-73fd-41ed-8f0c-0850b9e8b6ee,Site Code,WDD14
008150d6-b720-478b-889f-15ff68aaf973,Site Code,NPG98
00b944b8-35f9-42b7-910f-4a6e0117febd,OASIS,gsbprosp1-22864
00b944b8-35f9-42b7-910f-4a6e0117febd,Site Code,MMW02
00f5d301-cfed-4a4f-a26d-b501f449f0dc,Site Code,BAX95
010d5c0e-0c76-40ed-b3e3-2c5547017b12,OASIS,archaeol6-145280
010d5c0e-0c76-40ed-b3e3-2c5547017b12,Site Code,SPH13
011ffc75-de3c-4c15-9a73-de43e65cd8ed,LPA Planning Reference,14/00387/FUL
011ffc75-de3c-4c15-9a73-de43e65cd8ed,Site Code,WAS17
0170d88a-e96d-4c1b-8d4c-e1fd553f1cfd,OASIS,molas1-68828
0170d88a-e96d-4c1b-8d4c-e1fd553f1cfd,Site Code,FRM16
01a579c7-8f83-4e41-81a5-b8a61d24f931,Site Code,LRR94
01c61234-eec8-4e57-a661-9e2d035d0427,Site Code,LIK95
02365fed-3fc2-4790-ac6c-c288f05eebe6,OASIS,molas1-40689
02365fed-3fc2-4790-ac6c-c288f05eebe6,Site Code,OL-08307
023a9c02-20c1-4247-b1e4-a7aabf55de59,Site Code,TUK90
02530e4e-d523-4db0-a897-260c8a02a93b,OASIS,preconst1-63350
0265f610-7234-4d40-9950-a78647b516d9,OASIS,archaeol6-301904
0265f610-7234-4d40-9950-a78647b516d9,Site Code,TSD17
02713dfe-7bb3-4382-99c3-9b0d3b5ff271,Site Code,ICB96
02732e1d-d9e2-45f9-93ca-cbb891153535,Site Code,HCR17
02f64d5d-54f4-4aec-bebe-28c50840ec58,Site Code,NPH96
030af66b-2167-4cb3-b6b5-bf9436340d32,Site Code,YRD96
0311e998-6155-4bb9-a36b-205df05dbb9b,Site Code,KGC99
0320b2fb-d7ea-4b22-a685-25f3e5c28317,Site Code,CLRG78
0356861f-fdb4-4e51-ba0d-14972a58b322,OASIS,preconst1-266500
0356861f-fdb4-4e51-ba0d-14972a58b322,Site Code,RLG16
036298ca-a9e5-4372-b476-d570f0ad50e3,Site Code,MDY96
03789389-3725-43e9-a9b5-bba549b922fe,Site Code,CPR95
03be6b50-4581-4fd9-9b4a-7109d6820da4,Site Code,L541/84
03cac911-1948-4f44-9a1f-c6d885b3e1db,Site Code,TBC98
03e53fa2-56ee-4553-a0de-6998d6bbc49c,Site Code,ESC97
03e6227f-aca8-4eb6-b842-11928061c46c,Site Code,HW-FO94
03f2e29e-7e66-41bb-8c92-1dd78460df2b,Site Code,EGO15
04126a0f-4e12-4cb8-8fe0-a4bc60f68e57,Site Code,EHF13
0433f367-561a-4bf5-a0a9-d92b08958d55,Site Code,SAC91
044e2994-b4a0-4b2f-abbc-032501791a8f,Site Code,RAV92
048be621-d52b-4184-b93e-473157365af8,Site Code,NMT96
04a98b1e-62c2-4f7d-8eec-79de46d1ec26,LPA Planning Reference,2012/3916
04a98b1e-62c2-4f7d-8eec-79de46d1ec26,Site Code,LDL15
04a98b1e-62c2-4f7d-8eec-79de46d1ec26, LPA Planning Reference, 2013/0045
04a98b1e-62c2-4f7d-8eec-79de46d1ec26, OASIS, archaeol6-249204
04b7def8-f559-43d7-9f19-30961659ba07,Site Code,KBV10
04c5169a-1b14-4b07-949d-38a8160980c6,Site Code,ROU95
04d310d5-fd06-4377-97bf-0abee0ba30a9,Site Code,FED96
04e47559-69ac-44b8-8166-9ebda4d414d4,Site Code,HRD92
04f29c81-7a88-4480-aa18-ddc91f08aa06,Site Code,SPC92
04fd9dd5-b1fb-49ef-bcb8-982392c8d711,LPA Planning Reference,16/03073/FUL
04fd9dd5-b1fb-49ef-bcb8-982392c8d711,Site Code,LEO 18
0542e238-bbb5-451e-892c-2be201a60ec0,Site Code,ROB17
05533e7d-0742-4360-b1fc-f9ef6c8e4f69,OASIS,preconst1-136758
05533e7d-0742-4360-b1fc-f9ef6c8e4f69,Site Code,ABY12
057c169a-bdd8-43e6-94cd-e082c63db283,OASIS,compassa1-152208
059d0a8c-9e67-4d0c-bdaa-8da286a61a06,Site Code,REC 89
05c0b8d7-d124-49c5-8c77-6dfd11c2398c,Site Code,DLA03
05d02753-58f4-4527-b6f4-befba01bf5f9,Site Code,UTO99
