ResourceID,Event Type
001abaa0-9788-4e84-ac9e-69786ec4a94d,Open Area Excavation
00737d20-7fb1-467b-9b8c-ad5bed3d30bf,Desk Based Assessment
00af5d3e-d6ad-491e-b7f9-0710fc6416f9,Desk Based Assessment
00bfad77-d647-48e8-a532-7b9acd002f50,Excavation
00bfad77-d647-48e8-a532-7b9acd002f50,Trial Trench
011ffc75-de3c-4c15-9a73-de43e65cd8ed,Building Survey
01c61234-eec8-4e57-a661-9e2d035d0427,Open Area Excavation
01d5d501-1d19-49ba-aac1-8897cfaf71d9,Watching Brief
01ed4720-6ab0-4be5-919c-0c97f98cbf7e,Desk Based Assessment
023a9c02-20c1-4247-b1e4-a7aabf55de59,Trial Trench
0265f610-7234-4d40-9950-a78647b516d9,Excavation
02a85b76-2615-479a-9390-e36d8b1e755a,Desk Based Assessment
02f64d5d-54f4-4aec-bebe-28c50840ec58,Watching Brief
0311e998-6155-4bb9-a36b-205df05dbb9b,Watching Brief
0356861f-fdb4-4e51-ba0d-14972a58b322,Watching Brief
036298ca-a9e5-4372-b476-d570f0ad50e3,Trial Trench
03789389-3725-43e9-a9b5-bba549b922fe,Trial Trench
03be6b50-4581-4fd9-9b4a-7109d6820da4,Excavation
03cf4382-01c4-4e2d-83e8-6e7d6c67bcc5,Desk Based Assessment
0433f367-561a-4bf5-a0a9-d92b08958d55,Watching Brief
048be621-d52b-4184-b93e-473157365af8,Watching Brief
04a98b1e-62c2-4f7d-8eec-79de46d1ec26,Watching Brief
04a98b1e-62c2-4f7d-8eec-79de46d1ec26,Test Pit
04c00a90-8367-44d1-be7c-188f81b79a6c,Desk Based Assessment
04c5169a-1b14-4b07-949d-38a8160980c6,Trial Trench
04d310d5-fd06-4377-97bf-0abee0ba30a9,Trial Trench
05c0b8d7-d124-49c5-8c77-6dfd11c2398c,Watching Brief
05c0b8d7-d124-49c5-8c77-6dfd11c2398c,Trial Trench
05e50fb7-49c3-4ccc-a028-d0d8b314048c,Trial Trench
05f6c1e2-45b8-4b85-b853-70a63081b5f0,Evaluation
05f9c5fc-5af7-448e-b84f-bed1d2fb2afd,Desk Based Assessment
06028b35-2656-4d79-bfdd-d9c6f7aaaf57,Watching Brief
06119890-f397-4035-9f30-1d45a236e081,Watching Brief
