ResourceID,SourceUID,SourceType,Title Type,Title,Page Numbers,Volume/Number,Journal/Series,Originator,OrigDate,Description Type,Description,Location,PublicationLocation,Publisher
000fca06-48d1-4373-9651-c2d0d2be6a5b,,Serial,Title,Croydon Natural History & Scientific Society Bulletin,,No 46,,,,,,,,
0021b461-94ef-4235-a5ba-69a12dc0a172,,Serial,Title,Surrey Archaeological Collections,,Vol 54,,,1955,,,,Guildford,Surrey Archaeological Society
002b07e2-80dd-434d-95db-2fe420785ea6,,Serial,Title,Surrey Archaeological Society Bulletin,,No 139,,,1977,,,,Guildford,Surrey Archaeological Society
00323897-9749-4d8b-927f-f6a4aafbf116,,Serial,Title,Walthamstow Antiquarian Society,,No 4,,,,,,,,
00349955-967b-438b-804b-db4b8a08e8d2,,Serial,Title,Enfield Archaeological Society Bulletin,,No 8,,,,,,,,
0078ad80-e786-4ccb-8900-c8a5f147b790,,Serial,Title,Proceedings of the Prehistoric Society,,Vol 51,,,1985,,,,Southampton,The Prehistoric Society
0084ac6f-d8f5-418e-9610-bda5ce8d3d55,,Serial,Title,Hendon and District Archaeological Society Newsletter,,No 243,,,1991,,,,,Hendon and District Archaeological Society
00dbb46a-f02f-42ca-913e-8f846e153b47,,Serial,Title,British Numismatic Journal,,Vol 33,,,,,,,,
00ddc0b1-46d9-46f4-92f2-c3614a4c534f,,Serial,Title,Journal of Roman Studies,,Vol 22,,,1932,,,,London,The Society for the Promotion of Roman Studies
00e54247-e8ed-46ba-97e1-94320e5e7227,,Serial,Title,The Antiquarian Magazine and Bibliographer,,Vol 5 No 28,,,,,,,,
011f1e8d-5e55-4bad-8fc6-a67ab0c980d6,,Serial,Title,Hendon and District Archaeological Society Newsletter,,No 91,,,1978,,,,,Hendon and District Archaeological Society
012de556-226c-4ae0-aeed-6a03feee655d,,Serial,Title,Surrey Archaeological Society Bulletin,,No 12,,,1965,,,,Guildford,Surrey Archaeological Society
01394e0b-bfff-444c-bd89-617fca527d2c,,Serial,Title,Archaeologia,,Vol 19,,,1821,,,,London,The Society of Antiquaries of London
0148ee77-0d52-4fe8-afa1-f0c1f6c7de92,,Serial,Title,Britannia,,Vol 12,,,1981,,,,London,Society for the Promotion of Roman Studies
01557d76-84e0-4f18-9126-b5ecdacc6941,,Serial,Title,Country Life,,19/05/1983,,,,,,,,
0158a7d6-13f8-433a-ba2e-b4529ac36a23,,Serial,Title,London and Middlesex Archaeological Society Transactions,,Vol 22 Pt 1,,,1968,,,,London,London and Middlesex Archaeological Society
0194d3b5-97a2-4e46-a37f-3eb5a84c35cc,,Serial,Title,Journal of the British Archaeological Association,,Vol 9 Pt 2,,,1853,,,,London,British Archaeological Association
01caf067-7641-49f9-9e76-520b16a4744a,,Serial,Title,The Antiquaries Journal,,Vol 64,,,1984,,,,Oxford,Oxford University Press
01f229d1-68a6-48b5-a861-efea135bbbd1,,Serial,Title,Archaeologia Cantiana,,Vol 117,,,1997,,,,Maidstone,Kent Archaeological Society
022b7228-8702-4430-8997-73d062fac77b,,Serial,Title,Proceedings of the Prehistoric Society of East Anglia,,Vol 7 Pt 3,,,1934,,,,Norwich,Prehistoric Society of East Anglia
02372e66-9319-4cdd-beb4-fa80a277002c,,Serial,Title,Wandsworth Historical Society Wandsworth Papers,,No 7,,,1994,,,,,
0255a4aa-e851-44dd-9b6b-30a3c0341971,,Serial,Title,Enfield Archaeological Society Bulletin,,No 82,,,,,,,,
02581c95-0683-405c-9c0b-dadf6c0d521f,,Serial,Title,Enfield Archaeological Society Bulletin,,No 61,,,,,,,,
02784855-e04e-4de6-9181-d08be8f5eb4b,,Serial,Title,Proceedings of the Geological Society of London,,Vol 28,,,1872,,,,,
027a747b-5b8f-425c-b314-0bf8d969d7ec,,Serial,Title,Journal of the British Archaeological Association,,Vol 19 Pt 2,,,1863,,,,London,British Archaeological Association
0280688e-9fc4-4495-9b00-c904938f84aa,,Serial,Title,Orpington and District Archaeological Society Archives,,Vol 4 No 4,,,,,,,,
0289fc41-c8f4-4663-b4c9-23c07be52c6c,,Serial,Title,Surrey Archaeological Society Bulletin,,No 107,,,1974,,,,Guildford,Surrey Archaeological Society
02c73c90-dd1f-4d87-ac0d-a93deeb03cbd,,Serial,Title,London Archaeologist,,Vol 1 No 10,,,1971,,,,London,London Archaeologist Association
02cbb4f0-16e6-475b-b34c-cc10ad795594,,Serial,Title,Enfield Archaeological Society Bulletin,,"Nos 3, 6 & 20",,,,,,,,
031cba08-7569-4efd-bed2-8f40459f12fe,,Serial,Title,Wandsworth Historical Society Newsletter,,No 3/1965,,,1965,,,,,
03242a5d-7c29-4a01-8845-f90d98b604af,,Serial,Title,Hendon and District Archaeological Society Newsletter,,No 269,,,1993,,,,,Hendon and District Archaeological Society
03579073-ffea-4b80-a0b5-4a2d153467ee,,Serial,Title,The Antiquary,,Vol 19,,,1889,,,,London,Elliot Stock
0381c446-a00d-4484-a9cb-ce91ce4de9c8,,Serial,Title,The Archaeological Newsletter,,Vol 5 No 3,,,,,,,,
038765bf-6c2a-4f9a-ae13-4ea39fdaa57d,,Serial,Title,London Archaeologist,,Vol 12 No 10,,,2010,,,,London,London Archaeologist Association
03c4ce5a-4977-4677-bb50-de3c820ea023,,Serial,Title,Kent Archaeological Review,,No 16,,,1969,,,,Dover,Council for Kentish Archaeology
