ResourceID,AdminArea,AdminAreaType
08c245d3-05cf-4847-bb82-586e6331c071,Brent,Borough
183b83cc-2e43-4349-bdc0-45e53f1fa7fb,Brent,Borough
b29b754f-a5ba-4355-95fa-f571ea65da73,Brent,Borough
eb1d96ac-9269-45eb-ac76-0b8dbbec5910,Brent,Borough
3849cd08-934a-49c4-bb02-91ee64d12a2e,Brent,Borough
462f8a7b-8417-49a6-8085-802991d6615c,Brent,Borough
b78f3989-72a5-42e9-92d3-26e0d5a9c25c,Brent,Borough
53c39747-f1e7-4e26-aba7-d391aa118cd8,Brent,Borough
768504be-3fff-4511-85a2-5fea1a40036a,Brent,Borough
004dcddb-b0c8-45ce-84d5-8a217f3d35d6,Brent,Borough
e579c072-6783-4c25-a25e-5620cdde159f,Brent,Borough
548bbc22-fe26-4b00-bce6-867055a2ae27,Brent,Borough
afb5060a-f813-4206-9fb5-b7252ff77f86,Brent,Borough
e90a647d-ea7a-405c-8a07-b373a9c7b259,Brent,Borough
0a1868bb-3d10-4b0c-a5c3-3e32fe3c79e1,Brent,Borough
29fe05c0-f281-4d50-a13f-25e97f81a20b,Brent,Borough
3e49c156-42d1-4fcf-a798-9da7d9c2c30d,Brent,Borough
a5e0dbff-8a5d-4a4c-b500-de9bbf9e57b3,Brent,Borough
a249fd44-7b8d-4cb1-a8e9-5cd5141253dc,Brent,Borough
2aee0091-9a97-46f6-8eb6-7c7260dab2b6,Brent,Borough
c309fa66-d1bb-485d-88d6-b7a6912f329b,Brent,Borough
a6d4e1df-19c0-478a-aa80-09496b6209b8,Brent,Borough
83d0764e-99ea-4713-8393-3693dfc8a38d,Brent,Borough
8d0034ed-b686-426b-8500-8a6743d16728,Brent,Borough
3d5fbc23-6123-4cbb-b323-fcc840b92666,Brent,Borough
769b1d96-a609-4ea7-a7cd-5220eea1ee98,Brent,Borough
a4ebf342-4e5e-4a10-81c2-48a3c1599112,Brent,Borough
91c8ca08-eb37-4a78-8c3d-88d5e37ca9e8,Brent,Borough
91d3a279-24fe-4806-a74d-03fef48394c3,Brent,Borough
4f6f2897-7664-420b-b4e3-1452b3046d84,Brent,Borough
6b6e22c1-bc64-4baf-b756-b853cb8a0258,Brent,Borough
bdb7d33c-1582-459b-8b2a-5d8e33949e71,Brent,Borough
2eeda7c2-fd63-417c-9ad7-2d2f6674fa99,Brent,Borough
cf94d611-5a72-40a5-8075-68c9be72dd4f,Brent,Borough
72630e38-a123-4a52-90ce-1bf3bb3cbf15,Brent,Borough
72c8d84e-c0a4-443f-b8db-547505880fae,Brent,Borough
c13ad0e1-591b-4b3a-a2c3-f958fc8e17ea,Brent,Borough
4b1ba7c4-d36f-4888-9963-383102618329,Brent,Borough
cf095d4d-11b7-4294-b202-04f6e580976d,Brent,Borough
e0984716-7d00-4585-ada8-64d8980e41b7,Brent,Borough
0dcdcb61-b3aa-4f48-811f-f60f7b0a238c,Brent,Borough
3c8a0530-456c-4572-8d59-8c3f3ec3b8ae,Brent,Borough
f9b75093-682e-4c4f-921c-786f6f7247f4,Brent,Borough
f1d9005d-77ac-4166-9b45-ab69efa6c0d0,Brent,Borough
bd0ed3ba-f953-45ee-b3e8-abd397643225,Brent,Borough
fa4d5ffb-a1bc-4e7f-a872-53a2c71f1a3c,Brent,Borough
5b53d998-8e1a-494d-896c-cb2afb619e96,Brent,Borough
d385e8f4-f0b4-494d-9e75-794116e02f05,Brent,Borough
cc7d8e0c-4b71-4d46-85bb-bd59d7cdd701,Brent,Borough
e3ab34ab-475b-4386-96c6-79a2c32c7ed5,Brent,Borough
f914b16d-9d87-43a6-a94e-43425834c323,Brent,Borough
1abb409d-4e5b-471a-b960-a2c2832771b0,Brent,Borough
c579ed04-77e3-488e-96d5-c7f5f3c8681b,Brent,Borough
aa7898e7-021e-4254-885e-b0b19054e5a9,Brent,Borough
ddce4401-c3f2-4d7a-9c66-31af060de907,Brent,Borough
c81cd5a0-a1a5-442c-ac18-f1d171aa9ee8,Brent,Borough
0be1cf1a-dadd-4a11-a7f7-f65465f98ec9,Brent,Borough
322dd017-c919-4829-a6df-55693fd2f647,Brent,Borough
ee4c4abb-c7e7-48e0-b9bb-ee0d979a708d,Brent,Borough
0dc6af90-5709-489d-82df-b6b06c00d2d1,Brent,Borough
455a8433-1c58-4e93-8edf-d507f61e7f78,Brent,Borough
891acf64-aaa8-40e5-9ca7-b9bcf7bfafe6,Brent,Borough
4fdcd1c4-575c-4598-b902-45fb46ecedbd,Brent,Borough
a46a1df0-ba07-40e8-a164-3fdf3989a6bd,Brent,Borough
d5d9f392-594d-4ccc-af1c-cbc33b8bb310,Brent,Borough
5ddca5bc-952e-4b77-9b77-d3471a8dcbfd,Brent,Borough
6f6f885e-33ae-472e-ace3-6b0454c3296b,Brent,Borough
0be83fdf-6b69-4237-af60-8dc05e8a15d5,Brent,Borough
adb934eb-95fb-4208-9c23-8cd4fae561ef,Brent,Borough
3dc65f28-428c-4b14-b7cd-e2fbdb23ee6d,Brent,Borough
34581aa6-1ae9-4cce-9795-35da86d0ac80,Brent,Borough
463c215e-4bd0-4090-a00d-2b160fa43b22,Brent,Borough
d52b7233-d6cd-4623-9588-1092b2831c66,Brent,Borough
8659c3b0-36e0-4389-9d96-af3f260529b3,Brent,Borough
7282f58a-3434-4968-a468-dda2dd849e59,Brent,Borough
278102ad-232f-4a2a-ba72-e6d08497849c,Brent,Borough
b22fa098-4b91-4b80-a805-159cadb964fa,Brent,Borough
86ae822f-ba36-4a34-b4b8-66329a26f63c,Brent,Borough
dc7b674e-8653-4af6-9b5b-c6230285ccf1,Brent,Borough
af55abfb-24f1-4cc3-aa27-c73262c1a975,Brent,Borough
70a5015b-6a73-46a8-964c-473f958afdf5,Brent,Borough
9366875b-ddf4-4d07-902a-767bb0b505f1,Brent,Borough
bf12245e-bc75-4f7e-a29f-83f4eef9c3be,Brent,Borough
e6f3e638-0621-4dde-941f-41acfbcb94c0,Brent,Borough
5325e082-fa66-4f2c-8b1a-a98d7b4c7bf8,Brent,Borough
35bb30cb-5fa5-47d3-80a1-1ef7bb7157a2,Brent,Borough
73e0705b-4369-4c3a-ba9b-123453287123,Brent,Borough
8df159ce-dfed-4b54-8f1f-82c37c1e207f,Brent,Borough
16774149-e084-4806-b620-f9eec42c92fd,Brent,Borough
ea5a7f00-20e6-44e6-89a8-28231659e216,Brent,Borough
6bb9d32d-ca18-4988-affb-5018dffcdcb3,Brent,Borough
68c7659f-c1f7-425a-8982-5945d302425f,Brent,Borough
