ResourceID,AdminArea,AdminAreaType
0030f634-b23c-49e2-bd33-5b695a6648a2,Bromley,Borough
007ca10f-b517-4a0a-81c9-aa133b6f1959,Bromley,Borough
00977c12-659d-4b6f-9363-5cee08e85a25,Bromley,Borough
0098c090-6417-4c12-b8be-4939b07cab53,Bromley,Borough
00a32f75-ffde-4574-bd0a-16855f477467,Bromley,Borough
00a86911-68c1-4276-8a8d-df2edabc58a4,Bromley,Borough
00d78d7c-b48b-4758-b4a6-78fa58c4dd41,Bromley,Borough
011071a1-6054-40fe-bf62-70a464e498d3,Bromley,Borough
01807dbb-50ea-4e80-ae0d-004a14294a11,Bromley,Borough
01c41b14-3d00-43ed-89be-5c2f68cb1c69,Bromley,Borough
01f16890-b1b5-4240-9eb6-3b2b54c539ac,Bromley,Borough
01f2a42b-c069-4be2-b96d-22f54aecba94,Bromley,Borough
02123c4c-9b95-435c-b3a0-6ad3b3d22b2d,Bromley,Borough
023d7d28-d4bb-40dc-98cf-78f7d98e2030,Bromley,Borough
029213d6-ef70-49b6-99bc-f60c1395696e,Bromley,Borough
02d08cf7-9179-4d5b-b16e-98e1aabb7058,Bromley,Borough
030b5655-1048-4d39-b3b7-c6e0e5601057,Bromley,Borough
030cdb0e-1ef2-4e9e-820d-c53d2e7fcc83,Bromley,Borough
038fcdc1-2efd-4d99-a1fc-7384275b5868,Bromley,Borough
042546ab-422f-4db8-b861-26b1365a1d71,Bromley,Borough
04629e8e-603e-407c-9adc-bbbfed164c8b,Bromley,Borough
0478e167-201c-4760-9b41-297121c6c5b0,Bromley,Borough
04ac1b59-7ca7-489d-989c-69daca6fa799,Bromley,Borough
0509f03d-5e6e-4ef2-a11b-1ca68f1b88a2,Bromley,Borough
05453e2f-00a0-4e24-9e07-9af582ca1d05,Bromley,Borough
056f4ea7-273d-4541-bfb6-b9eb336e3037,Bromley,Borough
05dadfa4-f71d-4ea1-9df6-c999fae5cf93,Bromley,Borough
06048b37-2eb5-46a5-9358-f6515d8421c5,Bromley,Borough
0604b367-88c5-4766-96db-44a83c4ab687,Bromley,Borough
06053bb2-deeb-4eb2-9774-6871dcb4c25e,Bromley,Borough
0613d4df-69cf-426a-901d-f434a33f365c,Bromley,Borough
06407a92-134a-4c5f-a1f7-41fa1f1a9ed0,Bromley,Borough
06774341-a836-41ad-81b6-42399987d409,Bromley,Borough
06b10f3d-fed0-4a52-94d7-cd90f8ff9854,Bromley,Borough
07d32389-423b-45ef-b4f0-463009ac0d0a,Bromley,Borough
08043aa1-8b26-4a1a-89a0-a9095ae0fdf9,Bromley,Borough
081fa672-661c-49ec-a67a-2936b787a953,Bromley,Borough
082c728a-59b1-48f7-ae54-40d1bad50a71,Bromley,Borough
082f4d60-34b6-4e02-aa5b-f06e6769cd21,Bromley,Borough
089e502b-6e76-43fb-9578-5fb3f737fcc6,Bromley,Borough
08efe6af-35f3-422a-969d-4448c8a42360,Bromley,Borough
0967b8ab-b8b9-4d54-88ed-6d679863b65b,Bromley,Borough
0972f09f-b58a-4e8e-835e-f91b03aa32b5,Bromley,Borough
0a0b458f-e34a-4d8f-a35c-4a9bd27caa07,Bromley,Borough
0a1a81af-1935-4fc6-acdc-76ca476f498d,Bromley,Borough
0a224f18-853a-40b1-af3c-255e6710c967,Bromley,Borough
0a3f9f3f-3b11-4330-b499-15e803fb2b7e,Bromley,Borough
0a69d83d-1631-4348-b2a2-fff4f2121c59,Bromley,Borough
0a69e835-cf00-4ec3-9f10-81667b6c630b,Bromley,Borough
0afeeaa7-8666-4437-8d1d-8aad2498b784,Bromley,Borough
0aff6de4-01e7-43c3-8ea8-62f4385b528a,Bromley,Borough
0b096584-9943-4665-a68b-edcf1297cc12,Bromley,Borough
0bebe013-1464-4b76-83f3-3ea3a5fb6e2e,Bromley,Borough
0c3d8e20-a404-4c6f-8d90-3f6582055e50,Bromley,Borough
0c4288ff-de90-4f5a-a10a-351371521fae,Bromley,Borough
0c611afc-b6f8-4d1a-bd59-7099c2040667,Bromley,Borough
0c6bc029-d19f-4c21-9df5-a6a0e4d172dc,Bromley,Borough
0c94ef41-918e-4ef5-a943-644c5d2e7567,Bromley,Borough
0d28329f-b17e-4f33-b88a-793b3be89adf,Bromley,Borough
0d36a115-b315-4fac-a1e9-8499989ce9bb,Bromley,Borough
0d3886a3-e31a-4145-81d3-715bb5dc9227,Bromley,Borough
0d515216-8224-42d3-833a-c1be50303f1d,Bromley,Borough
0d52510c-db07-43e7-a0fe-8de4b261fff8,Bromley,Borough
0d7a48fa-8900-40c7-8ded-5b5217f821ef,Bromley,Borough
0d82b893-0540-435e-9ba0-1249acc199b3,Bromley,Borough
0d8668ba-a5b5-4f31-8a1d-2da196d62035,Bromley,Borough
0d8cbdf4-2609-4c0c-b5e2-5077b15ebd36,Bromley,Borough
0d95c857-212d-40fa-ac7e-b08962734c62,Bromley,Borough
0dddf237-2cb4-441a-bc78-f7cb2fa99877,Bromley,Borough
0decb168-5ac7-486f-bb83-94ec3801e9c6,Bromley,Borough
0df2b586-5930-41ee-af5f-9c5dfcde852f,Bromley,Borough
0dfade5a-20e4-468f-8453-f92fe8038ce4,Bromley,Borough
0e09e202-456a-46fd-8b42-c02f95a9b64a,Bromley,Borough
0e0d0093-6cd3-4a94-b382-218e7d30cbc4,Bromley,Borough
0e2a38d5-d3db-4d46-8be9-2629e7a55b30,Bromley,Borough
