ResourceID,AdminArea,AdminAreaType
00269163-292e-45ce-bfab-4266dc985363,City of Westminster,Borough
002c5910-4223-4fc3-99ff-5be1e9ec6ca4,City of Westminster,Borough
0046d70e-6d3d-443c-a379-0925d0bfe231,City of Westminster,Borough
0090b5e7-44b8-489d-807b-466cd77cc9a2,City of Westminster,Borough
0090d9a5-bdd1-4f03-9449-c7a0b01076de,City of Westminster,Borough
00923c9c-2008-4886-b40c-0c937dbcd014,City of Westminster,Borough
009ad6dd-0413-4bfe-b20c-462c2a181309,City of Westminster,Borough
009b28e2-ac86-483c-b8df-3f9ed09be661,City of Westminster,Borough
00ad0d10-d59a-4061-ab90-4047ab2924c8,City of Westminster,Borough
00adbe1d-8638-48ef-8b54-5aa7c24c0896,City of Westminster,Borough
00b4dc6f-0a4d-48a1-b1fd-72d7e79e8853,City of Westminster,Borough
00c5d9f7-8432-4588-81ba-eb6d11aa978c,City of Westminster,Borough
00ccf339-7ab1-4631-a75a-1feba9a53c8d,City of Westminster,Borough
00cdf047-ffd9-4197-8a43-56b65ef20b37,City of Westminster,Borough
00d4a5a2-83af-4bf0-9ab9-d0060a646558,City of Westminster,Borough
00d5759a-8fb4-44cf-8e55-b9bd2e2639cd,City of Westminster,Borough
00d6d2c8-ae11-49fd-86a5-98b60c5ec353,City of Westminster,Borough
00ebf761-c801-486f-9cac-a99435bb9ab9,City of Westminster,Borough
00ecbb6d-b668-424f-aa93-c08b66427d9a,City of Westminster,Borough
00f74714-4850-456b-985d-2cd125c03196,City of Westminster,Borough
00f8a784-e2c0-4c3b-8cc2-5d17fa777945,City of Westminster,Borough
0106f96b-c591-4d43-9a7c-65a9b61f2c82,City of Westminster,Borough
01154447-5ee6-4bd3-bd55-76cd2202017b,City of Westminster,Borough
0116bd0e-8a7d-483f-8bc2-9776f84e2b59,City of Westminster,Borough
013c09d4-35c9-49ed-bbbe-f0cc2a8a7cbc,City of Westminster,Borough
014c68cf-625c-43f3-b851-812f01f8a677,City of Westminster,Borough
014fa015-25d9-41bf-80b6-b37b11720c09,City of Westminster,Borough
0162a659-e3b6-4f4d-a350-6ff758e5930c,City of Westminster,Borough
016434cc-42ca-4742-88bb-0eb710fce624,City of Westminster,Borough
0164f2e5-ed22-4db0-8df3-d3dc2a9b69d4,City of Westminster,Borough
01852469-1a81-40fe-9d6e-92b4dfc2fa2a,City of Westminster,Borough
018ba1e7-7879-443c-8739-ae7a8254a5cc,City of Westminster,Borough
018e5903-7522-4ee9-971d-9ed0d98aeda4,City of Westminster,Borough
