ResourceID,ResourceID2,AdminArea,AdminAreaType,Currency,Address Status,Building Name,Building Number SubStreet,SubStreet,Building Number,Street,Locality,Town,Postcode,EventUID,RecordType,Name Type,Name,DateFrom,DateTo,Description Type,Description,Notes
001e3d64-1761-4579-bd84-ab19ff1362e7,001e3d64-1761-4579-bd84-ab19ff1362e7,,,,Alternate,Edgware Town FC,,,,,,,,,,,,,,,,
002338d4-f488-47f2-b996-58d1638a0f4c,002338d4-f488-47f2-b996-58d1638a0f4c,,,,Alternate,,,,36,Clerkenwell Road,,,,,,,,,,,,
0028a821-c105-4c7e-8677-e8e4c65d36ae,0028a821-c105-4c7e-8677-e8e4c65d36ae,,,,Alternate,,,,,Great Dover Street,,,,,,,,,,,,
00645b85-0aaf-4442-89d0-2bc9a792e5a3,00645b85-0aaf-4442-89d0-2bc9a792e5a3,Essex,County,Former,,,,,,,,,,,,,,,,,,
008aadbf-3838-4e7d-bb01-a54b72ebf1ae,008aadbf-3838-4e7d-bb01-a54b72ebf1ae,,,,Alternate,,,,1,Noble Street,,,,,,,,,,,,
009fa40f-b824-4a5b-a4d0-72aeacd304e5,009fa40f-b824-4a5b-a4d0-72aeacd304e5,Surrey,County,Former,,,,,,,,,,,,,,,,,,
019d8703-72e0-4b2e-b3cf-0a2bd524556c,019d8703-72e0-4b2e-b3cf-0a2bd524556c,,,,Alternate,,,,140-143,Fetter Lane,,,,,,,,,,,,
01fae5ac-0ecf-4f9c-83fc-1a39aee66f9a,01fae5ac-0ecf-4f9c-83fc-1a39aee66f9a,Surrey,County,Former,,,,,,,,,,,,,,,,,,
0226fabe-5fce-464c-a91b-218634b039b2,0226fabe-5fce-464c-a91b-218634b039b2,Middlesex,County,Former,,,,,,,,,,,,,,,,,,
025312f6-88d3-4d31-8bc7-eeb07ca84a30,025312f6-88d3-4d31-8bc7-eeb07ca84a30,Surrey,County,Former,,,,,,,,,,,,,,,,,,
02ce9f04-88d4-41b1-9558-44bb2b9aab62,02ce9f04-88d4-41b1-9558-44bb2b9aab62,Tower Hamlets,Borough,Current,,,,,,,,,,,,,,,,,,
02f027f3-040c-4118-8506-d9dd1194e11a,02f027f3-040c-4118-8506-d9dd1194e11a,Surrey,County,Former,,,,,,,,,,,,,,,,,,
031533f5-a432-45bd-a6e9-cc772ad96fde,031533f5-a432-45bd-a6e9-cc772ad96fde,,,,Alternate,,,,2-14,Seward Street,,,,,,,,,,,,
0377119a-6144-45cc-a757-503c5839ad04,0377119a-6144-45cc-a757-503c5839ad04,,,,Alternate,,,,,Robsart Street,,,,,,,,,,,,
03856a73-d683-43b9-b785-4f0b1e2479e0,03856a73-d683-43b9-b785-4f0b1e2479e0,,,,Alternate,,,,12,Nicholl Square,,,,,,,,,,,,
03fec946-d646-4f0f-b924-b6d0e5fd6c46,03fec946-d646-4f0f-b924-b6d0e5fd6c46,Harrow,Borough,Current,,,,,,,,,,,,,,,,,,
042f1a6b-2309-435d-98c0-784b641c4bd4,042f1a6b-2309-435d-98c0-784b641c4bd4,,,,Alternate,,,,14-16,North Tenter Street,,,,,,,,,,,,
0430070f-0dec-47f4-a287-1418bc09417c,0430070f-0dec-47f4-a287-1418bc09417c,,,,Alternate,,,,21,King William Walk,,,,,,,,,,,,
046855ab-370e-4a62-9a20-6e24578fecd9,046855ab-370e-4a62-9a20-6e24578fecd9,,,,Alternate,,,,,Cannon Street,,,EC4,,,,,,,,,
0470d7db-2d51-4890-80e2-103ef0d79e5d,0470d7db-2d51-4890-80e2-103ef0d79e5d,,,,Alternate,,,,123-125,Houndsditch,,,EC3,,,,,,,,,
04884044-78de-45a1-b307-d2a8c31a4cee,04884044-78de-45a1-b307-d2a8c31a4cee,,,,Alternate,,,,27-31,Hollymeoak Road,,,,,,,,,,,,
04aaad80-eceb-4da3-ab0b-4a1c428fa035,04aaad80-eceb-4da3-ab0b-4a1c428fa035,,,,Alternate,,,,29-31,Monument Street,,,,,,,,,,,,
04c95d06-b81d-4d92-8083-66f66032fda2,04c95d06-b81d-4d92-8083-66f66032fda2,,,,Alternate,,,,,Katherine Street,,,CR0,,,,,,,,,
05475d63-2100-485e-9573-9fc0939d4c95,05475d63-2100-485e-9573-9fc0939d4c95,Middlesex,County,Former,,,,,,,,,,,,,,,,,,
05bc1aa9-e38b-408c-a6a1-dd6acd465132,05bc1aa9-e38b-408c-a6a1-dd6acd465132,,,,Alternate,,,,,Elephant & Castle,,,,,,,,,,,,
05f09401-d0f9-432b-b08c-10559bfdca51,05f09401-d0f9-432b-b08c-10559bfdca51,,,,Alternate,,,,3-5,Dukes Mews,,,,,,,,,,,,
05f966c2-3f86-45d1-a630-47f78f94ef78,05f966c2-3f86-45d1-a630-47f78f94ef78,,,,Alternate,,,,24-31,Mitre Street,,,,,,,,,,,,
06682396-980a-452c-b2fa-86effe52cd80,06682396-980a-452c-b2fa-86effe52cd80,,,,Alternate,,,,,Robsart Road,,,,,,,,,,,,
0690a118-52a6-4f63-a39a-fd717bb174a3,0690a118-52a6-4f63-a39a-fd717bb174a3,,,,Alternate,,,,68-75,Aldermanbury,,,,,,,,,,,,
06d914a0-ca3c-4c7c-8517-e675d122fe70,06d914a0-ca3c-4c7c-8517-e675d122fe70,Surrey,County,Former,,,,,,,,,,,,,,,,,,
06eb7a47-baf7-4c79-aeab-2ffabe2502ea,06eb7a47-baf7-4c79-aeab-2ffabe2502ea,Surrey,County,Former,,,,,,,,,,,,,,,,,,
06ed9d14-7948-4d5d-82a6-3de9a68bf1da,06ed9d14-7948-4d5d-82a6-3de9a68bf1da,Middlesex,County,Former,,,,,,,,,,,,,,,,,,
071fb5fd-8923-42e5-9860-f78d6949874f,071fb5fd-8923-42e5-9860-f78d6949874f,Surrey,County,Former,,,,,,,,,,,,,,,,,,
07206218-2ef0-4535-95c6-38731ca21c36,07206218-2ef0-4535-95c6-38731ca21c36,,,,Alternate,,,,10,King Edward Street,,,,,,,,,,,,
07681905-25c3-4432-b9cb-4222a355f5d5,07681905-25c3-4432-b9cb-4222a355f5d5,,,,Alternate,,,,7,Meymott Street,,,,,,,,,,,,
077db082-a8d2-41ee-abdf-0dd124aef2c0,077db082-a8d2-41ee-abdf-0dd124aef2c0,,,,Alternate,,,,7-9,Babmaes Street,,,SW1Y,,,,,,,,,
07994b83-57e0-4e1b-92f7-4d194a017a2a,07994b83-57e0-4e1b-92f7-4d194a017a2a,Surrey,County,Former,,,,,,,,,,,,,,,,,,
07bf76af-488e-475d-b883-f5732f7dbb85,07bf76af-488e-475d-b883-f5732f7dbb85,,,,Alternate,,,,14,St John's Lane,,,,,,,,,,,,
08209574-db8a-4edc-bce8-e60d36f2e99b,08209574-db8a-4edc-bce8-e60d36f2e99b,,,,Alternate,,,,2,Rose Alley,,,,,,,,,,,,
08a8a6cc-59b1-4b1c-9156-7dfe112cec34,08a8a6cc-59b1-4b1c-9156-7dfe112cec34,,,,Alternate,,,,101-106,Rotherhithe Street,,,,,,,,,,,,
08a9392d-912f-40af-ad6b-a5911342106a,08a9392d-912f-40af-ad6b-a5911342106a,Essex,County,Former,,,,,,,,,,,,,,,,,,
08db61b5-cb51-4a02-b8b0-d9c1fcd18bb0,08db61b5-cb51-4a02-b8b0-d9c1fcd18bb0,,,,Alternate,,,,2-10,Magdalen Street,,,,,,,,,,,,
08ec0a41-1522-4f28-9e60-aaa92d22dad4,08ec0a41-1522-4f28-9e60-aaa92d22dad4,,,,Alternate,,,,,Stoney Street,,,,,,,,,,,,
0908648f-0960-40be-92fc-071ac26e6021,0908648f-0960-40be-92fc-071ac26e6021,,,,Alternate,,,,1,Duke's Mews,,,,,,,,,,,,
094956aa-022c-4a23-a738-5a77ee98917d,094956aa-022c-4a23-a738-5a77ee98917d,,,,Alternate,,,,5-11a,Folgate Street,,,,,,,,,,,,
094be105-623f-4dcd-92c4-c847f2a6ed1e,094be105-623f-4dcd-92c4-c847f2a6ed1e,,,,Alternate,,,,39-40,Lombard Street,,,,,,,,,,,,
096457df-f503-4184-9959-6ca0c1b12e35,096457df-f503-4184-9959-6ca0c1b12e35,Croydon,Borough,Current,,,,,,,,,,,,,,,,,,
099950c2-e894-404c-adab-0e2b9f2ab994,099950c2-e894-404c-adab-0e2b9f2ab994,,,,Alternate,,,,1-6,Lime Street,,,,,,,,,,,,
0a0a00d0-5a39-4f64-8db9-58ceb7fa7360,0a0a00d0-5a39-4f64-8db9-58ceb7fa7360,,,,Alternate,,,,,Tower Bridge Road,,,,,,,,,,,,
0a2b1f10-ace1-40aa-be62-3f38f66f25e7,0a2b1f10-ace1-40aa-be62-3f38f66f25e7,Southwark,Borough,Current,,,,,,,,,,,,,,,,,,
0a430f17-7d0e-49f3-9217-876ed6cb1bb2,0a430f17-7d0e-49f3-9217-876ed6cb1bb2,,,,Alternate,,,,4-5,Peter Street,,,,,,,,,,,,
0a50830c-19a2-415e-9bb5-61bbfc312642,0a50830c-19a2-415e-9bb5-61bbfc312642,Essex,County,Former,,,,,,,,,,,,,,,,,,
0aa016a0-b1e0-46bd-a580-385467ec532a,0aa016a0-b1e0-46bd-a580-385467ec532a,,,,Alternate,,,,,McKerrell Road,,,,,,,,,,,,
0aef673f-49d7-46ad-b394-2da68984365f,0aef673f-49d7-46ad-b394-2da68984365f,,,,Alternate,,,,4-26,Webber Street,,,,,,,,,,,,
0b48a01a-ac85-4e6a-abe7-a38001163934,0b48a01a-ac85-4e6a-abe7-a38001163934,Essex,County,Former,,,,,,,,,,,,,,,,,,
