ResourceID,Geometry
0001c710-fc44-4a2c-9cbd-84fd5a2f393f,POINT (-0.3459556107288508 51.61873252921809)
00027886-8a1b-40e4-a0bb-6ad65e1c3d4f,POINT (0.017909500162317987 51.583463247695406)
0003b99c-1325-42f7-84d7-5cb3cea03287,POINT (-0.1759724567097066 51.63035006779798)
0003ecee-35cf-4097-8207-93cadd105b92,POINT (-0.3645829233224318 51.41332823202398)
0004ef2d-8995-458c-994c-41631db04c42,POINT (-0.071509065674998 51.53987833704463)
00066db7-1276-4b17-a3e1-5085dd36d23f,POINT (-0.09335778022858776 51.51156737887876)
0007e4b3-6353-4ff4-a234-7db598968369,POINT (-0.0918336585225566 51.53526534050698)
000b0ed7-240c-4add-a96e-4b7689db36cc,POINT (-0.1982964227875138 51.49678760745235)
000ef96b-ff06-4771-b8fb-a803b0a051f8,POINT (-0.18058851545111704 51.556477110822215)
000f5cd3-ec84-47ba-a582-0a90b08d1b97,POINT (-0.11463946008224242 51.52528361806594)
000f8e0c-01c1-4036-b3be-108d370e4042,POINT (-0.3503280966733157 51.58819254599309)
00137f37-b3dd-45ac-907f-bf68bf72d7c0,POINT (-0.32474513346430395 51.611408433077436)
001657c4-32d4-4ab2-9ddc-6539aa93f84e,POINT (-0.028385677856278418 51.534323501939475)
00193426-de21-42b7-8d4b-a1b10489336d,POINT (-0.07478283670746616 51.336623377932625)
001a32d9-f2f2-4e6c-bdc6-ebb13f007d44,POINT (-0.10060570817884149 51.52094756276357)
001b4a63-6d96-4343-ae8d-ad3a59c76821,POINT (-0.14566582990723387 51.54897026787262)
0022dc9a-297c-4c5a-9596-16beaa0e1be7,POINT (-0.16436222893997682 51.49513732054147)
00259741-a9e4-4acd-8e6c-887c420d44ea,POINT (-0.07949743518165127 51.511817753767296)
00269163-292e-45ce-bfab-4266dc985363,POINT (-0.12789712090942923 51.50924604258472)
00269c89-3e56-48b0-a787-d46ed75afec0,POINT (-0.03909460485253718 51.49988098609918)
0027938b-6615-49d5-9b5c-36852162ad3c,POINT (0.22170493429222254 51.529672977414485)
0027f4f1-a89f-43e8-9285-61d7179a5f08,POINT (-0.082962515363265 51.5154445941266)
00290787-69d0-4096-b109-a8cff7f60031,POINT (0.2072131916678867 51.46852353319842)
002b2eb6-538a-4df0-89d0-5ea70df9e32e,POINT (-0.4526461438251857 51.55836761563967)
002bef0d-973e-40ea-b725-2d868c375099,POINT (-0.04268191643031525 51.51702713476663)
002c1db6-3cef-4a3c-92bd-de1bead9b253,POINT (-0.11162720877350611 51.51272622839857)
002f1d02-417d-4ee9-bd20-1e4ee17e9af1,POINT (-0.25837712363636406 51.497065504852515)
002f8790-8b7e-46bb-9006-eb2336891af0,POINT (-0.08970616568915697 51.50584251548235)
0030f634-b23c-49e2-bd33-5b695a6648a2,POINT (0.14561263956736073 51.355429400400716)
00313209-cb0b-4f20-a03b-426d8636d939,POINT (-0.08001308773136907 51.51018053619722)
003301fd-eb6d-48fc-8c40-2dd8717f019a,POINT (-0.09944060303385338 51.54234022419349)
00333d76-3194-4318-8d78-66ecae81e6e2,POINT (-0.11406506416882216 51.52836789434057)
003467a0-f819-49b8-8cc1-5f792a2c954c,POINT (-0.08706428143314347 51.52383884228096)
0036e686-5d3c-4bde-92ea-fed8371691a2,POINT (0.0025313799038235952 51.57840346764829)
0037766d-00d9-4e99-ae06-9f7baf040b13,POINT (-0.26520988235619547 51.57808131575252)
003a799e-b10f-4021-865e-ef2065c47038,POINT (0.13789966599550826 51.54426995486601)
003fd84c-8a8f-42ef-83c7-fcb369eb61b9,POINT (-0.08692895374908925 51.53772130385681)
00403fe6-3c15-44fb-95bc-fd7a8159ea18,POINT (-0.2216776370437223 51.47127256299822)
004083ce-3f3e-43f7-980d-9a7511f18ad0,POINT (-0.1039516817875205 51.521945924310295)
0044abbd-584f-45ad-b116-5cae8433f3ba,POINT (-0.21578133355589596 51.47662362799387)
0046d70e-6d3d-443c-a379-0925d0bfe231,POINT (-0.12917702777113074 51.512827584875076)
00471464-8d4d-4bd1-bfea-f6750c4bd2a7,POINT (-0.10430005000711294 51.38674524624858)
004b59f7-67b0-4be8-a955-ad5582a17f25,POINT (-0.4684897551181706 51.503792426016815)
004d145e-489d-4830-9fbf-3d76721e2fc5,POINT (-0.2193389708987652 51.4954633100396)
004d269f-0c6f-4eff-8b43-9ebbf3cf82c5,POINT (-0.19941345325640833 51.59957190779042)
004d7af7-6b36-4b59-b009-dc634bfffd2c,POINT (-0.11207517071122641 51.512697465307774)
004d89d5-589d-42ee-a945-9a6efbede5a2,POINT (-0.12272404881493684 51.480836294308276)
004e085a-db95-44a5-a728-189884baf0d2,POINT (0.0700779270132334 51.492608333798316)
004eaad1-28ea-46c9-b2f9-17be9692e840,POINT (0.13030168347109083 51.53289720176047)
0050152a-775f-4ee5-b3dc-470968cb2768,POINT (-0.08579175370511959 51.5064081801983)
0051156b-0f01-4190-b8d0-cf7e2886d9c6,POINT (-0.14928204879419765 51.57181440704716)
00550c9e-08e1-48d9-b3de-1cd91b197e0e,POINT (-0.015113365350644054 51.56098806217444)
0057a652-3451-45eb-a023-61bf41aa9694,POINT (0.140263808934585 51.46030453062322)
005a661b-a962-47e8-9572-67afc557cfc4,POINT (-0.08809121480103334 51.51687726327803)
005a81c5-0e6e-4c92-bef5-789ce7450b44,POINT (-0.29690056280339283 51.626025049103156)
005ad26a-3cff-4115-b80e-6e323707c915,POINT (-0.10002199748009788 51.50726906741521)
005b51f4-e6c8-44be-b8ea-914de285ef95,POINT (-0.08900707287311857 51.51221597243869)
005bfc30-20b8-49de-a5f2-482492169e80,POINT (-0.07768929979930672 51.500340367753374)
005c5100-d9c7-433f-ae63-41d2f03f2f80,POINT (-0.0841826804292668 51.51384585599273)
005c58dd-e3e8-48de-aad4-41e615a5b84f,POINT (-0.09664565667968815 51.5156675548931)
005fe3f2-27fc-4493-bd37-fee613024be5,POINT (-0.13007332587621462 51.53456830900185)
00608924-4b9f-4c9a-b088-0dc204b62bdb,POINT (-0.3057750049851064 51.4768785697551)
0061cc09-010b-4bfb-85ff-6ee845c53c0c,POINT (-0.4109693181538388 51.578346296950826)
006223a5-15d4-4e27-9bbe-0ac972b30e66,POINT (-0.10563399133281473 51.5178813869707)
00673a14-7db9-4f33-98d5-aabd8c18ba8a,POINT (-0.14437175682345593 51.57013624206236)
00675f34-1b55-4741-8655-27ba364d6c79,POINT (-0.011347428072788735 51.584484723420964)
00677a05-2633-401e-8449-f7751b748005,POINT (-0.23598102912739563 51.4382604448458)
006ca11c-dcc8-4ed2-803f-365621c33372,POINT (-0.08696911717471335 51.51201187929437)
006d3c28-662d-4c3d-b706-c268ed37fd69,POINT (-0.07501484421504476 51.570618864080814)
006e6fc7-59d9-4c54-b948-2d0239c3d220,POINT (-0.42853216920422704 51.59427439257055)
006f008c-b316-4b55-a424-64453a6832b0,POINT (-0.07597876239802215 51.510159321259735)
00743e76-038f-47f9-8d57-996d8a6c303c,POINT (-0.08891581425452762 51.51749322285179)
0076ff65-f8f4-40c0-88d4-5ad32cd384e2,POINT (-0.1579250548027602 51.48292325573664)
00774b4a-ed96-4675-a07a-7c8fc183b3fe,POINT (0.014010345707457307 51.56381876285932)
00809517-d427-464d-97ca-f79afe95f795,POINT (-0.220675617061941 51.35255402246987)
00835a27-2b50-4afd-a9c0-e9bf29cd6702,POINT (-0.1807726614637005 51.39730912429134)
008500e7-8052-4d3a-b292-acab432a7e33,POINT (-0.09834959126111632 51.519741955771664)
0085dee3-596e-4822-8da2-88df4ad36f57,POINT (-0.10297580189085917 51.49166946354052)
0086904a-5af9-479d-9ba5-bdd7365f4bec,POINT (-0.14117435701346065 51.523638697602834)
0086f8eb-1db8-49b5-b72b-2509b7b0ba54,POINT (-0.08404686358727347 51.51708100845559)
0088c565-63a5-4660-bb38-6d6fcc9fe5d8,POINT (-0.1533282888548397 51.454074459760946)
0089227f-7009-4a87-a5d9-cc93ca133397,POINT (-0.10036061013169283 51.51644720345217)
008a972c-951d-4377-8b19-1ccde99d98e9,POINT (-0.019452346083530504 51.432823513083704)
008c6249-be83-40e0-94f8-b7fe721bc07f,POINT (-0.06676415545565334 51.49702221069197)
0090b5e7-44b8-489d-807b-466cd77cc9a2,POINT (-0.1420697006470745 51.51864394921926)
0090d9a5-bdd1-4f03-9449-c7a0b01076de,POINT (-0.16489960464278855 51.5211975372147)
00918e30-919d-40fe-9102-92a65b8950e0,POINT (-0.07188455029380754 51.55932658221955)
00923c9c-2008-4886-b40c-0c937dbcd014,POINT (-0.1367172615855961 51.508172470335204)
00933ae4-2865-4fb5-bb94-d2243a6dc6ec,POINT (-0.07502181184056456 51.51234682277342)
00954614-a682-4986-92db-986d5b970762,POINT (-0.08658676062894805 51.549316002769075)
0098c090-6417-4c12-b8be-4939b07cab53,POINT (-0.01812971332166427 51.41184775909203)
0098db5d-b56e-44c1-af5f-cc66e54190ec,POINT (-0.11181385930835723 51.48695601348549)
00995777-7906-48e2-b93f-4d25804bbbb0,POINT (-0.08633677309163257 51.50371925671035)
009ad6dd-0413-4bfe-b20c-462c2a181309,POINT (-0.18076933871454795 51.53784729091725)
009ae119-ac74-4889-b90f-f47a619e25e5,POINT (-0.0903217219685025 51.522129403403646)
009b28e2-ac86-483c-b8df-3f9ed09be661,POINT (-0.14482956398999375 51.50393959401276)
009e937b-9bf2-4b39-8d2b-8f86e9f19c51,POINT (-0.08639583418730293 51.5126230227559)
009fb27e-6acc-415c-9bd9-7693ccb537b0,POINT (-0.007994018051805378 51.527459554869836)
00a36812-d328-4643-9559-c88f090013d6,POINT (-0.10714281254368761 51.512779853284606)
00a60959-3ba4-495a-ab1e-78f76d2a3f8d,POINT (-0.18356950231542 51.484905955011484)
00aca115-574d-4644-ae3d-612abaa69c01,POINT (0.2210999015836968 51.55576424667131)
00ad0d10-d59a-4061-ab90-4047ab2924c8,POINT (-0.12099214663710767 51.50894678613316)
00adbe1d-8638-48ef-8b54-5aa7c24c0896,POINT (-0.16575784950152833 51.500204060774784)
00ae33c0-1a69-40e8-8798-de1b2314f970,POINT (-0.10756187713129867 51.54924308413289)
00ae54ff-2a27-4bda-8dd2-54d444c13e86,POINT (-0.07092842802993611 51.51371833356292)
00af40ba-d855-4e8d-ba2c-561a7199dd4d,POINT (-0.08609648528808148 51.51288791630363)
00b327e5-90b7-4349-ab37-3b08ee109db7,POINT (0.012759475806991102 51.56914590304149)
00b396c0-703e-4d28-bff4-3457954fdf51,POINT (-0.1269697364408984 51.513232999857564)
00b511a1-5eae-4429-8ec5-759bfe86405a,POINT (-0.3102966908494619 51.33679468026604)
00b572e9-e4e5-4a3b-85fa-0250b4bea94b,POINT (-0.09450498516979476 51.51860938611555)
00b6597c-d23f-43b0-a31b-c91d2f9e3111,POINT (-0.2474476289124343 51.47362977039244)
00b9520b-13b0-4494-aec3-09ee7ac19703,POINT (-0.08373544008465514 51.53479148180668)
00bbe8d0-afb8-4d88-9a36-a1f331968f20,POINT (-0.3044005115065245 51.52207332284455)
00bc8c29-911a-4cde-a490-779169acdb11,POINT (-0.11479247832748463 51.53169791033539)
00bce0e7-5125-41d1-9586-dc1981d6950a,POINT (-0.10833514468015476 51.52156704654113)
00c5fc45-4609-4f42-9b84-2979a70699f7,POINT (-0.08727790098810007 51.49501159628577)
00cb6baa-8b32-4309-b5c0-f3df17ea8c46,POINT (-0.1452321765341927 51.36968434719964)
00ccf339-7ab1-4631-a75a-1feba9a53c8d,POINT (-0.12679397058606753 51.50662953284069)
00cdf047-ffd9-4197-8a43-56b65ef20b37,POINT (-0.14866203512565487 51.50714760078228)
00d495b5-1c40-44e7-b131-b0946559c102,POINT (-0.08861812026018895 51.50429602139404)
00d4a5a2-83af-4bf0-9ab9-d0060a646558,POINT (-0.17219767538126704 51.53728241729042)
00d5d514-4dab-462b-8763-2e0784e24a8b,POINT (0.023555914347130825 51.434247608762306)
00d64f61-acc5-4aa4-8621-e87d33a981e6,POINT (-0.09165833905387998 51.5074030607581)
00d6d2c8-ae11-49fd-86a5-98b60c5ec353,POINT (-0.1537875955611131 51.51331645030568)
00d8f0b1-d250-4447-8c51-625e3ec43b42,POINT (-0.08809874480901278 51.51669752795552)
00d9f1e9-4f92-4f10-ab5c-1be14f397ad8,POINT (-0.05026758030514913 51.50816077042085)
00da2b79-a23d-4155-a39e-3a38d90a213d,POINT (-0.408017897015024 51.5892862863426)
00de20cf-9163-4693-81ae-ac9038706212,POINT (0.023052677471509204 51.608266064261784)
00eb0c63-0a72-4bde-acf8-b12ffdbb494e,POINT (-0.20208494864505297 51.502654997681866)
00ebf761-c801-486f-9cac-a99435bb9ab9,POINT (-0.15428434893484133 51.51849505956562)
00ecbb6d-b668-424f-aa93-c08b66427d9a,POINT (-0.14632478972705523 51.51360341450941)
00ed1883-63df-4b6c-a505-9ac12a1bef1b,POINT (-0.22606695025810072 51.52697644793151)
