ResourceID,AdminArea,AdminAreaType
001657c4-32d4-4ab2-9ddc-6539aa93f84e,Tower Hamlets,Borough
001a0ad5-14fd-4b49-a30a-899fc627015a,Southwark,Borough
00269c89-3e56-48b0-a787-d46ed75afec0,Southwark,Borough
002bef0d-973e-40ea-b725-2d868c375099,Tower Hamlets,Borough
002f8790-8b7e-46bb-9006-eb2336891af0,Southwark,Borough
0036e686-5d3c-4bde-92ea-fed8371691a2,Waltham Forest,Borough
00403fe6-3c15-44fb-95bc-fd7a8159ea18,Wandsworth,Borough
0050152a-775f-4ee5-b3dc-470968cb2768,Southwark,Borough
00550c9e-08e1-48d9-b3de-1cd91b197e0e,Waltham Forest,Borough
005736a0-5cfe-4e93-91c2-1fd10e842acb,Wandsworth,Borough
005ad26a-3cff-4115-b80e-6e323707c915,Southwark,Borough
005bfc30-20b8-49de-a5f2-482492169e80,Southwark,Borough
00675f34-1b55-4741-8655-27ba364d6c79,Waltham Forest,Borough
00677a05-2633-401e-8449-f7751b748005,Wandsworth,Borough
0068c181-2637-4b52-a3a9-fddc369e9b69,Tower Hamlets,Borough
00774b4a-ed96-4675-a07a-7c8fc183b3fe,Waltham Forest,Borough
007761b8-cd34-4dbb-aa4d-57a2cbe30bfc,Sutton,Borough
00809517-d427-464d-97ca-f79afe95f795,Sutton,Borough
0083e355-f35e-4a8d-96da-5198d5e33829,Wandsworth,Borough
0088c565-63a5-4660-bb38-6d6fcc9fe5d8,Wandsworth,Borough
008c6249-be83-40e0-94f8-b7fe721bc07f,Southwark,Borough
00933ae4-2865-4fb5-bb94-d2243a6dc6ec,Tower Hamlets,Borough
00995777-7906-48e2-b93f-4d25804bbbb0,Southwark,Borough
00ae54ff-2a27-4bda-8dd2-54d444c13e86,Tower Hamlets,Borough
00b327e5-90b7-4349-ab37-3b08ee109db7,Waltham Forest,Borough
00c5fc45-4609-4f42-9b84-2979a70699f7,Southwark,Borough
00cb6baa-8b32-4309-b5c0-f3df17ea8c46,Sutton,Borough
00d495b5-1c40-44e7-b131-b0946559c102,Southwark,Borough
00d9f1e9-4f92-4f10-ab5c-1be14f397ad8,Tower Hamlets,Borough
00edb469-a5f5-4ddd-92d2-6c85884fbae5,Waltham Forest,Borough
01168988-ca7e-4c76-b9d2-05b52ca9d6cd,Tower Hamlets,Borough
011b059a-74e4-4d6d-8e86-63760e76c49b,Wandsworth,Borough
