ResourceID,Monument Type,Evidence,MainBuildingMaterial,CoveringMaterial,Component,Parent_UID,YearFrom,YearTo,DispDate,Period,Note
0bd1f0ba-7e7f-437c-a372-46113bb7af99,Gate,,,,,0,1667,1732,,,
0bd3d4f6-1be0-4d03-a481-55aede6f7286,Hermitage (Religious),,,,,0,1066,1539,Medieval,Medieval,
0bd3d4f6-1be0-4d03-a481-55aede6f7286,Hermitage (Religious),,,,,0,1485,1603,Tudor,Tudor,
0bd4515e-f2ae-4fe2-a87c-c06e89976af5,Public House,Documentary Evidence,,,,0,1485,1900,,,
0bd481f0-be9a-4127-88ad-1f1d77ec0c75,Wall,,,,,0,1066,1539,Medieval,Medieval,
0bd61875-8039-416a-954a-8e6100702a78,Terraced House,,,,,0,1733,1733,,,
0bd61875-8039-416a-954a-8e6100702a78,Terrace,,,,,0,1733,1733,,,
0bd61875-8039-416a-954a-8e6100702a78,Shop,,,,,0,1734,,,,
0bd61875-8039-416a-954a-8e6100702a78,Railings,,,,,0,1733,1733,,,
0bd722d2-24a4-4f27-a94a-53088c06e7f3,House,,,,,0,1567,1632,,,
0bd722d2-24a4-4f27-a94a-53088c06e7f3,House,,,,,0,1700,1799,,,
0bd863e8-ca96-47d9-b701-1430d6221991,Findspot,,,,,0,43,409,Roman,Roman,
0bddacdc-cf62-4747-ae83-f16008bdc6aa,Flood Deposit,,,,,0,,,,,
0bde3e39-4a3d-4961-8a5c-e72d668def48,House,Documentary Evidence,,,,0,1840,1900,,,
0bdefbc2-8eef-4e15-bdb3-2d85758ba257,Railings,,,,,0,1767,,,,
0bdefbc2-8eef-4e15-bdb3-2d85758ba257,Terraced House,,,,,0,1767,1799,,,
0bdf8e2b-7718-4dd9-b3ee-408ce3419f62,Findspot,,,,,0,-4000,-2201,,,
0be1aa34-032f-417b-be69-c06be05c1716,Auxiliary Hospital,Documentary Evidence,,,,0,1916,1919,,,
0be1cf1a-dadd-4a11-a7f7-f65465f98ec9,Settlement,,,,,0,1066,1539,Medieval,Medieval,
0be1cf1a-dadd-4a11-a7f7-f65465f98ec9,Settlement,,,,,0,1540,1900,Post Medieval,Post Medieval,
0be29442-d7ce-4571-8c1d-f5a023130161,Findspot,,,,,0,1066,1539,Medieval,Medieval,
0be29442-d7ce-4571-8c1d-f5a023130161,Findspot,,,,,0,1066,1539,Medieval,Medieval,
0be3fc3b-82f3-41fe-a394-74e282fc048b,Findspot,,,,,0,-10000,-4001,,,
0be4b217-600e-42b7-9b7f-bd8d68371be4,Pit,Excavated Feature,,,,0,-4000,-701,,,
0be5a117-77ff-4390-b475-63a5708f9574,Deposit Unclassified,,,,,0,1540,1900,Post Medieval,Post Medieval,
0be5a505-9719-47ca-af7a-2449d0dc0979,Structure,,,,,0,-500000,42,,,
0be672d9-aee8-4a85-83b5-9f393d8413c6,Dump,,,,,0,1540,1900,Post Medieval,Post Medieval,
0be6e4ef-2a24-433f-aeb4-6a6b265c898a,House,,,,,0,1870,1910,,,
0be7f22e-1484-47bb-b50e-541b28811de5,Dump Layer,Sub Surface Deposit,,,,0,1801,1900,,,
0be83fdf-6b69-4237-af60-8dc05e8a15d5,Public House,Extant Building,Brick,Tile,,0,1938,2050,Built 1938,20th Century,
0be85499-ccdf-44c7-aa55-d16e05169237,Findspot,Find,,,,0,-2200,-701,,,
0beaae12-da42-4901-826e-f898e83a4632,Cemetery,Designed Landscape,,,,0,1915,2050,,,
0beaae12-da42-4901-826e-f898e83a4632,Cemetery Lodge,Extant Building,,,,488714,1915,2050,,,
0beaae12-da42-4901-826e-f898e83a4632,Cemetery Chapel,Extant Building,,,,488714,1915,2050,,,
0beb34c3-20c3-4e2b-94d7-63f4fcb15c02,House,,,,,0,1864,1864,,,
0bebe013-1464-4b76-83f3-3ea3a5fb6e2e,Findspot,,,,,0,-10000,-4001,,,
0bebe013-1464-4b76-83f3-3ea3a5fb6e2e,Findspot,,,,,0,-7000,-4001,,,
0bedcb1f-569a-43a2-8abf-c577a2d55a92,Findspot,,,,,0,43,409,Roman,Roman,
0beec3ec-99d5-42ed-b543-e3a19c03b0a7,Basement,,,,,0,1540,1900,Post Medieval,Post Medieval,
0beec3ec-99d5-42ed-b543-e3a19c03b0a7,Wall,,,,,0,1540,1900,Post Medieval,Post Medieval,
0bf4221d-f9a9-4f59-9e52-7b4ad86153cc,Lead Works,,,,,0,1540,1900,Post Medieval,Post Medieval,
0bf48482-a3ad-48c2-a76f-94bc560f81f3,Common Land,Documentary Evidence,,,,0,1066,1878,,"Medieval,Post Medieval",
0bf48482-a3ad-48c2-a76f-94bc560f81f3,Public Garden,Botanical Feature,,,,0,1878,2050,,,
0bf48482-a3ad-48c2-a76f-94bc560f81f3,Tree Avenue,Botanical Feature,,,,0,1878,2050,,,
0bf5742b-508f-4b37-98f9-1405cbdbbfa6,Floor,,,,,0,1066,1539,Medieval,Medieval,
0bf5742b-508f-4b37-98f9-1405cbdbbfa6,Foundation,,,,,0,1066,1539,Medieval,Medieval,
0bf62db5-15c2-4f49-8a8c-22d011d01b9c,Church,,,,,0,1066,1539,Medieval,Medieval,
0bf738d9-ffa3-41c6-b5e5-717c8b8a8625,Observatory,,,,,0,1540,1900,Post Medieval,Post Medieval,
0bf738d9-ffa3-41c6-b5e5-717c8b8a8625,Well,,,,,0,1540,1900,Post Medieval,Post Medieval,
0bf759b3-be4b-42c7-8f94-a0bca520e879,Steps,,,,,0,1833,1866,,,
0bf759b3-be4b-42c7-8f94-a0bca520e879,Semi Detached House,,,,,0,1833,1866,,,
0bf7bc68-0654-401d-a750-15c76579f569,Livery Hall,,,,,0,1066,1539,Medieval,Medieval,
0bf7bc68-0654-401d-a750-15c76579f569,Livery Hall,,,,,0,1540,1900,Post Medieval,Post Medieval,
