ResourceID,OrgUID,Organisation Name,Name Type,Currency,Contact Point,Contact Point Type,Notes,Description Type
004622b0-1173-48c7-bec6-66ac305a0261,OLO828,Southern Electric,Primary,Current,,,,
008eb6cd-f035-4924-8560-caf196132af5,OLO695,Hornchurch and District Historical Society,Primary,Current,,,,
00934532-3683-4282-b609-24b392ec7530,OLO1225,ISG Jackson Ltd,Primary,Current,,,,
009b376c-7bab-4643-bf66-8c5b5a9f46aa,OLO1976,Tuffin Ferraby Taylor,Primary,Current,,,,
00dd4cac-0399-4386-b2ba-8e58ecc36a01,OLO248,Norton Thompson Associates,Primary,Current,2086928204,Telephone,,
0101f7e4-25d9-46ff-9269-3c5d9bcd34d5,OLO1736,GBV JV Ltd,Primary,Current,(0)1737-774-155,Telephone,,
015a94d3-01d7-48c3-8aa1-6a83f7f4a1f5,OLO1807,Dorrington Southside,Primary,Current,,,,
017a7e49-aee1-4fcb-b9b6-9442ff9d208d,OLO546,Heritage Architecture Ltd,Primary,Current,,,,
017c9583-7e38-47ca-b775-bfc88ca1acc1,OLO1511,Archetype Associates Ltd,Primary,Current,,,,
0190cb2c-269d-43c0-b90f-6afa87d5cb08,OLO2025,Costain,Primary,Current,01628 842444,Telephone,,
019a0345-ce73-49dd-9982-50ede416062e,OLO1854,AVR London,Primary,Current,,,,
01a44159-a393-4d76-89cc-040e8c7abc77,OLO353,Richard Coleman City Designer,Primary,Current,,,,
01c881fe-47f7-4118-bc5a-c65c882183cf,OLO102,Moxley Architects Ltd,Primary,Current,2077208968,Telephone,,
01c881fe-47f7-4118-bc5a-c65c882183cf,,,,Current,2076272533,Fax,,
01e19f24-0c68-4f67-b754-5169b7f8de8d,OLO1130,RCP Riverwalk House LLP,Primary,Current,,,,
01f7530b-ea6a-497f-b4d0-071c52e345f2,OLO758,Culpin & Son,Former,Historic,,,,
02122a11-00a0-477f-8293-26deb5be9c61,OLO1996,Mike Jackson Consultancy,Primary,Current,,,,
023eee92-87a8-464b-922f-cc37464267df,OLO1051,Avicam Home Limited,Primary,Current,,,,
023f823c-0726-45a0-a8e7-3d2c66d54327,OLO171,Air Photo Services,Primary,Current,info@airphotoservices.co.uk,Email,,
024bda6b-520a-4979-a73d-bc3aeb9f7618,OLO656,"Wimperis, Simpson & Guthrie",Former,Historic,,,,
025ce0c2-3b6e-4262-8a67-f58accc6b7ce,OLO1424,Red+White designs,Primary,Current,,,,
025f277b-fe8d-4b02-be84-62e6edb901b7,OLO1894,FWPD,Primary,Current,,,,
029011d8-0f05-450c-8834-67d044147526,OLO244,ENSR International Ltd,Primary,Historic,1442437539,Telephone,Acquired by AECOM in 2006.,Notes
029011d8-0f05-450c-8834-67d044147526,,,,Historic,1442437550,Fax,Acquired by AECOM in 2006.,Notes
02924054-a41e-419a-b310-7083fa7efb90,OLO1756,Eversheds,Primary,Current,,,,
02b97cfa-67ac-4fe8-8802-ef87900d8695,OLO1374,Boyer Planning,Primary,Current,,,,
02bc5647-4f89-461b-b6c8-c3fec3c4d86f,OLO1196,Allies and Morrison,Primary,Current,+44 (0)20 7921 0100,Telephone,,
02bc5647-4f89-461b-b6c8-c3fec3c4d86f,,,,Current,info@alliesandmorrison.com,Email,,
02e68e6e-4cad-4f23-b023-4b44d1cdb276,OLO510,Mayer Environmental,Primary,Current,020 8847 3637,Telephone,,
02e68e6e-4cad-4f23-b023-4b44d1cdb276,,,,Current,020 8847 3638,Fax,,
0332ec50-16f2-4394-b586-a098d8f608b2,OLO586,National Monuments Record,Primary,Current,,,,
036c2b09-4ad7-41d1-9b42-c9932e5031f5,OLO245,ACTA,Primary,Current,1892822994,Telephone,,
036c2b09-4ad7-41d1-9b42-c9932e5031f5,,,,Current,1892704001,Fax,,
036c2b09-4ad7-41d1-9b42-c9932e5031f5,,,,Current,pm@actaland.com,Email,,
039d783a-b2fb-4402-bbb9-806b58f6babd,OLO519,Fulham and Hammersmith Historical Society,Primary,Current,,,,
03a6e3c0-c55a-4cfd-a598-4549f745a78c,OLO400,Trench Farrow,Primary,Historic,,,Acquired by WYG (OLO379) in 2006,Notes
03aa932b-87be-4479-a2fb-5991be437b14,OLO1377,Second Shurgard UK Camberley Limited,Primary,Current,,,,
03bec780-8cc2-4c0d-8a0f-37ae7f1f654e,OLO1058,Dyer Grimes Architects,Primary,Current,,,,
03bfa7b0-14ef-4698-9fbf-93f82a4a38d5,OLO1413,Gold Section Homes LLP,Primary,Current,,,,
03ce669c-ff7c-4d00-bc83-ea59598beb77,OLO1592,Rosguill Developments Limited,Primary,Current,020 8366 5535,Telephone,,
03fef89e-e03a-4817-a4b9-d3dc1ce9c5b1,OLO382,Border Archaeology,Primary,Current,,,,
0417d915-56f1-4896-a618-ba3b91e86fa3,OLO1253,Cathedral Group,Primary,Current,,,,
0468e9b3-b7e0-4917-bfce-551fe3fd9981,OLO722,Josephine Brown Ltd,Primary,Current,07929 725412,Telephone,www.josephinebrown.co.uk,Notes
0468e9b3-b7e0-4917-bfce-551fe3fd9981,,,,Current,heritage@josephinebrown.co.uk,Email,www.josephinebrown.co.uk,Notes
0481e1e4-e82f-496c-bee0-939045e4e904,OLO1805,Malcolm Pawley Architects Ltd,Primary,Current,,,,
04a35639-3542-40ad-8784-8ea1641d93c2,OLO1438,LOCUS Consulting Ltd,Primary,Current,0115 943 7967,Telephone,,
057c19ce-9a81-4767-a17e-0f4788f29f21,OLO1317,Development Archaeological Services Ltd.,Primary,Current,,,,
057f5460-d94f-408a-966f-e0f4e19ac7b3,OLO1858,Gort Scott,Primary,Current,,,"www.gortscott.com
twitter.com/gortscott",Notes
05a8162d-a538-4060-97c8-ff503bbeb397,OLO1417,St Modwen Developments,Primary,Current,,,,
